unit,x,y,control,rho_raw,rho_partial,p_partial,n
node,HW_ratio,GVI,northing_m,-0.5410175850852275,-0.3769602072457004,1.250639872701263e-15,421
node,VEI,GVI,northing_m,-0.35765406556489393,-0.2009609333109096,1.1358509671725147e-06,578
face,HW_ratio,GVI,northing_m,-0.4922077922077922,0.04591956879814534,0.8475570753103882,21
face,VEI,GVI,northing_m,-0.4918125352907962,-0.33386278440879885,0.13911531438773594,22
