their_id,our_id,gap_m,status,their_pano,their_date,our_pano,our_date,same
tunnel_approach_street_016,n00185,3.5785294965426835,OK,3BODPAq_Rnj-6WhKBvgM2g,2026-04,3BODPAq_Rnj-6WhKBvgM2g,2026-04,True
tunnel_approach_street_017,n00187,3.6753700443278254,OK,a3lnysQM1vcaJ9j53VypIg,2026-04,a3lnysQM1vcaJ9j53VypIg,2026-04,True
tunnel_approach_street_018,n00189,3.6753681835517145,OK,yZ-3BX_7ZWQBpcZHoNsgAg,2026-04,yZ-3BX_7ZWQBpcZHoNsgAg,2026-04,True
tunnel_approach_street_019,n00191,3.813393239078358,OK,XradH4r1dAvc3DcPVHthiA,2026-04,XradH4r1dAvc3DcPVHthiA,2026-04,True
tunnel_approach_street_020,n00193,3.8133912549267905,OK,Ab_YHCWJSLGTmA3sfbaEag,2026-04,nEZR_V8aBE-MgRejKJSsXA,2026-04,False
tunnel_approach_street_021,n00195,3.910718692229882,OK,3sJ_u-A2VMVYgOXaanav5g,2026-04,C2DY5IH4XjNl2f2knp9PHQ,2026-04,False
tunnel_exit_street_001,n00246,4.600992950579993,OK,4oZdWtcunfl_u20E3lWqNw,2026-04,f_exQ_6vZTaR6zR_eE7lrQ,2023-05,False
tunnel_exit_street_002,n00247,4.548205176557828,OK,5zJ4KmGYeRBA0EY7Zz3pFg,2023-05,5zJ4KmGYeRBA0EY7Zz3pFg,2023-05,True
tunnel_exit_street_003,n00248,4.40640222677026,OK,8r51w3vqGW-snLd05haDXA,2023-05,8r51w3vqGW-snLd05haDXA,2023-05,True
tunnel_exit_street_004,n00249,4.36301146165451,OK,iw_mIaQY-P432SCzmF0S0g,2023-05,iw_mIaQY-P432SCzmF0S0g,2023-05,True
tunnel_exit_street_005,n00250,4.223603080563436,OK,9bTYqTOub_YrMD5CsMCIUA,2026-04,9bTYqTOub_YrMD5CsMCIUA,2026-04,True
tunnel_exit_street_006,n00251,9.313225746154785e-10,OK,OA_b1wdPARfVAfChpaD-jA,2026-04,OA_b1wdPARfVAfChpaD-jA,2026-04,True
tunnel_exit_street_007,n00252,0.0,OK,UuD-75lVAWXXPZarFwRdJQ,2026-04,UuD-75lVAWXXPZarFwRdJQ,2026-04,True
tunnel_exit_street_008,n00253,0.1394725733791489,OK,mTrRTvMP3dfXsCJCNNLu1w,2026-04,mTrRTvMP3dfXsCJCNNLu1w,2026-04,True
tunnel_exit_street_009,n00254,0.1394724549855095,OK,KhuFDidB5zjM9EFLw6XEtg,2026-04,KhuFDidB5zjM9EFLw6XEtg,2026-04,True
tunnel_exit_street_010,n00255,0.27894467478134727,OK,-lrj8oxmhKb412kuYRmXAg,2026-04,-lrj8oxmhKb412kuYRmXAg,2026-04,True
tunnel_exit_street_011,n00256,0.37340526204605246,OK,lNXZ7eak8s6O5DcBeaECSQ,2026-04,lNXZ7eak8s6O5DcBeaECSQ,2026-04,True
tunnel_exit_street_012,n00257,0.4750804725503139,OK,C6vSBJXvkr_ChnQlQ-QCGw,2026-04,C6vSBJXvkr_ChnQlQ-QCGw,2026-04,True
tunnel_exit_street_013,n00258,0.41841597629237537,OK,UlGi-37a4CbL1uEHnGc50g,2026-04,UlGi-37a4CbL1uEHnGc50g,2026-04,True
tunnel_exit_street_014,n00259,0.5112159474646725,OK,DKwsDRmI4KT6S3fGtU3X2g,2026-04,DKwsDRmI4KT6S3fGtU3X2g,2026-04,True
tunnel_exit_street_015,n00260,0.6497358464133166,OK,rgIRXA9l-Oqz3SThUgW0-Q,2026-04,rgIRXA9l-Oqz3SThUgW0-Q,2026-04,True
tunnel_exit_street_016,n00261,0.6497354580957968,OK,mT-ETG1UTtQ4ePjM-R0wxg,2026-04,mT-ETG1UTtQ4ePjM-R0wxg,2026-04,True
tunnel_exit_street_017,n00262,0.7885905385208969,OK,ZFJpxkcXtQYcKWagxTKcHQ,2026-04,ZFJpxkcXtQYcKWagxTKcHQ,2026-04,True
tunnel_exit_street_018,n00263,0.8843586476520868,OK,W0wa4Q-4HYDIM3stpA0WsA,2026-04,W0wa4Q-4HYDIM3stpA0WsA,2026-04,True
tunnel_exit_street_019,n00264,0.8843582068062809,OK,9jqBnqrxM6cMsEgeK94Yzg,2026-04,9jqBnqrxM6cMsEgeK94Yzg,2026-04,True
tunnel_exit_street_020,n00265,0.9833378236880034,OK,tf7yvEgFAKZiE_wFzh5b8A,2026-04,g-IUL3zdz1v-O2vhPPQN6w,2026-04,False
tunnel_exit_street_021,n00266,1.0224280300088329,OK,9rZJuwIL2XiMHVRsWEwO2A,2026-04,vjpZuROuDPWw3dNRJFQPeA,2026-04,False
