spec,r2,aic,cv_rmse
linear,0.1128930374766326,2452.8837030099867,4.5432178411401765
quadratic,0.12783093573880466,2447.7341639804304,4.4977465475416825
log,0.09841019030511777,2459.701417452856,4.5658930355325325
sqrt,0.11634011664958754,2451.2446140826964,4.523739762883961
reciprocal,0.015515995788985104,2496.7317312960076,4.90300391499008
