node_id,view,GVI_base,GVI_new,dGVI,VEI_base,VEI_new,dVEI
n00057,N_uptown,3.514129057898132,3.5145703338181202,0.00044127591998810445,0.9122777253975987,0.9122767690835251,-9.563140735968645e-07
n00057,E_east,2.6354688977767062,2.635754249331119,0.00028535155441256066,0.894950570642613,0.8949499561314715,-6.145111414168625e-07
n00057,S_downtown,0.9486645908710888,0.948788334495891,0.00012374362480216394,0.9176253398628174,0.9176206521859995,-4.687676817827224e-06
n00057,W_west,1.8273247509925143,1.8276044189828924,0.0002796679903780408,0.9356605135681448,0.9356564376688153,-4.075899329492039e-06
n00057,full360,2.23139682438461,2.2316793341570054,0.00028250977239530073,0.9149786937858058,0.9149757913851817,-2.9024006240607747e-06
n00084,N_uptown,1.239575551788143,1.2398185292296315,0.00024297744148849,0.8599828787444346,0.8599797341470421,-3.144597392479298e-06
n00084,E_east,5.006827524478382,5.007149771243994,0.00032224676561209975,0.9488491986167352,0.9488520385376564,2.839920921204886e-06
n00084,S_downtown,7.012256168738021,7.012993503737337,0.0007373349993162748,0.9099820844140024,0.9099832772509595,1.1928369570979314e-06
n00084,W_west,3.2450041960477813,3.2456622617229764,0.0006580656751951075,0.8188734154494477,0.8188666726983959,-6.74275105183586e-06
n00084,full360,4.125915860263082,4.126406016483485,0.0004901562204029375,0.884142672575629,0.8841413968995687,-1.2756760602306016e-06
n00110,N_uptown,0.37959248483936064,0.37975603796753044,0.00016355312816979106,0.9311311503062432,0.9311309323021152,-2.1800412797201574e-07
n00110,E_east,0.5006662467920192,0.5008297999201888,0.00016355312816962453,0.9380621864908083,0.9380602307862449,-1.955704563405547e-06
n00110,S_downtown,0.1210737619526585,0.12107376195265845,-4.163336342344337e-17,0.9273752873521672,0.9273737670953449,-1.5202568223182666e-06
n00110,W_west,0.0,0.0,0.0,0.9205352096529488,0.9205355047315793,2.9507863053002126e-07
n00110,full360,0.2503331233960096,0.2504148999600945,8.177656408486778e-05,0.9292815940085272,0.9292807295027694,-8.64505757758316e-07
n00262,N_uptown,2.0690433541599456,2.0692395167739566,0.00019616261401100843,0.8714107052620911,0.8714065274359214,-4.177826169682319e-06
n00262,E_east,1.9030508652135336,1.903408772284785,0.0003579070712513843,0.8722663131347356,0.8722623098426467,-4.00329208882777e-06
n00262,S_downtown,6.751238503100302,6.751512330161987,0.0002738270616848837,0.9376490916180557,0.937646654510837,-2.437107218700163e-06
n00262,W_west,6.917230992046713,6.917343074651158,0.00011208260444472984,0.9397633791719937,0.9397608273897646,-2.5517822290765935e-06
n00262,full360,4.410140928630124,4.4103759234679725,0.00023499483784839015,0.9043687735124737,0.9043656168586085,-3.1566538651883747e-06
n00270,N_uptown,4.471423862649179,4.471686261744668,0.0002623990954884192,0.9294109855336378,0.9294105595090466,-4.260245911602567e-07
n00270,E_east,5.948765460140195,5.949736049752928,0.0009705896127325531,0.9266365093295401,0.9266349897143346,-1.5196152055585443e-06
n00270,S_downtown,6.877896315129845,6.879225635444031,0.0013293203141859777,0.9295522662379102,0.9295503130168795,-1.953221030692731e-06
n00270,W_west,5.40055471763883,5.401175847435771,0.0006211297969409557,0.9324382116766694,0.9324374037631102,-8.079135591643194e-07
n00270,full360,5.674660088889512,5.67545594859435,0.0007958597048380867,0.9294786555193715,0.9294774972487337,-1.1582706377355478e-06
n00354,N_uptown,0.967606692680765,0.968613216303981,0.0010065236232159602,0.9505984888469867,0.9505976146495669,-8.741974197867819e-07
n00354,E_east,0.34415349403782153,0.3441534940378215,-5.551115123125783e-17,0.945275541110596,0.9452755240445144,-1.706608154794509e-08
n00354,S_downtown,2.678789867348366,2.679213585831429,0.00042371848306288484,0.9244529855853494,0.924452093501376,-8.920839733583819e-07
n00354,W_west,3.30224306599131,3.303673308097589,0.0014302421062790671,0.9296604985568302,0.9296583243506633,-2.1742061668827972e-06
n00354,full360,1.8231982800145656,1.8239134010677052,0.0007151210531395336,0.9378670366123363,0.9378661152494144,-9.213629218463026e-07
