street,direction,seq,node_id,cardinal,file,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
1st_avenue,north_to_south,24,n00019,S,1st_avenue/north_to_south/24_n00019_S.jpg,37.2852,1.8677,36.8551,1.3107,6.078,0.3478,0.0057,1.2751,0.4357,0.5044,11.9981,0.1782,0.0424,0.2163,1.5824,0.0,0.0,0.0,0.0173
1st_avenue,north_to_south,25,n00018,S,1st_avenue/north_to_south/25_n00018_S.jpg,36.4202,1.5821,37.8906,0.5155,1.8107,0.9536,0.0044,0.5132,1.5948,0.0,14.7663,0.0372,0.2393,0.7982,2.6804,0.0,0.0102,0.0,0.1833
1st_avenue,north_to_south,26,n00017,S,1st_avenue/north_to_south/26_n00017_S.jpg,43.8986,1.5343,30.6844,0.5057,0.0,0.4526,0.0525,0.0424,5.0758,0.0503,16.0071,0.0409,0.0366,1.3613,0.035,0.1616,0.0,0.0,0.0607
1st_avenue,north_to_south,27,n00016,S,1st_avenue/north_to_south/27_n00016_S.jpg,40.9662,2.141,32.0712,0.1365,1.1216,0.1007,0.0168,0.0829,9.9218,0.1776,11.9026,0.2437,0.001,1.0585,0.0,0.0,0.0,0.0,0.0579
1st_avenue,north_to_south,28,n00015,S,1st_avenue/north_to_south/28_n00015_S.jpg,39.6171,2.7849,23.7784,0.5803,0.0726,0.7941,0.0011,0.0381,17.7023,0.0199,11.8209,0.1998,0.0,2.5904,0.0,0.0,0.0,0.0,0.0
1st_avenue,north_to_south,29,n00014,S,1st_avenue/north_to_south/29_n00014_S.jpg,36.585,0.5386,18.0684,0.2734,0.1496,0.1604,0.0,0.0016,18.2233,0.0,15.5859,0.299,0.0,10.1149,0.0,0.0,0.0,0.0,0.0
1st_avenue,north_to_south,30,n00013,S,1st_avenue/north_to_south/30_n00013_S.jpg,38.2512,0.4073,16.4642,0.199,0.5775,0.2593,0.0392,0.041,10.6527,0.1349,23.0941,0.197,0.0001,9.6264,0.0009,0.0,0.0,0.0,0.055
1st_avenue,north_to_south,31,n00012,S,1st_avenue/north_to_south/31_n00012_S.jpg,41.7195,1.7063,8.7443,0.3203,2.6926,0.0703,0.0036,0.0242,31.3174,0.1454,11.6366,0.21,0.1219,1.1603,0.0,0.0,0.0,0.0,0.1274
1st_avenue,north_to_south,32,n00011,S,1st_avenue/north_to_south/32_n00011_S.jpg,41.0444,1.265,11.616,0.4882,2.0384,0.2039,0.001,0.0273,27.8076,0.0021,11.3078,0.022,0.0,4.1758,0.0,0.0,0.0,0.0,0.0006
1st_avenue,north_to_south,33,n00010,S,1st_avenue/north_to_south/33_n00010_S.jpg,40.567,2.629,15.5169,0.2979,1.2457,0.2913,0.0007,0.0073,18.8717,0.2318,16.1846,0.0621,0.0154,4.0786,0.0,0.0,0.0,0.0,0.0
1st_avenue,north_to_south,34,n00009,S,1st_avenue/north_to_south/34_n00009_S.jpg,44.7552,1.629,19.856,0.0402,0.9324,0.2139,0.0573,0.0158,11.1834,0.219,19.6055,0.1889,0.0472,1.2175,0.0,0.0,0.0,0.0,0.0387
1st_avenue,north_to_south,35,n00008,S,1st_avenue/north_to_south/35_n00008_S.jpg,42.2191,1.2708,24.6099,0.3315,0.2654,0.1022,0.0,0.2832,12.7152,0.0064,13.448,0.2454,0.0,1.7892,2.7136,0.0,0.0,0.0,0.0
1st_avenue,north_to_south,36,n00007,S,1st_avenue/north_to_south/36_n00007_S.jpg,42.7544,2.4268,26.0781,0.0,2.4073,0.7358,0.0004,0.1274,16.3625,0.0108,8.888,0.0,0.0058,0.0348,0.1466,0.0,0.0,0.0,0.0215
1st_avenue,north_to_south,37,n00006,S,1st_avenue/north_to_south/37_n00006_S.jpg,43.8533,1.2668,31.7513,0.2014,0.7924,0.417,0.003,0.1218,8.5232,0.1835,11.5951,0.5547,0.0473,0.5669,0.0779,0.0,0.0,0.0,0.0441
1st_avenue,north_to_south,38,n00005,S,1st_avenue/north_to_south/38_n00005_S.jpg,45.0164,1.1431,30.5826,0.0004,0.2118,0.2532,0.0193,0.0456,6.2761,0.022,14.8348,0.3821,0.0633,0.3947,0.6321,0.0,0.0,0.0,0.1225
1st_avenue,north_to_south,39,n00004,S,1st_avenue/north_to_south/39_n00004_S.jpg,40.9808,1.3329,31.2391,0.1174,1.3004,0.476,0.0,0.0691,11.6315,0.0,7.6727,0.1641,0.3166,0.3751,3.8899,0.0,0.0,0.0,0.4344
1st_avenue,north_to_south,40,n00003,S,1st_avenue/north_to_south/40_n00003_S.jpg,41.0392,2.6001,33.6142,0.0585,0.438,0.2688,0.0008,0.0,10.5226,0.0,8.422,0.2843,0.0864,2.2356,0.0,0.0,0.0,0.0,0.4296
1st_avenue,north_to_south,41,n00002,S,1st_avenue/north_to_south/41_n00002_S.jpg,42.2271,3.3871,35.3919,0.5593,0.0,0.8964,0.0141,0.0563,6.0734,0.0559,10.1967,0.2988,0.0,0.8432,0.0,0.0,0.0,0.0,0.0
1st_avenue,north_to_south,42,n00001,S,1st_avenue/north_to_south/42_n00001_S.jpg,45.7673,0.4923,32.3648,0.0,0.0,0.282,0.0089,0.045,2.4019,0.0148,15.8031,0.8566,0.0,1.9029,0.0452,0.0,0.0,0.0,0.0152
1st_avenue,south_to_north,1,n00001,N,1st_avenue/south_to_north/01_n00001_N.jpg,40.0123,4.2421,40.8449,0.0,0.272,0.8587,0.1793,0.2544,4.9832,0.0,5.271,1.3296,0.0141,1.6789,0.0,0.0,0.0,0.0,0.0594
1st_avenue,south_to_north,2,n00002,N,1st_avenue/south_to_north/02_n00002_N.jpg,40.2512,1.8469,36.3588,0.0121,0.0506,0.1503,0.0,0.2083,9.639,0.0,6.3702,0.2095,0.3467,3.8693,0.1344,0.0,0.0,0.0003,0.5524
1st_avenue,south_to_north,3,n00003,N,1st_avenue/south_to_north/03_n00003_N.jpg,41.6263,2.4325,33.603,0.0,0.3731,0.0541,0.0,0.0336,10.4958,0.0813,6.7452,0.6516,0.2512,0.2251,3.2047,0.0,0.0,0.0,0.2226
1st_avenue,south_to_north,4,n00004,N,1st_avenue/south_to_north/04_n00004_N.jpg,43.3511,1.8379,27.2419,0.314,1.347,0.3416,0.0086,0.0874,12.0864,0.0271,12.3447,0.5459,0.0105,0.442,0.0,0.0,0.0,0.0002,0.0134
1st_avenue,south_to_north,5,n00005,N,1st_avenue/south_to_north/05_n00005_N.jpg,42.918,1.7624,27.4281,0.1534,1.6009,0.8722,0.0254,0.4123,17.6036,0.0121,5.9552,0.6096,0.0862,0.422,0.0,0.0,0.0,0.0,0.1385
1st_avenue,south_to_north,6,n00006,N,1st_avenue/south_to_north/06_n00006_N.jpg,40.2587,1.5002,27.0218,0.0,3.2044,1.7414,0.0,0.6188,18.4439,0.0743,6.2893,0.1725,0.0018,0.575,0.0749,0.0,0.0,0.0026,0.0205
1st_avenue,south_to_north,7,n00007,N,1st_avenue/south_to_north/07_n00007_N.jpg,41.6667,0.8464,26.3263,0.0304,0.1074,0.0462,0.0,0.3346,13.4574,0.0701,10.643,0.3801,0.003,1.6801,4.4027,0.0,0.0,0.0,0.0058
1st_avenue,south_to_north,8,n00008,N,1st_avenue/south_to_north/08_n00008_N.jpg,41.9688,2.7384,27.5558,0.2236,0.8842,0.3397,0.0052,0.7217,15.6769,0.2088,8.2333,0.0851,0.0005,1.1625,0.1906,0.0,0.0,0.0,0.0049
1st_avenue,south_to_north,9,n00009,N,1st_avenue/south_to_north/09_n00009_N.jpg,41.5922,1.364,16.5797,0.311,0.9135,0.3634,0.0071,0.0954,19.8503,0.0175,14.212,0.0664,0.0,4.6275,0.0,0.0,0.0,0.0,0.0
1st_avenue,south_to_north,10,n00010,N,1st_avenue/south_to_north/10_n00010_N.jpg,41.7038,1.0076,17.4303,0.4255,0.9595,0.0951,0.0008,0.2628,23.8588,0.2659,9.1041,0.0,0.0036,4.8293,0.0,0.0,0.0,0.0,0.0528
1st_avenue,south_to_north,11,n00011,N,1st_avenue/south_to_north/11_n00011_N.jpg,41.4074,2.0338,16.6922,0.1717,1.9429,0.0675,0.0,0.0487,26.3265,0.0085,8.0048,0.1086,0.1037,2.9292,0.0,0.0,0.0,0.0,0.1544
1st_avenue,south_to_north,12,n00012,N,1st_avenue/south_to_north/12_n00012_N.jpg,38.2223,1.831,25.0294,0.5686,1.2541,0.2765,0.0,0.0962,14.5089,0.0,10.9938,0.1979,0.0,6.9382,0.0832,0.0,0.0,0.0,0.0
1st_avenue,south_to_north,13,n00013,N,1st_avenue/south_to_north/13_n00013_N.jpg,35.3803,2.6611,24.7305,0.7443,0.2371,0.5547,0.1121,0.3669,15.6988,0.0603,11.1802,0.1369,0.0,8.1368,0.0,0.0,0.0,0.0,0.0
1st_avenue,south_to_north,14,n00014,N,1st_avenue/south_to_north/14_n00014_N.jpg,42.5612,1.8173,22.9155,0.4093,0.17,0.4339,0.0,0.0718,24.5175,0.5176,6.0402,0.2601,0.0017,0.2723,0.0,0.0,0.0,0.0,0.0115
1st_avenue,south_to_north,15,n00015,N,1st_avenue/south_to_north/15_n00015_N.jpg,42.0327,1.8106,37.1396,0.0945,0.575,0.7176,0.0104,0.0233,5.9703,0.1315,10.9486,0.2785,0.0033,0.1588,0.0,0.0,0.0943,0.0,0.0109
1st_avenue,south_to_north,16,n00016,N,1st_avenue/south_to_north/16_n00016_N.jpg,45.5089,1.0192,26.1085,0.4609,0.5026,1.3821,0.1602,0.2467,0.9047,0.0132,22.3913,0.0754,0.0376,1.0204,0.0,0.0,0.0923,0.0,0.076
1st_avenue,south_to_north,17,n00017,N,1st_avenue/south_to_north/17_n00017_N.jpg,41.4269,2.276,26.7752,0.3585,3.2195,0.7214,0.0478,1.3221,0.0,0.0,22.7001,0.0366,0.1759,0.486,0.0016,0.0007,0.0935,0.0078,0.3503
1st_avenue,south_to_north,18,n00018,N,1st_avenue/south_to_north/18_n00018_N.jpg,35.4787,1.7131,29.9556,0.076,4.7093,0.2626,0.0005,0.3221,0.0,0.0,22.211,0.1748,0.0,0.7148,4.256,0.0,0.1205,0.0,0.0051
1st_avenue,south_to_north,19,n00019,N,1st_avenue/south_to_north/19_n00019_N.jpg,38.8351,1.5096,25.7232,0.3379,4.2288,0.9063,0.1159,1.3504,0.1666,0.8066,21.2928,0.0171,0.0103,0.8339,3.8651,0.0,0.0,0.0,0.0004
1st_avenue,south_to_north,20,n00020,N,1st_avenue/south_to_north/20_n00020_N.jpg,39.1522,1.5507,28.6041,2.1127,2.55,0.8895,0.0282,0.596,0.4424,0.3627,21.5144,0.2368,0.0196,1.0649,0.876,0.0,0.0,0.0,0.0
1st_avenue,south_to_north,21,n00021,N,1st_avenue/south_to_north/21_n00021_N.jpg,40.0267,1.1386,24.0363,0.2553,1.1048,0.348,0.0038,0.0124,4.0993,0.7992,21.9539,0.0877,0.0564,6.0209,0.0,0.0,0.0,0.0,0.0567
1st_avenue,south_to_north,22,n00022,N,1st_avenue/south_to_north/22_n00022_N.jpg,43.7671,2.5274,29.7084,0.544,1.5874,0.2312,0.0009,0.045,0.0002,0.0,20.822,0.2124,0.0185,0.4452,0.0,0.0,0.0,0.0,0.0903
1st_avenue,south_to_north,23,n00023,N,1st_avenue/south_to_north/23_n00023_N.jpg,43.7671,2.5274,29.7084,0.544,1.5874,0.2312,0.0009,0.045,0.0002,0.0,20.822,0.2124,0.0185,0.4452,0.0,0.0,0.0,0.0,0.0903
1st_avenue,south_to_north,24,n00025,N,1st_avenue/south_to_north/24_n00025_N.jpg,42.7978,2.0752,28.7755,0.7714,1.5277,0.4233,0.0014,0.2854,0.0081,0.4861,21.2144,0.2895,0.1492,1.1088,0.0004,0.0226,0.0049,0.0,0.0585
1st_avenue,south_to_north,25,n00026,N,1st_avenue/south_to_north/25_n00026_N.jpg,43.9351,0.7695,26.4212,0.0017,1.4971,0.2695,0.039,0.0853,0.1234,0.0,23.2677,0.1458,0.0351,3.3949,0.0045,0.0,0.0001,0.0,0.0102
1st_avenue,south_to_north,26,n00027,N,1st_avenue/south_to_north/26_n00027_N.jpg,43.9351,0.7695,26.4212,0.0017,1.4971,0.2695,0.039,0.0853,0.1234,0.0,23.2677,0.1458,0.0351,3.3949,0.0045,0.0,0.0001,0.0,0.0102
1st_avenue,south_to_north,27,n00028,N,1st_avenue/south_to_north/27_n00028_N.jpg,40.3073,0.8364,30.5615,0.1282,1.9709,0.5193,0.0003,0.3211,0.8227,2.2338,19.9321,0.0337,0.1055,2.186,0.0048,0.0,0.0,0.0,0.0365
1st_avenue,south_to_north,28,n00029,N,1st_avenue/south_to_north/28_n00029_N.jpg,40.3073,0.8364,30.5615,0.1282,1.9709,0.5193,0.0003,0.3211,0.8227,2.2338,19.9321,0.0337,0.1055,2.186,0.0048,0.0,0.0,0.0,0.0365
1st_avenue,south_to_north,29,n00030,N,1st_avenue/south_to_north/29_n00030_N.jpg,40.3515,1.1023,30.4843,2.2453,2.9018,0.1807,0.0001,0.119,0.7201,1.0494,20.0967,0.1099,0.2352,0.3898,0.0,0.0,0.0009,0.0,0.013
1st_avenue,south_to_north,30,n00031,N,1st_avenue/south_to_north/30_n00031_N.jpg,42.2535,1.1412,30.2802,1.6351,2.4654,0.3945,0.003,0.045,1.047,0.0045,19.9832,0.0594,0.2243,0.2603,0.0731,0.0011,0.0003,0.0,0.129
1st_avenue,south_to_north,31,n00032,N,1st_avenue/south_to_north/31_n00032_N.jpg,41.1479,1.0807,31.5316,1.1223,1.6542,0.2729,0.0279,0.3874,1.2712,1.369,18.7225,0.0152,0.5107,0.2466,0.1582,0.0,0.0,0.0,0.4818
1st_avenue,south_to_north,32,n00033,N,1st_avenue/south_to_north/32_n00033_N.jpg,40.4765,4.7485,30.4027,2.7673,0.4531,0.454,0.0963,0.1311,1.7943,0.021,17.8941,0.081,0.0,0.6382,0.0149,0.0049,0.0,0.0,0.0221
1st_avenue,south_to_north,33,n00034,N,1st_avenue/south_to_north/33_n00034_N.jpg,41.1611,1.2901,29.2816,2.5302,3.4053,0.565,0.0491,0.1738,2.818,0.0077,17.9835,0.0981,0.0,0.5549,0.0795,0.002,0.0,0.0,0.0
1st_avenue,south_to_north,34,n00035,N,1st_avenue/south_to_north/34_n00035_N.jpg,43.9587,1.9991,27.7911,0.8935,1.7164,0.6054,0.0335,0.3266,5.086,0.0384,16.9471,0.1778,0.0,0.2888,0.1092,0.0,0.0022,0.0,0.026
1st_avenue,south_to_north,35,n00036,N,1st_avenue/south_to_north/35_n00036_N.jpg,41.4289,0.4206,28.7857,2.9133,4.9349,0.7405,0.0001,0.16,3.1601,0.4295,16.6796,0.1001,0.0,0.2385,0.0,0.0001,0.0082,0.0,0.0
1st_avenue,south_to_north,36,n00037,N,1st_avenue/south_to_north/36_n00037_N.jpg,39.3343,1.7134,30.1578,0.0504,9.5513,0.3205,0.0005,0.0146,2.4252,0.3407,14.9474,0.4632,0.0,0.6191,0.0617,0.0,0.0,0.0,0.0
1st_avenue,south_to_north,37,n00038,N,1st_avenue/south_to_north/37_n00038_N.jpg,35.8095,0.7223,30.2078,4.9679,5.7058,0.6942,0.003,0.0111,2.7149,0.0039,15.654,0.0315,0.3205,0.3364,0.0,0.1869,0.0,0.0,2.6305
1st_avenue,south_to_north,38,n00039,N,1st_avenue/south_to_north/38_n00039_N.jpg,37.5069,2.4582,31.4395,2.3118,9.9046,0.7928,0.0,0.1039,0.4988,0.0,14.2519,0.612,0.0,0.0565,0.0,0.0,0.0,0.0,0.0632
1st_avenue,south_to_north,39,n00040,N,1st_avenue/south_to_north/39_n00040_N.jpg,34.0406,1.321,31.0763,4.9052,6.9515,1.1975,0.0537,0.6281,2.5575,0.0084,15.5947,0.1596,0.0679,0.4609,0.0155,0.2215,0.0,0.0,0.7402
1st_avenue,south_to_north,40,n00041,N,1st_avenue/south_to_north/40_n00041_N.jpg,36.5918,1.8325,32.5822,5.3133,5.6885,0.7284,0.1238,0.1951,2.8464,0.0037,12.994,0.3131,0.0,0.2432,0.3069,0.0,0.0,0.0,0.2372
1st_avenue,south_to_north,41,n00042,N,1st_avenue/south_to_north/41_n00042_N.jpg,46.9166,0.3221,27.4691,0.0,0.9708,0.2575,0.0952,0.0384,4.3369,0.0444,17.5203,0.3341,0.0391,1.0066,0.0,0.5919,0.0,0.0,0.0569
1st_avenue,south_to_north,42,n00043,N,1st_avenue/south_to_north/42_n00043_N.jpg,45.3036,0.8927,36.3379,0.0435,0.3971,0.8679,0.2472,0.1241,2.9729,0.0288,10.7722,0.6317,0.0084,1.2958,0.0,0.0,0.0,0.076,0.0
2nd_avenue,north_to_south,1,n00078,S,2nd_avenue/north_to_south/01_n00078_S.jpg,38.3141,2.0403,42.9884,0.0,0.2719,0.8928,0.0985,0.0928,2.5726,0.0016,6.2354,0.9085,0.0,5.0696,0.4852,0.0,0.0254,0.0,0.003
2nd_avenue,north_to_south,2,n00077,S,2nd_avenue/north_to_south/02_n00077_S.jpg,32.2353,1.9952,41.5007,0.0,0.0,0.2392,0.0141,0.1938,7.599,0.0221,4.1869,0.3728,0.0,10.6729,0.2008,0.7649,0.0,0.0,0.0024
2nd_avenue,north_to_south,3,n00076,S,2nd_avenue/north_to_south/03_n00076_S.jpg,31.9056,1.2122,46.6893,0.0,0.006,0.3311,0.0074,0.0459,3.5292,0.0,4.0394,0.2576,0.0,11.3941,0.3442,0.2085,0.0,0.0215,0.0081
2nd_avenue,north_to_south,4,n00075,S,2nd_avenue/north_to_south/04_n00075_S.jpg,36.735,2.0601,46.3153,0.0211,0.2221,0.0235,0.0,0.0006,1.9325,0.0394,4.4037,0.1807,0.0,4.5394,3.521,0.0,0.0,0.0057,0.0
2nd_avenue,north_to_south,5,n00074,S,2nd_avenue/north_to_south/05_n00074_S.jpg,43.125,0.7478,36.0985,0.0,0.0,0.2838,0.0205,0.1198,7.2453,0.0,8.4213,0.2069,0.0,2.9666,0.7646,0.0,0.0,0.0,0.0
2nd_avenue,north_to_south,6,n00073,S,2nd_avenue/north_to_south/06_n00073_S.jpg,40.924,1.1188,45.455,0.0,0.0,0.0136,0.0,0.1242,3.7887,0.0,4.4411,0.1102,0.0,3.9232,0.1013,0.0,0.0,0.0,0.0
2nd_avenue,north_to_south,7,n00072,S,2nd_avenue/north_to_south/07_n00072_S.jpg,41.6831,2.4131,42.0381,0.0078,0.4101,0.2273,0.0059,0.0516,6.4359,0.0,4.5658,0.3567,0.0,1.7468,0.0372,0.0,0.0,0.0,0.0205
2nd_avenue,north_to_south,8,n00071,S,2nd_avenue/north_to_south/08_n00071_S.jpg,41.9167,1.8165,38.2774,0.3374,0.0,0.3004,0.0159,0.0085,10.3468,0.0175,5.3642,0.118,0.0218,1.3715,0.0,0.0,0.0,0.0,0.0873
2nd_avenue,north_to_south,9,n00070,S,2nd_avenue/north_to_south/09_n00070_S.jpg,43.2557,1.4812,37.8235,0.7637,0.0538,0.5406,0.3847,0.0367,6.9697,0.2649,6.6923,0.4782,0.0003,1.2263,0.0,0.0,0.0,0.0214,0.007
2nd_avenue,north_to_south,10,n00069,S,2nd_avenue/north_to_south/10_n00069_S.jpg,40.9289,2.3541,49.5877,0.0,0.3956,0.2067,0.0017,0.0564,3.3052,0.0001,1.2201,0.3402,0.2514,1.107,0.0,0.0,0.0,0.0,0.245
2nd_avenue,north_to_south,11,n00068,S,2nd_avenue/north_to_south/11_n00068_S.jpg,30.436,0.0261,44.275,1.5896,1.0174,0.1138,0.0223,0.002,0.0654,0.0,4.9115,0.1547,0.1737,0.422,0.3103,16.3449,0.0,0.0,0.1354
2nd_avenue,north_to_south,12,n00067,S,2nd_avenue/north_to_south/12_n00067_S.jpg,36.5348,1.5793,43.4487,1.1742,1.27,0.5274,0.0275,0.3106,2.4696,0.1694,8.079,0.3853,0.249,0.8664,2.6003,0.0782,0.0525,0.0002,0.1776
2nd_avenue,north_to_south,13,n00066,S,2nd_avenue/north_to_south/13_n00066_S.jpg,39.7196,2.071,41.088,0.0644,0.0027,0.4518,0.1322,0.2536,1.5821,0.0002,8.1788,1.9323,0.0,1.0524,3.4709,0.0,0.0,0.0,0.0001
2nd_avenue,north_to_south,14,n00065,S,2nd_avenue/north_to_south/14_n00065_S.jpg,37.7832,1.5266,42.876,0.0,0.0,0.0803,0.0061,0.1318,1.0451,0.0,8.5574,0.0845,0.0,6.3367,1.5565,0.0,0.0,0.0,0.0158
2nd_avenue,north_to_south,15,n00064,S,2nd_avenue/north_to_south/15_n00064_S.jpg,28.8728,0.6509,36.4448,0.0,0.0,0.2086,0.0005,0.12,5.3065,0.0006,11.3401,0.1229,0.0067,16.5838,0.2903,0.0,0.0,0.0,0.0514
2nd_avenue,north_to_south,16,n00063,S,2nd_avenue/north_to_south/16_n00063_S.jpg,31.9134,0.5736,34.1901,0.8889,0.0992,0.3992,0.0035,0.1522,4.5828,0.0023,13.4442,0.2957,0.0719,11.4233,1.7864,0.0,0.0,0.0,0.1735
2nd_avenue,north_to_south,17,n00062,S,2nd_avenue/north_to_south/17_n00062_S.jpg,39.4483,0.4157,28.1418,0.0,0.0,0.1874,0.0961,0.0084,5.9041,0.0002,17.332,0.5726,0.0417,7.3074,0.4778,0.0337,0.0,0.0,0.0328
