node_id,osm_name,H_m,VEI,face_id,cone,band,bandperp,cone_ok,cone_hw,band_ok,band_hw,bandperp_ok,bandperp_hw
n00000,1st Avenue,12.737592,0.7572749729537567,f1,,41.165186605682074,37.673719774690866,False,,True,0.3094263150562718,True,0.338102849311872
n00001,1st Avenue,27.459432000000003,0.7494814100794457,f1,,,,False,,False,,False,
n00002,1st Avenue,41.86732800000001,0.8050657532559079,f1,67.43173828269983,67.43173828303867,65.28226545993766,True,0.6208846022102535,True,0.6208846022071336,True,0.6413277435307924
n00003,1st Avenue,41.86732800000001,0.8497553498720423,f1,68.46637894300804,68.11251320984982,65.94543082393477,True,0.611502005018415,True,0.6146789485070054,True,0.6348783756039144
n00004,1st Avenue,33.569713660032,0.7760906129185163,f1,67.34635764720352,67.3463576468316,65.33906278060763,True,0.4984636858297257,True,0.4984636858324784,True,0.5137770918562266
n00005,1st Avenue,26.483592830016,0.6871678155598397,f1,,,,False,,False,,False,
n00006,1st Avenue,99.080856830016,0.6893878035142189,f1,58.209976002070164,58.209976002070164,56.96214241130399,True,1.7021284603603395,True,1.7021284603603395,True,1.7394159109147844
n00007,1st Avenue,99.080856830016,0.6748072135076166,f1,57.58034168249005,57.58034168271375,55.962153582168995,True,1.7207410365219504,True,1.7207410365152653,True,1.770497568227713
n00008,1st Avenue,99.080856830016,0.6774725230797686,f1,,,,False,,False,,False,
n00009,1st Avenue,164.592,0.5985825264923436,f1,,,,False,,False,,False,
n00010,1st Avenue,99.9744,0.5878376102486164,f1,,,,False,,False,,False,
n00011,1st Avenue,99.9744,0.5951006692478065,f1,,,,False,,False,,False,
n00012,1st Avenue,63.922656,0.6345049971599115,f1,94.84039359700878,,,True,0.6740024326724862,False,,False,
n00013,1st Avenue,27.870912,0.5868522748092759,f1,,74.80502866630482,72.80362712633726,False,,True,0.37258072748462395,True,0.3828231243429009
n00014,1st Avenue,27.171396,0.714707182126892,f1,52.5120547599735,52.512054760107404,50.75095097519011,True,0.5174315902167091,True,0.5174315902153898,True,0.5353869332080673
n00015,1st Avenue,27.171396,0.7640134878831241,f1,51.78732838481773,51.00749551836531,48.40593456068286,True,0.524672672783903,True,0.5326941800194229,True,0.5613236527008332
n00016,1st Avenue,27.870912,0.6507512161862778,f1,79.05923620809145,80.11980956113689,78.68306629373524,True,0.3525320169630921,True,0.3478654299437967,True,0.35421741059192924
n00017,1st Avenue,35.48634,0.6003349052351582,f1,68.9090429650844,62.439079673067944,61.33040408473444,True,0.5149736300644984,True,0.5683354108645909,True,0.5786092645170227
n00018,1st Avenue,44.500800000000005,0.5186422324751853,f1,,,,False,,False,,False,
n00019,1st Avenue,44.500800000000005,0.572299613657707,f1,,,,False,,False,,False,
n00020,1st Avenue,92.202,0.5847655031455594,f1,,,,False,,False,,False,
n00021,1st Avenue,92.202,0.5943332297379051,f1,,,,False,,False,,False,
n00022,1st Avenue,139.9032,0.5824060453049993,f1,,,,False,,False,,False,
n00023,1st Avenue,139.9032,0.5824060453049993,f1,,,,False,,False,,False,
n00025,1st Avenue,139.9032,0.5675092316281081,f1,,,,False,,False,,False,
n00026,1st Avenue,114.66576,0.531274004450575,f1,,,,False,,False,,False,
