field,target,variant,rho,lo,hi,n,mode_pct,distinct
vertical_greenery,GVI,solo,0.33320530430404705,0.12714033157371218,0.4945232584044723,56,83.92857142857143,3
green_eye_level,GVI,solo,0.49098522995144384,0.2781088405244588,0.663795274224954,56,62.5,3
enclosure,VEI,solo,0.274126797061358,0.1723978058602827,0.39904436622720163,56,96.42857142857143,3
