unit,x,subset,n,ols_slope,ols_p,r2,theilsen_slope,ts_lo,ts_hi,rho,rho_p,rho_lo,rho_hi
node,VEI,all,578,-4.022879698880283,0.1277488249499112,0.011303034738483042,-9.256433090753402,-11.851666105028576,-6.968324382948876,-0.35765406556489393,6.979607258181865e-19,-0.5175453882909916,-0.1205204716960815
node,VEI,no Park Ave,541,-4.808526102870687,0.015685672112116217,0.052477914461738884,-8.325935167618338,-10.675137129553912,-6.30546058479008,-0.3577396229743693,8.897401684115547e-18,-0.5189106388153749,-0.12901653307320038
node,HW_ratio,all,421,-0.8511658028350754,2.8073710104338934e-05,0.1128930374766326,-0.7455233881403692,-0.9052742270719054,-0.6015481330132755,-0.5410175850852275,2.2226302680128303e-33,-0.6548924632098836,-0.3067571621991521
node,HW_ratio,no Park Ave,386,-0.6108034827015193,7.752745273967304e-11,0.22977622350451588,-0.7166558628466142,-0.8637879063867485,-0.5890781951439826,-0.5883049108158354,2.603906158012412e-37,-0.6841855442203241,-0.40598082589416273
face,VEI,all,22,-1.3442327199443016,0.8452737683168716,0.001950492264665149,-10.132063719988976,-34.99460740071431,-2.0112539905454865,-0.4918125352907962,0.020081872418541948,-0.8211111111111112,-0.0211622136483892
face,VEI,no Park Ave,19,-4.848757747853417,0.08485589323609709,0.16456008727779226,-8.859217581813676,-24.305381406168323,-1.4117595481153984,-0.5333333333333333,0.018696680998711235,-0.8340801120069854,-0.006158912482642066
face,HW_ratio,all,21,-1.219640948356965,0.17078063115870556,0.09638287768547715,-1.0303078739311753,-2.022381349308067,-0.33546724442289577,-0.4922077922077922,0.02341496306990662,-0.8133878174365302,0.006537022703818365
face,HW_ratio,no Park Ave,18,-1.1184231697038798,0.0010122483784200352,0.5011491994071722,-1.3320546475658845,-2.337082205637743,-0.7285319824284314,-0.7131062951496387,0.0008932304748108589,-0.9271298654649949,-0.2714031208828306
