face_id,node_id,osm_name,direction,travel_bearing,hard_barrier,soft_buffer,shelter,rest,building,sky,sidewalk,road,vehicle,person,eye_green,canopy_green
f1,n00003,1st Avenue,N_uptown,29.0,0.0,0.0,0.0,0.0015029761904761904,0.41377108134920637,0.04160590277777778,0.04582713293650793,0.36856770833333335,0.06273065476190476,0.00974826388888889,0.0013777281746031745,0.04140749007936508
f2,n00035,1st Avenue,N_uptown,29.0,0.057974950396825396,0.0,0.0,0.0,0.4040500992063492,0.14362723214285714,0.07677083333333333,0.24321056547619047,0.017421875,0.001746031746031746,0.0008668154761904762,0.00925843253968254
f3,n00040,1st Avenue,N_uptown,29.0,0.07122271825396825,0.0,0.0,0.0,0.3963454861111111,0.13536706349206348,0.044525049603174605,0.31071056547619047,0.004141865079365079,0.00047495039682539684,0.007254464285714286,0.007579365079365079
f4,n00044,2nd Avenue,N_uptown,29.0,0.02351686507936508,0.0,0.0,0.0,0.3100359623015873,0.13394097222222223,0.017462797619047617,0.37855406746031744,0.11034474206349207,0.001029265873015873,0.0,0.01357390873015873
f5,n00055,2nd Avenue,N_uptown,29.0,0.0005443948412698412,0.0,0.0,0.0,0.434187748015873,0.04481026785714286,0.026845238095238096,0.30124627976190477,0.12729290674603175,0.010245535714285714,4.96031746031746e-05,0.036485615079365076
f6,n00107,3rd Avenue,N_uptown,29.0,0.0,0.0,0.0,0.0,0.4881187996031746,0.02562748015873016,0.03620659722222222,0.336031746031746,0.08048859126984127,0.0022767857142857143,0.001888640873015873,0.023294890873015874
f7,n00141,East 34th Street,E_east,119.0,0.0,0.0,0.0,0.0,0.47884920634920636,0.05521329365079365,0.09586681547619047,0.2621999007936508,0.06634920634920635,0.0011966765873015874,0.00337921626984127,0.031716269841269844
f8,n00172,East 35th Street,E_east,119.0,0.0,0.0,0.0002132936507936508,0.005910218253968254,0.4738516865079365,0.038895089285714286,0.0605952380952381,0.2926736111111111,0.06064360119047619,0.005337301587301588,6.820436507936508e-05,0.05743427579365079
f10,n00230,East 36th Street,E_east,119.0,0.1132874503968254,0.0,0.0,0.0035751488095238093,0.28987847222222224,0.14029761904761906,0.06501612103174603,0.29352430555555553,0.006315724206349206,0.002163938492063492,0.003492063492063492,0.06856522817460317
f9,n00222,East 36th Street,E_east,119.0,0.01679563492063492,0.004993799603174603,0.0,0.0075062003968253965,0.46511036706349207,0.06198412698412698,0.08130084325396826,0.1784499007936508,0.0930109126984127,0.0,0.009429563492063493,0.07757936507936508
f11,n00239,East 37th Street,E_east,119.0,0.0,0.0,0.0,0.0,0.3818886408730159,0.10588293650793651,0.045344742063492066,0.3738864087301587,0.013777281746031746,0.0025248015873015873,0.0036371527777777778,0.06085193452380953
f12,n00242,East 37th Street,E_east,119.0,0.05762400793650794,0.0,0.0,0.0,0.3457390873015873,0.0,9.672619047619048e-05,0.15717633928571428,0.11501860119047619,0.0,0.0,0.0
f13,n00252,East 37th Street,E_east,119.0,0.022925347222222222,0.0,0.0,0.00041046626984126984,0.3430989583333333,0.1325235615079365,0.08036334325396825,0.3010515873015873,0.004294394841269841,0.0009449404761904762,0.003787202380952381,0.11001364087301588
f14,n00278,East 37th Street,E_east,119.0,0.0009449404761904762,0.0,0.0,0.0,0.3527579365079365,0.02377108134920635,0.014140625,0.20374875992063493,0.35778521825396825,0.0016307043650793651,0.002251984126984127,0.03486483134920635
f15,n00325,East 38th Street,E_east,119.0,0.01497891865079365,0.0,0.0,0.0,0.42369295634920634,0.0767609126984127,0.007718253968253968,0.1548251488095238,0.24580233134920634,0.0009300595238095238,0.0333953373015873,0.040747767857142854
f16,n00359,East 39th Street,E_east,119.0,0.011474454365079365,5.9523809523809524e-05,0.0,0.000757688492063492,0.5503683035714285,0.020203373015873015,0.0889967757936508,0.12496775793650794,0.15057415674603175,0.006256200396825397,0.008676835317460318,0.02295386904761905
f17,n00378,East 40th Street,E_east,119.0,0.0,0.0,0.0,0.0,0.4172433035714286,0.01707465277777778,0.011571180555555555,0.22148189484126984,0.33033730158730157,0.00013020833333333333,0.00023065476190476191,0.0005605158730158731
f18,n00417,East 41st Street,E_east,119.0,0.0,0.0,0.00022445436507936508,0.0,0.5468613591269841,0.011999007936507936,0.0516046626984127,0.24384300595238095,0.11968377976190477,0.006345486111111111,0.00032738095238095237,0.007614087301587301
f19,n00464,East 42nd Street,E_east,119.0,0.0,0.0,0.0,0.0,0.48603670634920637,0.03762276785714286,0.025150049603174605,0.3354575892857143,0.08688244047619048,0.005531994047619048,0.0,0.002836061507936508
f20,n00504,Lexington Avenue,N_uptown,29.0,0.0,0.0010763888888888889,0.0,0.0,0.5302616567460318,0.023656994047619048,0.04133060515873016,0.34838789682539684,0.03072668650793651,0.011930803571428571,0.0,0.0
f21,n00524,Lexington Avenue,N_uptown,29.0,0.003203125,0.0005716765873015873,0.0012251984126984126,0.005104166666666667,0.4516158234126984,0.04340401785714286,0.04670014880952381,0.3370486111111111,0.06367063492063492,0.009964037698412698,0.004748263888888889,0.03099330357142857
f22,n00548,Madison Avenue,N_uptown,29.0,0.0,0.0,0.0,0.0,0.4430121527777778,0.020693204365079366,0.04494543650793651,0.2879625496031746,0.1522594246031746,0.011841517857142858,0.0,0.012313988095238095
f23,n00566,Park Avenue,N_uptown,29.0,0.03974082341269841,0.0002492559523809524,0.0,0.002254464285714286,0.3541455853174603,0.013928571428571429,0.03608134920634921,0.2403658234126984,0.08308531746031746,0.0015004960317460318,0.06347842261904763,0.15538070436507936
f24,n00577,Park Avenue,N_uptown,29.0,0.055228174603174605,0.0,0.0,0.0,0.4617423115079365,0.0022222222222222222,0.004857390873015873,0.2194171626984127,0.08824652777777778,0.0012475198412698412,0.0001984126984126984,0.03046999007936508
f25,n00587,Park Avenue,N_uptown,29.0,0.021636904761904763,6.324404761904761e-05,0.0,0.0,0.3743005952380952,0.021783234126984127,0.03067956349206349,0.32832713293650795,0.024351438492063494,0.0024937996031746032,0.059735863095238095,0.13327752976190477
