field,target,variant,rho,lo,hi,n,mode_pct,distinct
vertical_greenery,GVI,solo,0.5455677702184928,0.28161525158098116,0.7311863970382703,56,71.42857142857143,3
green_eye_level,GVI,solo,0.7899685001363899,0.6544673111795617,0.8740626809640025,56,48.214285714285715,4
enclosure,VEI,solo,0.3809707997930502,0.2098135268880937,0.4877366071813925,56,89.28571428571429,3
