model,unit,n,slope,ci_lo,ci_hi,p,r2,spearman_rho,rho_p
node OLS (INVALID SEs),node,578,-4.022879698880283,-7.101963335826837,-0.9437960619337291,0.01053600203488233,0.011303034738483042,-0.35765406556489393,6.979607258181865e-19
"node OLS, clustered by face",node,578,-4.022879698880283,-9.19982970932456,1.1540703115639932,0.1277488249499112,0.011303034738483042,-0.35765406556489393,6.979607258181865e-19
block-face medians,face,22,-1.3442327199443007,-15.527297440410099,12.838832000521496,0.8452737683168717,0.001950492264665038,-0.4918125352907962,0.020081872418541948
"block-face medians, no Park Ave",face,19,-4.84875774785342,-10.439196268544297,0.7416807728374559,0.08485589323609692,0.16456008727779226,-0.5333333333333333,0.018696680998711235
