view,n,faces,hw_mid,median,lo,hi
N_uptown,27.0,5.0,0.5697514600311778,3.2759906091374025,2.381522117839058,5.200042547770307
N_uptown,27.0,7.0,0.880263760388362,3.76930868954497,1.601435616991636,19.338291401858537
N_uptown,27.0,5.0,1.2205975328892311,11.177148961201825,1.239575551788143,15.37924159093445
N_uptown,27.0,8.0,2.244295456307801,1.412772227258344,0.7554117298786545,2.9588461471866596
N_uptown,27.0,7.0,4.226079735051354,0.1474040815263045,0.0082069208055881,1.5608365529815975
S_downtown,27.0,5.0,0.5697514600311778,3.0760629550769094,2.9945692540401856,4.751326320397562
S_downtown,27.0,7.0,0.880263760388362,2.4697194817707424,1.4891517753573127,21.48869248462036
S_downtown,27.0,5.0,1.2205975328892311,9.65218872219886,3.8315731058145674,16.94420962499612
S_downtown,27.0,8.0,2.244295456307801,1.41880151032847,0.34443605128062427,3.6758904773566563
S_downtown,27.0,7.0,4.226079735051354,0.7682660263358263,0.0580634601351476,1.2309893763219806
E_east,36.0,9.0,0.4384653699527445,4.760396085666759,3.617152912533248,6.376302379434577
E_east,36.0,8.0,0.721158984583484,3.839714454844807,2.740454618695777,5.907322909817304
E_east,35.0,8.0,0.8704154154647115,2.6303902015200347,1.781749560957091,3.2030293280247215
E_east,36.0,10.0,1.0380201962138451,2.004916189438047,1.5919824501941096,4.293996988492663
E_east,36.0,9.0,1.5619694499191754,3.0873929661654063,2.2145011373562085,4.069778973663952
E_east,35.0,8.0,2.051143728537848,2.0079830946806783,0.6489470589339115,4.5005346568935884
E_east,36.0,6.0,3.2873577427705074,0.2774264354431333,0.1059070524938604,1.505878731290348
E_east,36.0,4.0,6.576296894655419,0.08158540275916434,0.0806097481919942,0.7939115997524757
W_west,36.0,9.0,0.4384653699527445,3.5291661192958257,2.9550552315841943,4.637002723484427
W_west,36.0,8.0,0.721158984583484,3.381157921518512,2.215549369488655,5.540408661221367
W_west,35.0,8.0,0.8704154154647115,4.365485867462714,2.255417174178017,5.360819416981396
W_west,36.0,10.0,1.0380201962138451,1.7842948227496511,1.020064149843073,3.3788008162713927
W_west,36.0,9.0,1.5619694499191754,4.034395874518163,3.482146504036628,4.223661632742575
W_west,35.0,8.0,2.051143728537848,2.015224715331664,0.7062905110871708,2.385466239673391
W_west,36.0,6.0,3.2873577427705074,0.0817790459490063,0.0233865376281711,3.631001630634103
W_west,36.0,4.0,6.576296894655419,0.07001454361672944,0.0,0.6430032524531313
all along-street,106.0,14.0,0.46096757052451803,3.708179946361911,3.138105772605507,5.047798976557326
all along-street,106.0,14.0,0.714243549343157,3.6834093037808175,2.4446082712741397,5.2418567150700275
all along-street,104.0,11.0,0.8820833516995781,3.4115549840583457,2.488556337397198,4.544740382732408
all along-street,106.0,16.0,1.1078670476018642,3.3875141545646024,1.5967090335928726,8.131898631509689
all along-street,104.0,16.0,1.4637726422485215,4.180268739829048,3.5408123844064234,6.318664796572555
all along-street,106.0,14.0,2.051143728537848,1.588176521193148,0.964108163837261,2.385466239673391
all along-street,104.0,12.0,3.1834879075612545,0.24462925947639347,0.07261874479225057,1.250177508860975
all along-street,106.0,8.0,5.790200625017286,0.08158540275916434,0.0386863005438413,1.0421072252565815
N_uptown_noPark,20.0,4.0,0.5359505226542185,3.309555854655831,2.134436683959193,8.080029716472897
N_uptown_noPark,20.0,6.0,0.7316178498558703,3.085239779857032,2.278808853237466,8.484430821990784
N_uptown_noPark,20.0,5.0,1.2402254267280663,1.7379039050911855,0.5971174477516463,4.388929999039847
N_uptown_noPark,20.0,3.0,2.713024466166011,0.6941704253258113,0.2455271741002507,1.7620852160707625
N_uptown_noPark,20.0,4.0,4.445738566681964,0.04623262677939535,0.0,1.4398882050232913
S_downtown_noPark,20.0,4.0,0.5359505226542185,3.138105772605507,2.8070604826205106,9.006447901726052
S_downtown_noPark,20.0,6.0,0.7316178498558703,2.4082209775225523,1.675007723214033,3.844096940057439
S_downtown_noPark,20.0,5.0,1.2402254267280663,2.9171821031507212,0.6132838425356208,4.976233584236438
S_downtown_noPark,20.0,3.0,2.713024466166011,0.8584653086034575,0.20362258451065315,1.6405257653589582
S_downtown_noPark,20.0,4.0,4.445738566681964,0.6887607452032039,0.0011085204319422,1.1774616182426063
