node_id,osm_name,chain,chain_pos_m,GVI_al,VEI_al,dwell
n00000,1st Avenue,1st Avenue#0,80.0,0.6662641633521376,0.7573754853108858,0.36501134017790376
n00001,1st Avenue,1st Avenue#0,100.0,1.0802031301539206,0.7584063374453596,0.3853315072862906
n00002,1st Avenue,1st Avenue#0,120.0,4.127276623078727,0.8061952964312993,0.4933895375555761
n00003,1st Avenue,1st Avenue#0,140.0,2.807372222666834,0.8498922856379427,0.3739397508650912
n00004,1st Avenue,1st Avenue#0,160.0,2.6820745500288012,0.7748834930393029,0.4518538402500514
n00005,1st Avenue,1st Avenue#0,180.0,4.124639615000276,0.6865978819158456,0.5993402125697131
n00006,1st Avenue,1st Avenue#0,200.0,4.958310489297525,0.6932517035995126,0.6376430032208482
n00007,1st Avenue,1st Avenue#0,220.0,5.886106288381522,0.6880017236312437,0.6889362303243229
n00008,1st Avenue,1st Avenue#0,240.0,4.718295680088159,0.6217379830924086,0.6658527562964585
n00009,1st Avenue,1st Avenue#0,260.0,6.943688884186658,0.6097703032361522,0.7852291358210493
n00010,1st Avenue,1st Avenue#0,280.0,9.463657438511039,0.5786049891254673,0.9253275101068252
n00011,1st Avenue,1st Avenue#0,300.0,4.917723776753505,0.642377458662649,0.6662915565598149
n00012,1st Avenue,1st Avenue#0,320.0,5.600336108140215,0.5851937853715137,0.7248031225815177
n00013,1st Avenue,1st Avenue#0,340.0,7.083417806848985,0.6701581105554866,0.7619837836423276
n00014,1st Avenue,1st Avenue#0,360.0,11.544102146167788,0.7164374179537447,0.915678719397129
n00015,1st Avenue,1st Avenue#0,380.0,7.523514230198973,0.7626263817427972,0.7125716415050899
n00016,1st Avenue,1st Avenue#0,400.0,4.135814349398275,0.653657468774716,0.6200892875809634
n00017,1st Avenue,1st Avenue#0,420.0,1.974421518378928,0.6020100419992477,0.5327579789146272
n00018,1st Avenue,1st Avenue#0,440.0,0.41904149879318214,0.5412515135844288,0.46847645991333997
n00019,1st Avenue,1st Avenue#0,460.0,0.00382759171975,0.575396585086801,0.43996438411728117
n00020,1st Avenue,1st Avenue#0,480.0,0.06864439483529786,0.5568792472646322,0.4477049992867154
n00021,1st Avenue,1st Avenue#0,500.0,0.46514370673334243,0.5938861914677439,0.458042924235987
n00022,1st Avenue,1st Avenue#0,520.0,0.4664682369406609,0.5824628667279853,0.46173709411077857
n00023,1st Avenue,1st Avenue#0,540.0,0.04586422148385455,0.5671148211066909,0.44424958603844183
n00024,1st Avenue,1st Avenue#0,560.0,0.09482832433572914,0.5310186736542468,0.4531424641883912
n00025,1st Avenue,1st Avenue#0,580.0,0.0,0.5593038831752344,0.4436694889926087
n00026,1st Avenue,1st Avenue#0,600.0,0.1900392824759325,0.5828240738693082,0.44742067668489927
n00027,1st Avenue,1st Avenue#0,620.0,0.30027500097019183,0.5655887924889997,0.4576912811586691
n00028,1st Avenue,1st Avenue#1,0.0,0.1117433183645154,0.5730209175162602,0.44614611242358976
