file,node_id,cardinal,seq,street,direction,a_sidewalk_shed,a_sidewalk_shed__crop,scaffolding,scaffolding__crop,construction_scaffolding_on_a_building_facade,construction_scaffolding_on_a_building_facade__crop,a_green_wooden_shed_over_the_sidewalk,a_green_wooden_shed_over_the_sidewalk__crop,metal_scaffold_poles,metal_scaffold_poles__crop,a_construction_fence,a_construction_fence__crop,a_plywood_construction_barrier,a_plywood_construction_barrier__crop,a_street_tree,a_street_tree__crop
east_40th_street/east_to_west/38_n00557_W.jpg,n00557,W,38,east_40th_street,east_to_west,0.11907,3,0.30705,3,0.26715,3,0.09455,2,0.16891,3,0.13333,3,0.10513,2,0.34063,3
east_40th_street/east_to_west/39_n00556_W.jpg,n00556,W,39,east_40th_street,east_to_west,0.08737,1,0.18051,1,0.19566,3,0.04323,3,0.11062,3,0.08324,3,0.11013,3,0.27557,1
east_40th_street/east_to_west/40_n00555_W.jpg,n00555,W,40,east_40th_street,east_to_west,0.13141,1,0.30893,1,0.27429,1,0.09754,1,0.14983,1,0.12098,1,0.1187,1,0.36232,3
east_40th_street/east_to_west/41_n00554_W.jpg,n00554,W,41,east_40th_street,east_to_west,0.18185,3,0.3598,3,0.3306,3,0.07191,3,0.26173,3,0.18431,3,0.12779,3,0.48392,0
east_40th_street/east_to_west/42_n00553_W.jpg,n00553,W,42,east_40th_street,east_to_west,0.21197,0,0.3891,3,0.31356,3,0.13456,3,0.2437,3,0.15247,3,0.40823,3,0.20936,3
east_40th_street/east_to_west/43_n00552_W.jpg,n00552,W,43,east_40th_street,east_to_west,0.14287,1,0.19262,3,0.2173,3,0.06941,1,0.1138,3,0.11899,3,0.47315,3,0.31336,1
east_40th_street/east_to_west/44_n00551_W.jpg,n00551,W,44,east_40th_street,east_to_west,0.11081,0,0.12344,3,0.18741,3,0.11798,1,0.1545,0,0.1503,3,0.0906,3,0.27445,3
east_40th_street/east_to_west/45_n00550_W.jpg,n00550,W,45,east_40th_street,east_to_west,0.1085,3,0.19528,2,0.21262,2,0.07822,2,0.1399,3,0.0627,2,0.06548,3,0.34031,3
east_40th_street/east_to_west/46_n00549_W.jpg,n00549,W,46,east_40th_street,east_to_west,0.14107,3,0.40116,0,0.24288,2,0.11098,2,0.19117,3,0.15312,3,0.10764,3,0.26834,3
east_40th_street/west_to_east/01_n00549_E.jpg,n00549,E,1,east_40th_street,west_to_east,0.10989,3,0.27794,3,0.25713,2,0.06559,3,0.13444,3,0.11819,3,0.09092,1,0.29013,3
