street,direction,seq,node_id,cardinal,file,bearing,in_view,nearest_m,shed_in_view,shed_nearest_m,supported_in_view,supported_nearest_m,suspended_in_view,suspended_nearest_m,fence_in_view,fence_nearest_m
1st_avenue,north_to_south,39,n00004,S,1st_avenue/north_to_south/39_n00004_S.jpg,208.0,False,46.2,False,46.2,False,143.2,False,46.2,False,70.7
1st_avenue,north_to_south,40,n00003,S,1st_avenue/north_to_south/40_n00003_S.jpg,208.0,True,26.2,True,26.2,False,135.2,True,26.2,False,51.7
1st_avenue,north_to_south,41,n00002,S,1st_avenue/north_to_south/41_n00002_S.jpg,208.0,True,6.2,True,6.2,False,129.5,True,6.2,False,33.8
1st_avenue,north_to_south,42,n00001,S,1st_avenue/north_to_south/42_n00001_S.jpg,208.0,True,13.9,True,13.9,False,126.8,True,13.9,True,20.5
1st_avenue,south_to_north,1,n00001,N,1st_avenue/south_to_north/01_n00001_N.jpg,28.0,True,13.9,True,13.9,False,126.8,True,13.9,False,20.5
1st_avenue,south_to_north,2,n00002,N,1st_avenue/south_to_north/02_n00002_N.jpg,28.0,False,6.2,False,6.2,False,129.5,False,6.2,False,33.8
1st_avenue,south_to_north,3,n00003,N,1st_avenue/south_to_north/03_n00003_N.jpg,28.0,False,26.2,False,26.2,False,135.2,False,26.2,False,51.7
1st_avenue,south_to_north,4,n00004,N,1st_avenue/south_to_north/04_n00004_N.jpg,28.0,False,46.2,False,46.2,False,143.2,False,46.2,False,70.7
1st_avenue,south_to_north,5,n00005,N,1st_avenue/south_to_north/05_n00005_N.jpg,28.0,False,66.1,False,66.1,False,153.4,False,66.1,False,90.2
1st_avenue,south_to_north,6,n00006,N,1st_avenue/south_to_north/06_n00006_N.jpg,28.0,False,57.4,False,86.1,False,137.6,False,57.4,False,109.9
1st_avenue,south_to_north,7,n00007,N,1st_avenue/south_to_north/07_n00007_N.jpg,28.0,False,38.8,False,106.1,False,118.1,False,38.8,False,129.6
1st_avenue,south_to_north,8,n00008,N,1st_avenue/south_to_north/08_n00008_N.jpg,28.0,True,22.8,False,98.8,False,98.8,True,22.8,False,149.4
1st_avenue,south_to_north,9,n00009,N,1st_avenue/south_to_north/09_n00009_N.jpg,28.0,False,18.3,False,79.8,False,79.8,False,18.3,False,169.3
1st_avenue,south_to_north,10,n00010,N,1st_avenue/south_to_north/10_n00010_N.jpg,28.0,False,30.8,False,61.6,False,61.6,False,30.8,False,169.3
1st_avenue,south_to_north,11,n00011,N,1st_avenue/south_to_north/11_n00011_N.jpg,28.0,False,44.9,False,44.9,False,44.9,False,44.9,False,154.2
1st_avenue,south_to_north,12,n00012,N,1st_avenue/south_to_north/12_n00012_N.jpg,28.0,False,31.2,False,31.2,False,31.2,False,31.2,False,140.2
1st_avenue,south_to_north,13,n00013,N,1st_avenue/south_to_north/13_n00013_N.jpg,28.0,True,11.1,True,11.1,True,11.1,True,11.1,False,127.6
1st_avenue,south_to_north,14,n00014,N,1st_avenue/south_to_north/14_n00014_N.jpg,28.0,True,4.6,True,4.6,False,8.9,False,8.9,False,117.4
1st_avenue,south_to_north,15,n00015,N,1st_avenue/south_to_north/15_n00015_N.jpg,28.0,False,15.6,False,15.6,False,28.9,False,28.9,False,109.8
1st_avenue,south_to_north,16,n00016,N,1st_avenue/south_to_north/16_n00016_N.jpg,28.0,False,35.6,False,35.6,False,49.0,False,49.0,False,105.3
1st_avenue,south_to_north,17,n00017,N,1st_avenue/south_to_north/17_n00017_N.jpg,28.0,False,55.6,False,55.6,False,68.9,False,68.9,False,104.8
1st_avenue,south_to_north,18,n00018,N,1st_avenue/south_to_north/18_n00018_N.jpg,28.0,False,75.6,False,75.6,False,88.9,False,88.9,False,108.0
1st_avenue,south_to_north,19,n00019,N,1st_avenue/south_to_north/19_n00019_N.jpg,28.0,False,95.6,False,95.6,False,108.9,False,108.9,False,114.6
1st_avenue,south_to_north,20,n00020,N,1st_avenue/south_to_north/20_n00020_N.jpg,28.0,False,114.7,False,115.6,False,114.7,False,123.9,False,123.9
1st_avenue,south_to_north,21,n00021,N,1st_avenue/south_to_north/21_n00021_N.jpg,28.0,False,94.7,False,135.6,False,94.7,False,136.1,False,136.1
1st_avenue,south_to_north,22,n00022,N,1st_avenue/south_to_north/22_n00022_N.jpg,28.0,False,74.7,False,149.2,False,74.7,False,149.2,False,149.2
1st_avenue,south_to_north,23,n00023,N,1st_avenue/south_to_north/23_n00023_N.jpg,28.0,False,71.0,False,151.8,False,71.0,False,151.8,False,151.8
1st_avenue,south_to_north,24,n00025,N,1st_avenue/south_to_north/24_n00025_N.jpg,28.0,False,51.0,False,166.6,False,51.0,False,166.6,False,166.6
1st_avenue,south_to_north,25,n00026,N,1st_avenue/south_to_north/25_n00026_N.jpg,28.0,False,34.7,False,170.3,False,34.7,False,170.3,False,176.0
1st_avenue,south_to_north,26,n00027,N,1st_avenue/south_to_north/26_n00027_N.jpg,28.0,False,31.0,False,176.3,False,31.0,False,176.3,False,182.4
1st_avenue,south_to_north,27,n00028,N,1st_avenue/south_to_north/27_n00028_N.jpg,28.0,True,16.9,False,161.1,True,16.9,False,161.1,False,193.0
1st_avenue,south_to_north,28,n00029,N,1st_avenue/south_to_north/28_n00029_N.jpg,28.0,True,11.2,False,167.7,True,11.2,False,167.7,False,199.1
1st_avenue,south_to_north,29,n00030,N,1st_avenue/south_to_north/29_n00030_N.jpg,28.0,False,12.7,False,153.8,False,12.7,False,153.8,False,210.5
1st_avenue,south_to_north,30,n00031,N,1st_avenue/south_to_north/30_n00031_N.jpg,28.0,False,9.2,False,161.6,False,9.2,False,161.6,False,216.6
1st_avenue,south_to_north,31,n00032,N,1st_avenue/south_to_north/31_n00032_N.jpg,28.0,False,28.9,False,146.8,False,28.9,False,146.8,False,228.4
1st_avenue,south_to_north,32,n00033,N,1st_avenue/south_to_north/32_n00033_N.jpg,28.0,False,28.6,False,149.6,False,28.6,False,149.6,False,235.7
1st_avenue,south_to_north,33,n00034,N,1st_avenue/south_to_north/33_n00034_N.jpg,28.0,False,48.4,False,127.3,False,48.4,False,127.3,False,245.8
1st_avenue,south_to_north,34,n00035,N,1st_avenue/south_to_north/34_n00035_N.jpg,28.0,False,48.1,False,135.7,False,48.1,False,135.7,False,255.5
1st_avenue,south_to_north,35,n00036,N,1st_avenue/south_to_north/35_n00036_N.jpg,28.0,False,68.1,False,108.2,False,68.1,False,108.2,False,263.9
1st_avenue,south_to_north,36,n00037,N,1st_avenue/south_to_north/36_n00037_N.jpg,28.0,False,68.0,False,120.9,False,68.0,False,120.9,False,274.8
1st_avenue,south_to_north,37,n00038,N,1st_avenue/south_to_north/37_n00038_N.jpg,28.0,False,87.8,False,90.0,False,87.8,False,90.0,False,282.9
1st_avenue,south_to_north,38,n00039,N,1st_avenue/south_to_north/38_n00039_N.jpg,28.0,False,87.7,False,104.8,False,87.7,False,104.8,False,292.8
1st_avenue,south_to_north,39,n00040,N,1st_avenue/south_to_north/39_n00040_N.jpg,28.0,False,72.8,False,72.8,False,72.8,False,72.8,False,301.9
1st_avenue,south_to_north,40,n00041,N,1st_avenue/south_to_north/40_n00041_N.jpg,28.0,False,90.3,False,90.3,False,90.3,False,90.3,False,311.1
1st_avenue,south_to_north,41,n00042,N,1st_avenue/south_to_north/41_n00042_N.jpg,28.0,False,57.5,False,57.5,False,57.5,False,57.5,False,309.1
1st_avenue,south_to_north,42,n00043,N,1st_avenue/south_to_north/42_n00043_N.jpg,28.0,False,78.1,False,78.1,False,78.1,False,78.1,False,329.5
2nd_avenue,north_to_south,1,n00078,S,2nd_avenue/north_to_south/01_n00078_S.jpg,208.3,False,44.9,False,44.9,False,47.5,False,44.9,False,94.2
2nd_avenue,north_to_south,2,n00077,S,2nd_avenue/north_to_south/02_n00077_S.jpg,208.3,True,27.7,True,27.7,False,52.0,True,27.7,False,96.4
2nd_avenue,north_to_south,3,n00076,S,2nd_avenue/north_to_south/03_n00076_S.jpg,208.3,True,17.6,True,17.6,False,54.1,True,17.6,False,102.6
2nd_avenue,north_to_south,4,n00075,S,2nd_avenue/north_to_south/04_n00075_S.jpg,208.3,False,25.6,False,25.6,False,39.5,False,25.6,False,112.2
2nd_avenue,north_to_south,5,n00074,S,2nd_avenue/north_to_south/05_n00074_S.jpg,208.3,False,31.7,False,31.7,False,31.7,False,31.7,False,124.1
2nd_avenue,north_to_south,6,n00073,S,2nd_avenue/north_to_south/06_n00073_S.jpg,208.3,False,35.1,False,35.1,False,35.1,False,35.1,False,138.1
2nd_avenue,north_to_south,7,n00072,S,2nd_avenue/north_to_south/07_n00072_S.jpg,208.3,False,47.4,False,47.4,False,47.4,False,47.4,False,153.5
2nd_avenue,north_to_south,8,n00071,S,2nd_avenue/north_to_south/08_n00071_S.jpg,208.3,False,63.7,False,63.7,False,63.7,False,63.7,False,169.9
2nd_avenue,north_to_south,9,n00070,S,2nd_avenue/north_to_south/09_n00070_S.jpg,208.3,False,68.8,False,68.8,False,81.7,False,68.8,False,187.0
2nd_avenue,north_to_south,10,n00069,S,2nd_avenue/north_to_south/10_n00069_S.jpg,208.3,False,48.8,False,48.8,False,100.6,False,48.8,False,186.2
2nd_avenue,north_to_south,11,n00068,S,2nd_avenue/north_to_south/11_n00068_S.jpg,208.3,True,28.8,True,28.8,False,90.9,True,28.8,False,171.9
2nd_avenue,north_to_south,12,n00067,S,2nd_avenue/north_to_south/12_n00067_S.jpg,208.3,True,8.9,True,8.9,False,84.2,True,8.9,False,158.8
2nd_avenue,north_to_south,13,n00066,S,2nd_avenue/north_to_south/13_n00066_S.jpg,208.3,False,11.2,False,11.2,False,82.0,False,11.2,False,147.2
2nd_avenue,north_to_south,14,n00065,S,2nd_avenue/north_to_south/14_n00065_S.jpg,208.3,False,31.2,False,31.2,False,84.5,False,31.2,False,137.6
2nd_avenue,north_to_south,15,n00064,S,2nd_avenue/north_to_south/15_n00064_S.jpg,208.3,False,51.2,False,51.2,False,91.5,False,51.2,False,130.4
2nd_avenue,north_to_south,16,n00063,S,2nd_avenue/north_to_south/16_n00063_S.jpg,208.3,False,41.2,False,41.2,False,102.0,False,71.2,False,125.9
2nd_avenue,north_to_south,17,n00062,S,2nd_avenue/north_to_south/17_n00062_S.jpg,208.3,False,35.9,False,35.9,False,114.9,False,77.9,False,124.6
2nd_avenue,north_to_south,18,n00061,S,2nd_avenue/north_to_south/18_n00061_S.jpg,208.3,False,40.9,False,40.9,False,126.4,False,58.2,False,126.4
2nd_avenue,north_to_south,19,n00060,S,2nd_avenue/north_to_south/19_n00060_S.jpg,208.3,False,38.9,False,38.9,False,131.4,False,38.9,False,131.4
2nd_avenue,north_to_south,20,n00059,S,2nd_avenue/north_to_south/20_n00059_S.jpg,208.3,True,21.0,True,21.0,False,139.0,True,21.0,False,139.0
2nd_avenue,north_to_south,21,n00058,S,2nd_avenue/north_to_south/21_n00058_S.jpg,208.3,False,13.0,False,13.0,False,133.3,False,13.0,False,149.0
2nd_avenue,north_to_south,22,n00056,S,2nd_avenue/north_to_south/22_n00056_S.jpg,208.3,False,45.1,False,45.1,False,115.5,False,45.1,False,174.2
2nd_avenue,north_to_south,23,n00055,S,2nd_avenue/north_to_south/23_n00055_S.jpg,208.3,False,64.5,False,64.5,False,111.0,False,64.5,False,188.8
2nd_avenue,north_to_south,24,n00054,S,2nd_avenue/north_to_south/24_n00054_S.jpg,208.3,False,84.2,False,84.2,False,109.9,False,84.2,False,181.1
