situation,slope,p,r2,rho,n
along,-3.4241183223838836,0.1256854697092234,0.00864767926016885,-0.2799674184345666,1156
cross,-5.155951817171799,0.036788262555216576,0.020334246370233067,-0.3067139732121047,1156
