bandwidth,tr_S,tr_SS,eff_df,s2_divisor,aicc_penalty
60,97.19922039706658,61.63792241315478,583.8007796029334,548.2394816190216,910.8851133752079
100,42.66357115679539,26.199468878295285,638.3364288432047,621.8723265647045,774.4565132844356
150,22.70126389574217,14.006946061004948,658.2987361042578,649.6044182695206,730.186627445939
250,10.976372333882086,7.015799072959707,670.0236276661179,666.0630544051955,705.4180272122053
400,6.56020560964402,4.735319183534273,674.4397943903559,672.6149079642462,696.3128951115551
