view,field,variant,rho,mode_pct,n
90 halves,vertical_greenery,full,0.4161012554182694,89.58333333333334,48
90 halves,vertical_greenery,group,0.20537483593612343,97.91666666666666,48
90 halves,vertical_greenery,solo,0.44713021625848004,83.33333333333334,48
90 halves,green_eye_level,full,0.4161012554182694,89.58333333333334,48
90 halves,green_eye_level,group,0.20537483593612343,97.91666666666666,48
90 halves,green_eye_level,solo,0.43535469539723387,64.58333333333334,48
90 halves,green_softening,full,0.4161012554182694,89.58333333333334,48
90 halves,green_softening,group,0.20537483593612343,97.91666666666666,48
90 halves,enclosure,full,0.09599990911255511,89.58333333333334,48
90 halves,enclosure,group,0.17064135454428536,52.083333333333336,48
90 halves,enclosure,solo,0.08278548776499253,95.83333333333334,48
90 halves,vertical_hardscape,full,0.09599990911255511,89.58333333333334,48
90 halves,vertical_hardscape,group,0.13230139170387933,95.83333333333334,48
180 whole,vertical_greenery,full,0.3966258935530859,84.44444444444444,45
180 whole,vertical_greenery,solo,0.7008417559595217,62.22222222222222,45
180 whole,green_eye_level,full,0.41333230500826923,84.44444444444444,45
180 whole,green_eye_level,solo,0.767993961222383,37.77777777777778,45
180 whole,green_softening,full,0.4032639563931763,84.44444444444444,45
180 whole,enclosure,full,0.01888445874924862,84.44444444444444,45
180 whole,enclosure,solo,0.14229201430503743,88.88888888888889,45
180 whole,vertical_hardscape,full,0.01888445874924862,84.44444444444444,45
