field,same_frontage_rho,n_pairs,morans_i,top_p
vertical_greenery,0.3261225721890564,1362,0.39019156377125686,0.5277206504524821
vertical_hardscape,0.425973578211008,1362,0.5103768177338687,
green_eye_level,0.38315757751535695,1362,0.45285199731098846,0.4396284700477626
sky_openness,0.4194787836763855,1362,0.33973304831429224,0.3156118944535036
walkable_ground,0.38598533291287374,1362,0.3000308628090935,
green_softening,0.38690832168934913,1362,0.4530716948223798,
signage_detail,0.46759820476989084,1362,0.5161878869150676,
facade_variation,0.36133788238420117,1362,0.4777020409772411,0.2260327848989766
ground_floor_activity,0.5024342997673398,1362,0.5457714957888814,
