face_id,node_id,osm_name,n_nodes,GVI_360,face_median_GVI,direction,travel_bearing,street_axis_deg,GVI,VEI,along_street
f1,n00003,1st Avenue,28,2.8073722226668334,2.7447233863478173,N_uptown,29.0,28.53884156845871,3.1192369353521605,0.8537240957848267,True
f2,n00035,1st Avenue,9,0.9076611231506664,0.9076611231506664,N_uptown,29.0,28.413711962359173,0.7468716529816768,0.642471193139544,True
f3,n00040,1st Avenue,6,1.7748322015237843,1.7212243487631216,N_uptown,29.0,27.41961888401635,1.0095433931101734,0.6366262955621055,True
f4,n00044,2nd Avenue,10,3.9206886063499926,3.508196935330614,N_uptown,29.0,28.577186194158347,0.9957471454492705,0.5838405373293457,True
f5,n00055,2nd Avenue,22,1.77010993382191,1.725448895346994,N_uptown,29.0,28.526663069277333,2.740704707446906,0.8678752805100036,True
f6,n00107,3rd Avenue,34,1.769316444510751,1.7617732897009197,N_uptown,29.0,28.651530777613093,1.8385341267588935,0.924072020281741,True
f7,n00141,East 34th Street,46,2.8265297270168257,2.889261893107945,E_east,119.0,118.27383727003136,2.846268909802056,0.8579378934654901,True
f8,n00172,East 35th Street,45,4.1926699989610645,4.1926699989610645,E_east,119.0,118.34728227751984,4.5202634164550375,0.8955377718208881,True
f10,n00230,East 36th Street,12,6.13198126501196,5.608339601624867,E_east,119.0,117.66381821847855,6.966308441890839,0.5144339272148409,True
f9,n00222,East 36th Street,23,4.254255598904984,4.254255598904984,E_east,119.0,118.3451501069953,6.295691577445474,0.7829505864467973,True
f11,n00239,East 37th Street,1,6.375676519559054,6.375676519559054,E_east,119.0,118.40494179960793,4.882203260837821,0.7641161930466331,True
f12,n00242,East 37th Street,1,0.0,0.0,E_east,119.0,118.24825698755922,0.0,,True
f13,n00252,East 37th Street,11,6.082275631828347,6.082275631828347,E_east,119.0,118.68622043557492,8.783252792348803,0.5855345336997652,True
f14,n00278,East 37th Street,24,3.9942473746704814,4.2021941516503025,E_east,119.0,117.89215962775508,5.817758935579712,0.9099318258934224,True
f15,n00325,East 38th Street,44,3.7076693147398183,3.7794232438142705,E_east,119.0,118.12270551312795,5.029872389806245,0.7757428052593284,True
f16,n00359,East 39th Street,44,1.6623538488160172,1.6921996397100836,E_east,119.0,119.5025381389738,2.411025976143477,0.9427997294622292,True
f17,n00378,East 40th Street,44,1.3665877184290165,1.2820199120689986,E_east,119.0,117.918098035987,0.0609354860252448,0.9474810435441818,True
f18,n00417,East 41st Street,42,0.5154094509873071,0.43358783754901103,E_east,119.0,117.53714060735588,0.6702968993740189,0.9729873391361548,True
f19,n00464,East 42nd Street,44,0.1394531682482582,0.13953809646279056,E_east,119.0,121.56021249479376,0.1911718762122105,0.8634021630952144,True
f20,n00504,Lexington Avenue,1,0.0,0.0,N_uptown,29.0,28.59557236838907,0.0,0.942727729869426,True
f21,n00524,Lexington Avenue,24,2.3631251737879673,2.295280954467785,N_uptown,29.0,28.47362809284661,3.051242624361903,0.8323168860165581,True
f22,n00548,Madison Avenue,27,0.5516793740587556,0.5516793740587556,N_uptown,29.0,27.9858370598482,0.9560546149681,0.94641627654019,True
f23,n00566,Park Avenue,19,14.016139879349415,14.016139879349415,N_uptown,29.0,28.35072460719987,18.38009103649997,0.885284788395653,True
f24,n00577,Park Avenue,3,2.852699842438712,2.852699842438712,N_uptown,29.0,28.054610671806415,2.2062355679042662,0.9729577199162665,True
f25,n00587,Park Avenue,15,17.14308978196458,17.14308978196458,N_uptown,29.0,28.183955474173132,14.7494827425183,0.8995826097691038,True
