,1,2,3,4,5
42nd,0.2257,0.1863,0.1637,0.2719,0.2538
41st,0.276,0.254,0.2115,0.2819,0.3214
40th,0.1924,0.359,0.3157,0.2907,0.2541
39th,0.4024,0.3785,0.3729,0.3497,0.2826
38th,0.4011,0.371,0.3711,0.3018,0.3711
37th,0.3625,0.3974,0.4476,0.2946,0.356
36th,0.3842,0.4926,0.373,0.3675,0.3188
35th,0.3838,0.4184,0.3433,0.3467,0.322
34th,0.3559,0.441,0.3477,0.3391,0.2776
