node_id,street_axis_deg,GVI,VEI,osm_name,typology,northing_m,lat,lon,chain,chain_pos_m,street_segment,cross_dist,along_dist,mapping_id,scaffold_frac,SVF_band,BVF_band,sky_of_pair,sky_veg_residual,face_id
n00000,28.547950369586164,0.6662862136086946,0.7572749729537567,1st Avenue,avenue_secondary,5.714837758915053,40.74368599999999,-73.973583,1st_avenue,0.0,1st_avenue,463.7657666678082,-339.74209065682527,1st_avenue_001,0.0656032066326588,0.11450857033115164,0.3572539492764198,0.24272502704624332,0.1282164567150917,f1
n00001,28.547950369586168,1.1215576010366646,0.7494814100794457,1st Avenue,avenue_secondary,25.636448912101343,40.743843,-73.973467,1st_avenue,19.992772658185583,1st_avenue,463.8765050764937,-319.74646911701194,1st_avenue_002,0.0124269587722664,0.12326937311580506,0.3687874165815058,0.2505185899205543,0.12724921680474927,f1
n00002,28.547950369586147,4.127419383038202,0.8050657532559079,1st Avenue,avenue_secondary,45.558060063913786,40.74399999999999,-73.973351,1st_avenue,39.98553485593306,1st_avenue,463.9872434851792,-299.7508475771988,1st_avenue_003,0.004019240674097,0.09416186538909688,0.3888823762556856,0.1949342467440921,0.10077238135499522,f1
n00003,28.332310330918432,2.809635544226922,0.8497553498720423,1st Avenue,avenue_secondary,65.47967121593803,40.744157,-73.97323500000002,1st_avenue,59.97828659498957,1st_avenue,464.0979818928157,-279.755226037967,1st_avenue_004,0.0012368446041364,0.07285877364784123,0.4120754558624283,0.15024465012795774,0.07738587648011651,f1
n00004,28.13774280441089,2.681277597493759,0.7760906129185163,1st Avenue,avenue_secondary,85.41619078615616,40.74431499999999,-73.973121,1st_avenue,79.98609753208494,1st_avenue,464.007238403909,-259.7443180677121,1st_avenue_005,0.0263550805393605,0.10878371473768171,0.37705440109840815,0.22390938708148367,0.11512567234380196,f1
n00005,28.022150987711914,4.124110325138792,0.6871678155598397,1st Avenue,avenue_secondary,105.31182433654666,40.744473000000006,-73.973008,1st_avenue,99.95341608004384,1st_avenue,463.8426730645041,-239.7743302173832,1st_avenue_006,0.0001755391131155,0.14585889203246388,0.3203939402759853,0.31283218444016025,0.16697329240769637,f1
n00006,28.158676024703567,2.717776818135808,0.6893878035142189,1st Avenue,avenue_secondary,125.24834390618378,40.744631,-73.972894,1st_avenue,119.96120674546482,1st_avenue,463.7519295755974,-219.76342224712823,1st_avenue_007,0.0026734406128525,0.1504194216226161,0.3338481741911943,0.3106121964857811,0.160192774863165,f1
n00007,28.30092465091805,5.647411737527635,0.6748072135076166,1st Avenue,avenue_secondary,145.18486347650793,40.744789,-73.97278,1st_avenue,139.96898727718656,1st_avenue,463.6611860866907,-199.75251427687337,1st_avenue_008,0.0202233172021805,0.14609520386763397,0.3031620058123717,0.32519278649238337,0.1790975826247494,f1
n00008,28.43730767960122,4.960007051185799,0.6774725230797686,1st Avenue,avenue_secondary,165.10647462969425,40.744946000000006,-73.972664,1st_avenue,159.96168641359648,1st_avenue,463.77192449537625,-179.75689273706013,1st_avenue_009,0.006081320811063,0.1489330182595157,0.31283544773803496,0.3225274769202314,0.17359445866071574,f1
n00009,28.510370608036812,5.265925125808537,0.5985825264923436,1st Avenue,avenue_secondary,185.08388022190695,40.745104000000005,-73.972549,1st_avenue,180.01020217295053,1st_avenue,463.75500285801695,-159.70506464629744,1st_avenue_010,0.0031092618592083,0.18068149841752557,0.2694272047206286,0.40141747350765644,0.22073597509013088,f1
n00010,28.483482049449663,10.14426219351584,0.5878376102486164,1st Avenue,avenue_secondary,205.0054913737193,40.745261,-73.972433,1st_avenue,200.00288031765288,1st_avenue,463.86574126670246,-139.70944310648423,1st_avenue_011,0.001658542023506,0.166771812566856,0.23785465679016796,0.41216238975138364,0.24539057718452764,f1
n00011,28.38880641196812,7.463877080800902,0.5951006692478065,1st Avenue,avenue_secondary,224.88621650306203,40.745417999999994,-73.972318,1st_avenue,219.95432157886228,1st_avenue,463.9026578227915,-119.75474168776024,1st_avenue_012,0.0030608372762799,0.16935457403087872,0.24890883410136905,0.40489933075219353,0.2355447567213148,f1
n00012,28.294367855660795,4.3899210793269585,0.6345049971599115,1st Avenue,avenue_secondary,244.7669416343597,40.745575,-73.972203,1st_avenue,239.90575254781496,1st_avenue,463.9395743799298,-99.8000402684546,1st_avenue_013,0.0068379550793906,0.17044257128074905,0.29589094889413864,0.3654950028400885,0.19505243155933946,f1
n00013,28.294232972188237,6.3759827923325,0.5868522748092759,1st Avenue,avenue_secondary,264.8001416661799,40.74573399999999,-73.972089,1st_avenue,260.01086788010866,1st_avenue,463.79499269757457,-79.69200562616103,1st_avenue_014,0.0,0.1840929646503027,0.2614933315475492,0.41314772519072407,0.22905476054042137,f1
n00014,28.24212544287508,11.544927849505664,0.714707182126892,1st Avenue,avenue_secondary,284.68086679620956,40.74589099999999,-73.971974,1st_avenue,279.9622781278624,1st_avenue,463.83190925366375,-59.73730420743704,1st_avenue_015,0.0076430137269198,0.11632463532869614,0.2914130574597526,0.285292817873108,0.16896818254441187,f1
n00015,28.293962860794352,7.523512567026711,0.7640134878831241,1st Avenue,avenue_secondary,304.56159192750727,40.746048,-73.971859,1st_avenue,299.9136780817776,1st_avenue,463.868825810802,-39.78260278813147,1st_avenue_016,0.0892182608076836,0.10667879865012785,0.34537584503770097,0.23598651211687593,0.12930771346674808,f1
n00016,28.33614676178691,4.135632516693593,0.6507512161862778,1st Avenue,avenue_secondary,324.5947919600145,40.746207,-73.971745,1st_avenue,320.01876326282974,1st_avenue,463.72424412844686,-19.674568145837924,1st_avenue_017,0.0587834091857075,0.166108012264532,0.30950713648607486,0.34924878381372215,0.18314077154919015,f1
n00017,28.3360118160866,1.9742923184480123,0.6003349052351582,1st Avenue,avenue_secondary,344.4755170894631,40.746364,-73.97163000000002,1st_avenue,339.970142495048,1st_avenue,463.7611606845359,0.2801332728861609,1st_avenue_018,0.0770677272230386,0.19392537930752282,0.29129432550964723,0.3996650947648418,0.20573971545731898,f1
n00018,28.287898706427086,0.41822752040965755,0.5186422324751853,1st Avenue,avenue_secondary,364.39712824323044,40.74652100000001,-73.971514,1st_avenue,359.9627366602509,1st_avenue,463.8718990932215,20.275754812699347,1st_avenue_019,0.0898477834707591,0.18938514465648335,0.2040543247641908,0.48135776752481474,0.29197262286833137,f1
n00019,28.409087372427,0.0036112848030508665,0.572299613657707,1st Avenue,avenue_secondary,384.33364781218063,40.74667899999999,-73.9714,1st_avenue,379.97039603333724,1st_avenue,463.7811556043149,40.28666278295435,1st_avenue_020,0.0473612610949202,0.18958654156905988,0.2536829705078636,0.427700386342293,0.23811384477323314,f1
n00020,28.15679634039992,0.1191394579974442,0.5847655031455594,1st Avenue,avenue_secondary,404.2292813613031,40.746837,-73.971287,1st_avenue,399.9375655569101,1st_avenue,463.6165902638608,60.25665063270159,1st_avenue_021,0.0943774990737437,0.19598373146660084,0.2759995284774844,0.4152344968544406,0.21925076538783975,f1
n00021,27.995947155639357,0.4651166739749774,0.5943332297379051,1st Avenue,avenue_secondary,424.17687011728526,40.746993,-73.971168,1st_avenue,419.95931926796254,1st_avenue,464.0026324206368,80.27790586199927,1st_avenue_022,0.068807297386229,0.20033260750688334,0.29350278201109875,0.40566677026209486,0.20533416275521152,f1
n00022,20.620023869689312,0.4664021044091837,0.5824060453049993,1st Avenue,avenue_secondary,444.10232050253234,40.747153,-73.971059,1st_avenue,439.9642006660657,1st_avenue,463.4351032870965,100.27846657379304,1st_avenue_023,0.0111255482770502,0.21118331418343772,0.29453117667330925,0.4175939546950007,0.206410640511563,f1
n00023,20.620023869689316,0.4664021044091837,0.5824060453049993,1st Avenue,avenue_secondary,447.8204548150976,40.747183,-73.971039,1st_avenue,443.6982662632991,1st_avenue,463.2963945135277,104.01066915444116,1st_avenue_024,0.0111255482770502,0.21118331418343772,0.29453117667330925,0.4175939546950007,0.206410640511563,f1
n00025,22.26128428495676,0.045864221483854585,0.5675092316281081,1st Avenue,avenue_secondary,467.74590520034474,40.747342999999994,-73.97093,1st_avenue,471.99272474105504,1st_avenue,462.7288653796049,124.01122986692506,1st_avenue_026,0.0379668918903916,0.21985394334962413,0.2884897241401181,0.43249076837189193,0.2126368250222678,f1
n00026,22.745140810281573,0.0948283243357292,0.531274004450575,1st Avenue,avenue_secondary,485.4456597760394,40.74752099999999,-73.970918,1st_avenue,491.77933739800994,1st_avenue,454.0315291423396,141.7908189805319,1st_avenue_027,0.0826486609876155,0.23566132287031918,0.2671085791789258,0.46872599554942496,0.23306467267910577,f1
n00027,22.88284395042254,0.0948283243357292,0.531274004450575,1st Avenue,avenue_secondary,487.6713555856977,40.747502999999995,-73.970821,1st_avenue,500.20926171074416,1st_avenue,462.1613362446329,144.01179057882746,1st_avenue_028,0.0826486609876155,0.23566132287031918,0.2671085791789258,0.46872599554942496,0.23306467267910577,f1
n00028,23.201443657806152,0.0,0.5591901705487159,1st Avenue,avenue_secondary,505.3004073025863,40.74767899999999,-73.970806,1st_avenue,519.7888901955499,1st_avenue,453.7931419503383,161.71988670977152,1st_avenue_029,0.0147331794723868,0.2254857028943342,0.28604032903425664,0.4408098294512841,0.2153241265569499,f1
n00029,23.775849896492616,0.0,0.5591901705487159,1st Avenue,avenue_secondary,507.5669891348202,40.747661,-73.970708,1st_avenue,528.3008423312872,1st_avenue,461.9967709041789,163.9817784285747,1st_avenue_030,0.0147331794723868,0.2254857028943342,0.28604032903425664,0.4408098294512841,0.2153241265569499,f1
n00030,22.999800905247273,0.0,0.5776011699830677,1st Avenue,avenue_secondary,525.2518352920031,40.747837999999994,-73.970694,1st_avenue,547.9860053584366,1st_avenue,453.5009165645059,181.74608111173984,1st_avenue_031,0.0,0.21848098701493188,0.2987576308244542,0.42239883001693235,0.20391784300200047,f1
n00031,27.232599229552562,0.19003928247593255,0.5824531313236516,1st Avenue,avenue_secondary,527.4736918676457,40.747817,-73.97059000000002,1st_avenue,557.0708510267007,1st_avenue,462.3089912097901,183.96211353667456,1st_avenue_032,0.0,0.21487741211728942,0.299741252844719,0.4175468686763484,0.20266945655905896,f1
n00033,30.79569826348873,0.3003105943431805,0.5655319375816512,1st Avenue,avenue_secondary,546.9744765856215,40.747954,-73.970437,1st_avenue,577.0253133786227,1st_avenue,466.2279020036689,203.5292460931581,1st_avenue_034,0.0814340123906731,0.21658134400433235,0.2819163885995119,0.4344680624183488,0.21788671841401644,f1
n00032,20.424749644530824,0.1830114753980002,0.5892452867565141,1st Avenue,avenue_secondary,545.1214912370617,40.747997,-73.970584,1st_avenue,590.3227504269286,1st_avenue,453.0610474749124,201.69043527142117,1st_avenue_033,4.640689257939812e-05,0.21262095889483593,0.3050139021050405,0.4107547132434859,0.19813375434864997,f1
n00034,11.970121691088536,1.301109388256753,0.583737671518041,1st Avenue,avenue_secondary,564.9319620229313,40.74816299999999,-73.970492,1st_avenue,610.3213043290364,1st_avenue,450.9155177000816,221.57811396714172,1st_avenue_035,0.0102660119591746,0.20899588595490196,0.2930814620411945,0.416262328481959,0.20726644252705703,f1
