file,mast_share,veg_above15,veg_up0_15,veg_eye0_15,veg_below15,veg_all,veg_above_horizon,veg_on_bld,bld_all,sky_all
1st_avenue/north_to_south/018_n00028_S_L.jpg,0.0237588652482269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088528,0.412119
1st_avenue/north_to_south/018_n00028_S_R.jpg,0.0237588652482269,0.0,0.002137,0.001061,0.0,0.00044,0.000574,0.000295,0.454075,0.081629
1st_avenue/north_to_south/019_n00027_S_L.jpg,0.0237588652482269,0.0,0.006916,0.004316,0.0,0.001544,0.001857,0.000354,0.095963,0.402931
1st_avenue/north_to_south/019_n00027_S_R.jpg,0.0237588652482269,0.0,0.016077,0.000339,0.0,0.002257,0.004318,0.000482,0.448064,0.092273
1st_avenue/north_to_south/020_n00026_S_L.jpg,0.0237588652482269,0.0,0.000728,0.003907,0.0,0.000637,0.000196,0.000173,0.099253,0.401827
1st_avenue/north_to_south/020_n00026_S_R.jpg,0.0237588652482269,0.0,0.016331,0.00055,0.0,0.002321,0.004386,0.000619,0.446465,0.092133
1st_avenue/north_to_south/021_n00025_S_L.jpg,0.0237588652482269,0.0,0.004457,0.004181,0.0,0.001188,0.001197,0.000189,0.113429,0.392529
1st_avenue/north_to_south/021_n00025_S_R.jpg,0.0237588652482269,0.0,0.01851,0.002123,0.0,0.002836,0.004971,0.001179,0.471661,0.064529
1st_avenue/north_to_south/022_n00024_S_L.jpg,0.0237588652482269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/022_n00024_S_R.jpg,0.0237588652482269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/023_n00023_S_L.jpg,0.0237588652482269,0.0,0.005349,0.00905,0.0,0.00198,0.001437,0.000379,0.137482,0.367758
1st_avenue/north_to_south/023_n00023_S_R.jpg,0.0237588652482269,0.034452,0.287189,0.02638,0.0,0.056007,0.102327,0.004024,0.42916,0.050417
1st_avenue/north_to_south/024_n00022_S_L.jpg,0.0237588652482269,0.0,0.005349,0.00905,0.0,0.00198,0.001437,0.000379,0.137482,0.367758
1st_avenue/north_to_south/024_n00022_S_R.jpg,0.0237588652482269,0.034452,0.287189,0.02638,0.0,0.056007,0.102327,0.004024,0.42916,0.050417
1st_avenue/north_to_south/025_n00021_S_L.jpg,0.0237588652482269,0.0,0.009533,0.010961,0.0,0.002817,0.00256,0.000406,0.167569,0.323714
1st_avenue/north_to_south/025_n00021_S_R.jpg,0.0237588652482269,0.0,0.036504,0.006194,0.0,0.00587,0.009803,0.001425,0.435734,0.054535
1st_avenue/north_to_south/026_n00020_S_L.jpg,0.0237588652482269,0.0,0.020723,0.011433,0.0,0.004421,0.005565,0.000673,0.216604,0.281511
1st_avenue/north_to_south/026_n00020_S_R.jpg,0.0237588652482269,0.0,0.018744,0.006569,0.0,0.00348,0.005034,0.000563,0.413359,0.0606
1st_avenue/north_to_south/027_n00019_S_L.jpg,0.0237588652482269,0.0,0.023718,0.022747,0.0,0.006388,0.00637,0.001018,0.236359,0.26162
1st_avenue/north_to_south/027_n00019_S_R.jpg,0.0237588652482269,0.0,0.0245,0.008045,0.0,0.004474,0.00658,0.000501,0.411972,0.057461
1st_avenue/north_to_south/028_n00018_S_L.jpg,0.0237588652482269,0.0,0.033652,0.008026,0.0,0.00573,0.009038,0.001082,0.289032,0.209993
1st_avenue/north_to_south/028_n00018_S_R.jpg,0.0237588652482269,0.0,0.165235,0.041799,0.0,0.028462,0.044375,0.001084,0.415707,0.094746
1st_avenue/north_to_south/029_n00017_S_L.jpg,0.0237588652482269,0.0,0.029695,0.009175,0.0,0.005343,0.007975,0.001694,0.400068,0.118221
1st_avenue/north_to_south/029_n00017_S_R.jpg,0.0237588652482269,0.009039,0.605951,0.065938,0.0,0.095751,0.169345,0.002134,0.195993,0.215233
1st_avenue/north_to_south/030_n00016_S_L.jpg,0.0237588652482269,0.006819,0.128746,0.009005,0.0,0.02149,0.039564,0.002595,0.435957,0.026608
1st_avenue/north_to_south/030_n00016_S_R.jpg,0.0237588652482269,0.152587,0.855855,0.167878,0.0,0.197866,0.341456,0.003107,0.115014,0.219167
1st_avenue/north_to_south/031_n00015_S_L.jpg,0.0237588652482269,0.468972,0.25308,0.03219,0.0,0.214808,0.410992,0.009958,0.327705,0.022642
1st_avenue/north_to_south/031_n00015_S_R.jpg,0.0237588652482269,0.205158,0.844645,0.135434,0.0,0.211548,0.376898,0.002026,0.09638,0.216854
1st_avenue/north_to_south/032_n00014_S_L.jpg,0.0237588652482269,0.544052,0.318809,0.044803,0.0,0.253689,0.483561,0.013532,0.255774,0.033474
1st_avenue/north_to_south/032_n00014_S_R.jpg,0.0237588652482269,0.23969,0.821409,0.03577,0.0,0.207582,0.395916,0.001436,0.013523,0.285413
1st_avenue/north_to_south/033_n00013_S_L.jpg,0.0237588652482269,0.121555,0.487511,0.094984,0.0,0.125589,0.219836,0.010708,0.248105,0.158911
1st_avenue/north_to_south/033_n00013_S_R.jpg,0.0237588652482269,0.134586,0.640628,0.018524,0.0,0.141007,0.270488,0.001041,0.012047,0.331762
1st_avenue/north_to_south/034_n00012_S_L.jpg,0.0237588652482269,0.637285,0.449715,0.103783,0.0,0.314701,0.586912,0.009875,0.172991,0.049271
1st_avenue/north_to_south/034_n00012_S_R.jpg,0.0237588652482269,0.519553,0.77909,0.022581,0.0,0.304737,0.589254,0.000815,0.008281,0.185615
1st_avenue/north_to_south/035_n00011_S_L.jpg,0.0237588652482269,0.326262,0.600395,0.140873,0.0,0.224062,0.399883,0.007368,0.212975,0.066118
1st_avenue/north_to_south/035_n00011_S_R.jpg,0.0237588652482269,0.54516,0.74869,0.021615,0.0,0.310013,0.59982,0.002149,0.018988,0.1678
1st_avenue/north_to_south/036_n00010_S_L.jpg,0.0237588652482269,0.342705,0.418662,0.124119,0.0,0.202932,0.363104,0.006884,0.244172,0.070073
1st_avenue/north_to_south/036_n00010_S_R.jpg,0.0237588652482269,0.279562,0.767223,0.051262,0.0,0.217192,0.410527,0.002588,0.026392,0.259634
1st_avenue/north_to_south/037_n00009_S_L.jpg,0.0237588652482269,0.006952,0.134988,0.041816,0.0,0.026908,0.041337,0.002453,0.329075,0.129684
1st_avenue/north_to_south/037_n00009_S_R.jpg,0.0237588652482269,0.245022,0.79565,0.027352,0.0,0.20488,0.392898,0.001274,0.024008,0.278845
1st_avenue/north_to_south/038_n00008_S_L.jpg,0.0237588652482269,0.0,0.038386,0.007337,0.0,0.006286,0.010309,0.000842,0.404186,0.089118
1st_avenue/north_to_south/038_n00008_S_R.jpg,0.0237588652482269,0.422754,0.635459,0.022976,0.0,0.248803,0.479878,0.003203,0.044718,0.20017
1st_avenue/north_to_south/039_n00007_S_L.jpg,0.0237588652482269,0.0,0.096824,0.013756,0.0,0.015202,0.026003,0.002651,0.434514,0.09601
1st_avenue/north_to_south/039_n00007_S_R.jpg,0.0237588652482269,0.66362,0.583525,0.008119,0.0,0.329805,0.64211,0.004651,0.098577,0.078813
1st_avenue/north_to_south/040_n00006_S_L.jpg,0.0237588652482269,0.001602,0.287212,0.023744,0.0,0.043348,0.078305,0.005351,0.37565,0.103688
1st_avenue/north_to_south/040_n00006_S_R.jpg,0.0237588652482269,0.250254,0.356013,0.012811,0.0,0.144402,0.278656,0.00357,0.219277,0.152413
1st_avenue/north_to_south/041_n00005_S_L.jpg,0.0237588652482269,0.036243,0.377831,0.010967,0.0,0.067019,0.127979,0.005799,0.289197,0.160505
1st_avenue/north_to_south/041_n00005_S_R.jpg,0.0237588652482269,0.047244,0.324362,0.013883,0.0,0.064188,0.121667,0.004751,0.309786,0.14803
1st_avenue/north_to_south/042_n00004_S_L.jpg,0.0237588652482269,0.379214,0.366376,0.01038,0.0,0.193778,0.375766,0.007905,0.176625,0.114194
1st_avenue/north_to_south/042_n00004_S_R.jpg,0.0237588652482269,0.11589,0.09635,0.008559,0.0,0.057813,0.110643,0.007904,0.447411,0.045198
1st_avenue/north_to_south/043_n00003_S_L.jpg,0.0237588652482269,0.24812,0.470384,0.076177,0.0,0.168037,0.307811,0.011652,0.233162,0.117018
1st_avenue/north_to_south/043_n00003_S_R.jpg,0.0237588652482269,0.108164,0.202693,0.00981,0.0,0.069712,0.133551,0.007363,0.423477,0.056712
1st_avenue/north_to_south/044_n00002_S_L.jpg,0.0237588652482269,0.007091,0.220255,0.063293,0.0,0.041635,0.064338,0.003484,0.290407,0.178308
1st_avenue/north_to_south/044_n00002_S_R.jpg,0.0237588652482269,0.226163,0.058023,0.000198,0.0,0.092683,0.181007,0.005744,0.328008,0.099893
1st_avenue/north_to_south/045_n00001_S_L.jpg,0.0237588652482269,0.0,0.235442,0.029638,0.0,0.036441,0.06323,0.003894,0.283559,0.184377
1st_avenue/north_to_south/045_n00001_S_R.jpg,0.0237588652482269,0.0,0.217135,0.004793,0.0,0.030509,0.058314,0.00607,0.288454,0.189958
1st_avenue/north_to_south/046_n00000_S_L.jpg,0.0237588652482269,0.054527,0.254407,0.041531,0.0,0.061099,0.108207,0.003639,0.313879,0.06913
1st_avenue/north_to_south/046_n00000_S_R.jpg,0.0237588652482269,0.014874,0.14725,0.021756,0.0,0.028803,0.050425,0.003363,0.342533,0.135094
1st_avenue/south_to_north/001_n00000_N_L.jpg,0.0237588652482269,0.001644,0.183201,0.018984,0.0,0.02841,0.050403,0.003713,0.314435,0.169481
1st_avenue/south_to_north/001_n00000_N_R.jpg,0.0237588652482269,0.001906,0.450776,0.030522,0.0,0.066879,0.122454,0.006591,0.390125,0.030616
1st_avenue/south_to_north/002_n00001_N_L.jpg,0.0237588652482269,0.012697,0.217796,0.017259,0.0,0.037068,0.067778,0.004842,0.390614,0.087702
1st_avenue/south_to_north/002_n00001_N_R.jpg,0.0237588652482269,0.016821,0.378393,0.05887,0.0,0.06641,0.113925,0.005319,0.379109,0.052518
1st_avenue/south_to_north/003_n00002_N_L.jpg,0.0237588652482269,0.07677,0.20645,0.00953,0.0,0.058435,0.111597,0.007039,0.405864,0.079635
1st_avenue/south_to_north/003_n00002_N_R.jpg,0.0237588652482269,0.20686,0.571855,0.04541,0.0,0.162309,0.304883,0.01022,0.300187,0.048212
1st_avenue/south_to_north/004_n00003_N_L.jpg,0.0237588652482269,0.035731,0.300994,0.020489,0.0,0.057573,0.106969,0.003998,0.405175,0.086037
1st_avenue/south_to_north/004_n00003_N_R.jpg,0.0237588652482269,0.352208,0.231764,0.016283,0.0,0.165972,0.319861,0.008895,0.266201,0.051087
1st_avenue/south_to_north/005_n00004_N_L.jpg,0.0237588652482269,0.234143,0.687384,0.021206,0.0,0.185079,0.355865,0.007659,0.139417,0.188936
1st_avenue/south_to_north/005_n00004_N_R.jpg,0.0237588652482269,0.13503,0.086543,0.005203,0.0,0.06317,0.122008,0.004215,0.382921,0.072224
1st_avenue/south_to_north/006_n00005_N_L.jpg,0.0237588652482269,0.559893,0.812198,0.016847,0.0,0.323604,0.627652,0.003656,0.062224,0.084086
1st_avenue/south_to_north/006_n00005_N_R.jpg,0.0237588652482269,0.0,0.068197,0.009383,0.0,0.010665,0.018315,0.002447,0.44442,0.066504
1st_avenue/south_to_north/007_n00006_N_L.jpg,0.0237588652482269,0.583816,0.793228,0.009248,0.0,0.328909,0.640056,0.004235,0.076937,0.084551
1st_avenue/south_to_north/007_n00006_N_R.jpg,0.0237588652482269,0.0,0.107605,0.015515,0.0,0.016926,0.028898,0.001801,0.476976,0.042345
1st_avenue/south_to_north/008_n00007_N_L.jpg,0.0237588652482269,0.417216,0.666808,0.011738,0.0,0.249494,0.484246,0.002244,0.048184,0.180456
1st_avenue/south_to_north/008_n00007_N_R.jpg,0.0237588652482269,0.0,0.224944,0.030146,0.0,0.035068,0.060411,0.003449,0.425371,0.043508
1st_avenue/south_to_north/009_n00008_N_L.jpg,0.0237588652482269,0.371336,0.842641,0.033568,0.0,0.259489,0.497909,0.005012,0.122835,0.123997
1st_avenue/south_to_north/009_n00008_N_R.jpg,0.0237588652482269,0.037511,0.476843,0.084959,0.0,0.091277,0.155498,0.005277,0.345687,0.04683
1st_avenue/south_to_north/010_n00009_N_L.jpg,0.0237588652482269,0.316043,0.776931,0.01418,0.0,0.227088,0.439818,0.00384,0.068541,0.203981
1st_avenue/south_to_north/010_n00009_N_R.jpg,0.0237588652482269,0.240093,0.686879,0.087678,0.0,0.196375,0.360082,0.008109,0.238287,0.08455
1st_avenue/south_to_north/011_n00010_N_L.jpg,0.0,0.508148,0.752947,0.002659,0.0,0.287146,0.573891,0.004834,0.102431,0.091687
1st_avenue/south_to_north/011_n00010_N_R.jpg,0.0237588652482269,0.448916,0.456309,0.136585,0.0,0.249588,0.450901,0.013614,0.2143,0.062367
1st_avenue/south_to_north/012_n00011_N_L.jpg,0.0237588652482269,0.417962,0.665794,0.004415,0.0,0.248627,0.48452,0.004959,0.123821,0.112079
1st_avenue/south_to_north/012_n00011_N_R.jpg,0.0237588652482269,0.703656,0.324255,0.045593,0.0,0.314304,0.601764,0.013841,0.158699,0.04938
1st_avenue/south_to_north/013_n00012_N_L.jpg,0.0237588652482269,0.158383,0.636769,0.023995,0.0,0.150138,0.286858,0.006193,0.195622,0.146856
1st_avenue/south_to_north/013_n00012_N_R.jpg,0.0237588652482269,0.306633,0.364078,0.105815,4e-06,0.179408,0.322061,0.009769,0.291207,0.061124
1st_avenue/south_to_north/014_n00013_N_L.jpg,0.0,0.134796,0.719687,0.054443,0.0,0.153164,0.291874,0.004147,0.192191,0.15035
1st_avenue/south_to_north/014_n00013_N_R.jpg,0.0237588652482269,0.340488,0.291562,0.018202,0.0,0.170069,0.327349,0.008578,0.281089,0.073612
1st_avenue/south_to_north/015_n00014_N_L.jpg,0.0237588652482269,0.33972,0.700748,0.095974,0.0,0.236724,0.436677,0.00438,0.19661,0.088863
1st_avenue/south_to_north/015_n00014_N_R.jpg,0.0237588652482269,0.670682,0.085225,0.037969,0.0,0.26805,0.513452,0.010097,0.244877,0.033333
1st_avenue/south_to_north/016_n00015_N_L.jpg,0.0237588652482269,0.151555,0.542339,0.044814,0.0,0.137462,0.256503,0.002949,0.277597,0.103567
1st_avenue/south_to_north/016_n00015_N_R.jpg,0.0237588652482269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428631,0.11935
1st_avenue/south_to_north/017_n00016_N_L.jpg,0.0237588652482269,0.004356,0.144252,0.003207,0.0,0.021903,0.041927,0.001231,0.401191,0.092344
1st_avenue/south_to_north/017_n00016_N_R.jpg,0.0237588652482269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128085,0.361358
1st_avenue/south_to_north/018_n00017_N_L.jpg,0.0237588652482269,0.0,0.007551,0.0,0.0,0.001038,0.002028,0.000754,0.497204,0.034565
1st_avenue/south_to_north/018_n00017_N_R.jpg,0.0237588652482269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021673,0.446574
1st_avenue/south_to_north/019_n00018_N_L.jpg,0.02436806692125837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428876,0.03648
1st_avenue/south_to_north/019_n00018_N_R.jpg,0.0237588652482269,0.0,8.2e-05,0.0,0.0,1.1e-05,2.2e-05,0.0,0.024334,0.453992
1st_avenue/south_to_north/020_n00019_N_L.jpg,0.0237588652482269,0.0,0.036413,0.000898,0.0,0.005129,0.009779,0.001303,0.37039,0.036593
1st_avenue/south_to_north/020_n00019_N_R.jpg,0.0237588652482269,0.0,0.0,2e-05,0.0,3e-06,0.0,0.0,0.030462,0.448518
1st_avenue/south_to_north/021_n00020_N_L.jpg,0.0237588652482269,0.0,0.037689,0.0,0.0,0.005181,0.010122,0.001414,0.450838,0.037444
1st_avenue/south_to_north/021_n00020_N_R.jpg,0.0237588652482269,0.0,0.005239,0.000155,0.0,0.000742,0.001407,0.000301,0.034612,0.446806
1st_avenue/south_to_north/022_n00021_N_L.jpg,0.0237588652482269,0.118152,0.267406,0.010558,0.0,0.08245,0.158236,0.007333,0.414378,0.033956
1st_avenue/south_to_north/022_n00021_N_R.jpg,0.0237588652482269,0.0,0.028771,0.0,0.0,0.003955,0.007727,0.000804,0.041998,0.444739
1st_avenue/south_to_north/023_n00022_N_L.jpg,0.0237588652482269,0.0,0.002199,0.000669,0.0,0.000394,0.000591,0.00022,0.505536,0.032945
1st_avenue/south_to_north/023_n00022_N_R.jpg,0.0237588652482269,0.0,0.025951,0.0,0.0,0.003568,0.006969,0.000544,0.048327,0.434611
1st_avenue/south_to_north/024_n00023_N_L.jpg,0.0237588652482269,0.0,0.002199,0.000669,0.0,0.000394,0.000591,0.00022,0.505536,0.032945
1st_avenue/south_to_north/024_n00023_N_R.jpg,0.0237588652482269,0.0,0.025951,0.0,0.0,0.003568,0.006969,0.000544,0.048327,0.434611
1st_avenue/south_to_north/025_n00024_N_L.jpg,0.0237588652482269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/south_to_north/025_n00024_N_R.jpg,0.0237588652482269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/south_to_north/026_n00025_N_L.jpg,0.0237588652482269,0.0,0.004251,0.000189,0.0,0.00061,0.001142,0.000176,0.480272,0.052549
