face_id,osm_name,typology,northing_m,GVI,VEI,n_nodes
f1,1st Avenue,avenue_secondary,391.05588475117594,1.363471391343525,0.596876532546461,45
f10,Park Avenue,avenue_canyon,317.59324898959187,9.223465998592733,0.8636183777414388,33
f11,Park Avenue,avenue_canyon,676.6814595635688,0.0,0.9591161832687376,4
f12,Tunnel Exit Street,other,62.45625578440265,5.892051175638893,0.9048491814239931,5
f13,Tunnel Exit Street,other,412.4648971065439,1.498249982391497,0.9346690137832216,16
f14,East 34th Street,mid_block,17.752014373840627,2.963876855242445,0.8864462146561892,47
f15,East 35th Street,mid_block,102.13008161289963,4.0220184392498854,0.8368253810785111,47
f16,East 36th Street,mid_block,179.9735679997513,3.7728270028794593,0.8169749306328966,47
f17,East 37th Street,mid_block,258.54325526535155,4.905622770205463,0.8550205769652552,42
f18,East 37th Street,mid_block,258.8357429764256,17.90997276172941,0.6535333398785226,4
f19,East 38th Street,mid_block,335.3475608711046,3.567804542485916,0.8920220400154981,47
f2,2nd Avenue,avenue_secondary,345.3890136624393,2.3609394614164736,0.8170940249253467,34
f20,East 39th Street,mid_block,415.31625808574023,1.4742500928321824,0.924227653505002,47
f21,East 40th Street,mid_block,493.54039525896246,1.3672541386975154,0.9330907057585871,46
f23,East 41st Street,mid_block,571.1085253755413,0.35014735663281893,0.9458098663186074,45
f24,East 42nd Street,mid_block,654.8348365838993,0.10397324441307514,0.9221633078774861,48
f25,Lexington Avenue,avenue_canyon,341.95792672519644,1.735787063379465,0.8790244189795465,34
f26,Madison Avenue,avenue_canyon,336.239638002183,0.4954897241825702,0.9058883977576209,34
f27,Tudor City Place,other,588.7293692591385,6.74413573259302,0.7881987718059493,9
f3,3rd Avenue,avenue_secondary,330.2277990591622,1.8327428912115429,0.8922947198612154,34
f4,Park Avenue,avenue_canyon,361.19217631218913,5.502295185412937,0.8856917160100387,38
f5,Park Avenue,avenue_canyon,584.8871444007972,0.5874746719925888,0.589153988486017,11
f6,Park Avenue,avenue_canyon,384.46373804663034,2.059195719507202,0.8813835746585541,12
f7,Park Avenue,avenue_canyon,98.0729675968974,3.295850472944884,0.6261985014606439,9
f8,Park Avenue,avenue_canyon,250.3178228673394,13.944578701403536,0.8592391732866569,24
