node_id,street,street_pos_m,seg_id
n00126,East 34th Street,299.9661990435503,s5
n00127,East 34th Street,319.9661422527772,s5
n00128,East 34th Street,339.9559494560906,s5
n00129,East 34th Street,359.8944618990806,s5
n00130,East 34th Street,379.8944587939752,s5
n00131,East 34th Street,399.89445632587217,s5
n00132,East 34th Street,419.8944548016793,s5
n00133,East 34th Street,439.8944532775889,s5
n00134,East 34th Street,459.89445236892846,s5
n00135,East 34th Street,499.84291397071854,s5
n00136,East 34th Street,519.8419068143062,s5
n00137,East 34th Street,539.841337894431,s5
n00138,East 34th Street,559.8410861456118,s5
n00139,East 34th Street,579.8410860093261,s5
n00140,East 34th Street,599.8410858724969,s5
n00141,East 34th Street,619.8410857356677,s5
n00142,East 34th Street,639.8410855992794,s5
n00143,East 34th Street,659.8410796950059,s5
n00144,East 34th Street,679.8410687966762,s5
n00145,East 34th Street,719.8407474426592,s5
n00146,East 34th Street,739.8405766347046,s5
n00147,East 34th Street,759.8401162395037,s5
n00148,East 34th Street,779.8388556719163,s5
n00149,East 34th Street,799.8388549320272,s5
n00150,East 34th Street,819.8388541916969,s5
n00151,East 34th Street,839.8388534518077,s5
n00152,East 34th Street,859.83883582458,s5
n00153,East 34th Street,879.8387940732206,s5
n00154,East 34th Street,899.8387523214201,s5
n00155,East 34th Street,919.8387085220459,s5
n00156,East 34th Street,939.8386642331329,s5
n00157,East 35th Street,0.0,s6
n00158,East 35th Street,39.98870874328259,s6
n00159,East 35th Street,59.98867843573578,s6
n00160,East 35th Street,79.98864812808642,s6
n00161,East 35th Street,99.98861782053962,s6
n00162,East 35th Street,119.98858751299281,s6
n00163,East 35th Street,139.98855720500438,s6
n00164,East 35th Street,159.98852689745758,s6
n00165,East 35th Street,179.98840966846421,s6
n00166,East 35th Street,199.98838134408413,s6
n00167,East 35th Street,219.98835302004318,s6
n00168,East 35th Street,259.987315384947,s6
n00169,East 35th Street,279.9873105489028,s6
n00170,East 35th Street,299.98730540787403,s6
n00171,East 35th Street,319.98730026409385,s6
n00172,East 35th Street,339.987295119872,s6
n00173,East 35th Street,359.98728997609174,s6
n00174,East 35th Street,379.9782671270803,s6
n00175,East 35th Street,399.9745294051954,s6
n00176,East 35th Street,419.97349855466734,s6
n00177,East 35th Street,439.97246770403683,s6
n00178,East 35th Street,479.9723499188411,s6
n00179,East 35th Street,499.97231784241444,s6
n00180,East 35th Street,519.9722857655462,s6
n00181,East 35th Street,539.9722536886779,s6
n00182,East 35th Street,559.9722216118097,s6
n00183,East 35th Street,579.9722023254287,s6
n00184,East 35th Street,599.9721961932348,s6
n00185,East 35th Street,619.9721822390409,s6
n00186,East 35th Street,639.9721698302058,s6
n00187,East 35th Street,659.9721663356208,s6
n00188,East 35th Street,679.9721617019404,s6
n00189,East 35th Street,699.97215706826,s6
n00190,East 35th Street,719.9721524344772,s6
n00191,East 35th Street,739.9721478007967,s6
n00192,East 35th Street,759.9721122904193,s6
n00193,East 35th Street,779.9720627294587,s6
n00194,East 35th Street,799.9717673095886,s6
n00195,East 35th Street,819.9713028145194,s6
n00196,East 35th Street,839.9708383193476,s6
n00197,East 35th Street,859.9703738242786,s6
n00198,East 35th Street,879.9699093291067,s6
n00199,East 35th Street,899.9695522429276,s6
n00200,East 35th Street,919.9694502329758,s6
n00201,East 35th Street,939.9693887607665,s6
n00202,East 36th Street,0.0,s7
n00203,East 36th Street,19.999986800030683,s7
n00204,East 36th Street,39.99997580598176,s7
n00205,East 36th Street,59.99996584535302,s7
n00206,East 36th Street,79.99995588472427,s7
n00207,East 36th Street,99.99994592365238,s7
n00208,East 36th Street,119.99993596302357,s7
n00209,East 36th Street,139.99992600249726,s7
n00210,East 36th Street,159.99990888595732,s7
n00211,East 36th Street,179.99989145330665,s7
n00212,East 36th Street,199.99988331913082,s7
n00213,East 36th Street,219.9998724869843,s7
n00214,East 36th Street,239.99986165494013,s7
n00215,East 36th Street,259.9998508232368,s7
n00216,East 36th Street,279.9998400012489,s7
n00217,East 36th Street,299.99982921120943,s7
n00219,East 36th Street,339.99979554589936,s7
n00220,East 36th Street,359.9997807576246,s7
n00221,East 36th Street,379.99976596969054,s7
n00222,East 36th Street,399.9997511814158,s7
n00223,East 36th Street,419.9997363934818,s7
n00224,East 36th Street,439.9997191948161,s7
n00225,East 36th Street,459.99970198216545,s7
n00226,East 36th Street,716.9536373831287,s8
n00227,East 36th Street,736.8826632954069,s8
n00228,East 36th Street,756.8768888842487,s8
n00229,East 36th Street,776.8547959886378,s8
n00230,East 36th Street,796.8520747803617,s8
n00231,East 36th Street,816.851029951886,s8
n00232,East 36th Street,836.8499851234103,s8
n00233,East 36th Street,856.8489402949347,s8
n00234,East 36th Street,876.8478954664589,s8
n00235,East 36th Street,896.8468506379832,s8
n00236,East 36th Street,916.8458306798516,s8
n00237,East 36th Street,936.8447495143214,s8
