node_id,eye_green,hard_barrier,soft_buffer,shelter,rest,building,sky,sidewalk,road,vehicle,person,canopy_green,affordance
n00000,0.0003411670587558223,0.0012297330066969824,0.0,0.0,0.0,0.36953564435978553,0.1197830000271866,0.01530360451975867,0.3670630278432157,0.10217378362768731,0.007174832163434908,0.0041153303411289015,0.0
n00001,0.0016251389706813926,5.155018788883532e-05,0.0,0.0003323707392314789,0.0,0.4282910197606162,0.06505727420146387,0.11321693588613771,0.3440327085657802,0.008473657559619535,0.002480634514181184,0.015054549815043393,0.0003323707392314789
n00002,0.00253398107199285,0.0017272801031501782,0.0,0.0,0.0027830238571796262,0.41666103016339473,0.058716795334931994,0.024337769336603136,0.394389923728077,0.045789373154249184,0.0034405648978005875,0.04925402775099547,0.0027830238571796262
n00003,0.0009040703355200523,0.0,0.0,0.0,0.00100646863086669,0.3999928827171778,0.06844477898902651,0.032263691149889376,0.4087704985628736,0.042867332772568316,0.006686587458700377,0.030295694986345774,0.00100646863086669
n00004,0.0037155871931639235,0.010578330523978108,0.0,7.426258233694614e-05,0.0,0.33713462178955866,0.14314861971104595,0.02836930589524435,0.4298760636054941,0.00418311613507085,0.0025383022505480425,0.03084332283484408,7.426258233694614e-05
n00005,0.0032474842205765546,0.014369311606519298,0.0,0.0,0.0,0.29456305116309867,0.1365761234420898,0.027667114478876303,0.4256992110246925,0.010039639299047148,0.004732571376973881,0.06615988595649963,0.0
n00006,0.0009361784917841644,0.033013456299413026,6.218206042625492e-05,0.00042580560603918777,0.0,0.3306390374536103,0.13568792330107846,0.01218876904989875,0.4153930601156857,0.022319120235878155,0.0013367250101689217,0.04330177434103391,0.0004879876664654427
n00007,0.00166775084212091,0.007383965373238692,0.0,0.0,0.0,0.3145364089041291,0.10014798113735364,0.01467948889336253,0.4068312185950144,0.05923681630386594,0.000649368630312669,0.07932584880503321,0.0
n00008,0.005739663713403356,0.0002351323024215164,0.0,0.0,0.0,0.2929345870354778,0.17795832578485482,0.02146682538571894,0.42849847942601865,0.030173173638475638,0.0018785617532083283,0.034771769792433516,0.0
n00009,0.009145484890703513,0.009682810635104445,0.0,0.0,0.0,0.29242169270612595,0.11883095140200213,0.01633255818546422,0.397942680355897,0.060811109853581506,0.0,0.0926002984219107,0.0
n00010,0.008787046442085961,0.0084986833243608,0.0,0.0,0.0,0.28468790705836305,0.12063133181378514,0.031113517577355608,0.4132466084586151,0.03294973175973776,0.00013625595078213355,0.08311531590541917,0.0
