node_id,scaffold_frac
n00000,0.06560320663265884
n00001,0.012426958772266516
n00002,0.004019240674097091
n00003,0.0012368446041364223
n00004,0.026355080539360642
n00005,0.00017553911311551929
n00006,0.0026734406128525734
n00007,0.020223317202180624
n00008,0.006081320811063051
n00009,0.0031092618592083454
n00010,0.0016585420235060155
n00011,0.0030608372762799263
n00012,0.006837955079390667
n00013,0.0
n00014,0.0076430137269198895
n00015,0.08921826080768369
n00016,0.05878340918570757
n00017,0.07706772722303867
n00018,0.08984778347075917
n00019,0.04736126109492034
n00020,0.09437749907374382
n00021,0.06880729738622904
n00022,0.011125548277050257
n00023,0.011125548277050257
n00024,0.013324831437785178
n00025,0.03796689189039171
n00026,0.08264866098761559
n00027,0.08264866098761559
n00028,0.014733179472386837
n00029,0.014733179472386837
n00030,0.0
n00031,0.0
n00032,4.640689257939812e-05
n00033,0.08143401239067316
n00034,0.010266011959174648
n00035,0.044816954314228497
n00036,0.04052128829061985
n00037,0.01257626834558323
n00038,0.05042815022170544
n00039,0.06635176902636886
n00040,0.026292532682418823
n00041,0.09868728278524941
n00042,0.0615577349672094
n00043,0.12827873975038528
n00045,0.07146258209832013
n00046,0.04473624541424215
n00047,0.006795583292841911
n00048,0.07364774169400334
n00049,0.026716247240983648
n00050,0.020521935970464256
n00051,0.013326849322766066
n00052,0.0027823959244415164
n00053,0.023112650960683823
n00054,0.037232451140880585
n00055,0.00011904376879101619
n00056,0.019149904837831855
n00057,0.12549030035734177
n00058,0.005165289156138897
n00059,0.029839633032679558
n00060,0.0978075759485364
n00061,0.19811506569385529
n00062,0.0
n00063,0.006149922264739871
n00064,0.01962204510346055
n00065,0.019559497013688087
n00066,0.013014107011258602
n00067,0.04569263197481632
n00068,0.011539174789504614
n00069,0.06836340902373195
n00070,0.03486771889402007
n00071,0.0
n00072,0.0020903279073536396
n00073,0.058837890625
n00074,0.05811555615719044
n00075,0.17226037103682756
n00076,0.0981505821691826
n00077,0.004118107259273529
n00078,0.002483777701854706
n00079,0.007560288243212199
n00080,0.0
n00081,0.026361133709315254
n00082,0.003309013181933551
n00083,0.05568625405430794
n00084,0.025408783578313887
n00085,0.060260359779931605
n00086,0.004695167124737054
n00087,0.06363192427670583
n00088,0.02538053528405726
n00089,0.007283864641067339
n00090,0.0005548650515265763
n00091,0.03334436169825494
n00092,0.0020055847708135843
n00093,0.03157484740950167
n00094,0.002661334564209028
n00095,0.005260120611637831
n00096,0.0
n00097,0.012691276730038226
n00098,0.009458935586735606
n00099,0.08917589019984007
n00100,0.08214020170271397
n00101,0.007429138320730999
n00102,0.0013478175969794393
n00103,0.0
n00104,0.0024736891500651836
n00105,0.0030789964366704226
n00106,0.056208837777376175
n00107,0.15674230828881264
n00108,0.03182705910876393
n00109,0.014640365727245808
n00110,0.010496028349734843
n00111,2.824767398124095e-05
n00112,0.005361005198210478
n00113,0.03971824608743191
n00114,0.0964153671375243
n00115,0.07883925610803999
n00116,0.08328624721616507
n00117,0.09242437034845352
n00118,0.019503000716213137
n00119,1.8159218598157167e-05
n00120,0.07256827875971794
n00121,0.015191195998340845
n00122,0.036701799370348454
n00123,0.05530693009495735
n00124,0.0129555944877211
n00125,0.01711607351899147
n00126,0.028003533370792866
n00127,0.014271128922700882
n00128,0.0
n00129,0.019952946109697223
n00130,0.0
n00131,0.00031475978903472424
n00132,0.020709581207484007
n00133,0.0014789674896746874
n00134,0.03676233068108559
n00135,0.05517779663205147
n00136,0.09063669620081782
n00137,0.08027989161200821
n00138,0.034413740038871765
n00139,0.021310852374881506
n00140,0.009224883513525128
n00144,0.09886282403022051
n00145,0.07947079464793205
n00146,0.06802443601191044
n00147,0.2096945969387889
n00148,0.3048569783568382
n00149,0.1786806657910347
n00150,0.22470621950924397
n00151,0.2675841674208641
n00152,0.08727320795878768
n00153,0.0
n00154,0.12391447648406029
n00155,0.01536875288002193
n00156,0.05524236196652055
n00157,0.15158307738602161
n00158,0.006097462435718626
n00159,0.15305800891292165
n00160,0.013627484986500349
n00161,0.019724947169379448
n00162,7.667225872864947e-05
n00163,0.003173828008584678
n00164,0.005932011452387087
n00165,0.009174440987408161
n00166,0.0031940049957484007
n00167,0.02379261308669811
n00168,0.036701799370348454
n00169,0.042244396172463894
n00170,0.002445441437885165
n00171,0.0129555944877211
n00172,0.01711607351899147
n00173,0.028003533370792866
n00174,0.021811238955706358
n00175,0.07902085222303867
n00176,0.012451171409338713
n00177,0.03413126175291836
n00178,0.005603128141956404
n00179,0.05308948736637831
n00180,0.009117945584875997
n00181,0.08535639953333884
n00182,0.01055454183369875
n00183,0.13718684762716293
n00184,0.030931203355066827
n00185,0.11555114760994911
n00186,0.0
n00187,0.1554106380790472
n00189,0.10544654773548245
n00190,0.016906232573091984
n00191,0.38981588557362556
n00192,0.019349657697603106
n00193,0.47068898379802704
n00194,0.01571983064059168
n00195,0.38461630418896675
n00196,0.034413740038871765
n00197,0.07651891652494669
n00198,0.0
n00199,0.004951413682192651
n00200,0.08143401239067316
n00201,0.004295664373785257
n00203,0.026611327659338713
n00205,0.16319085098803043
n00207,0.05715109728043899
n00209,0.08727320795878768
n00210,0.06367227528244257
n00211,0.07593176513910294
n00212,0.05379366083070636
n00213,0.016236360228504054
n00214,0.0
n00215,0.0025624677073210478
n00216,0.008090941002592444
n00217,0.011246609734371305
n00218,0.000924102496355772
n00219,0.04653199203312397
n00220,0.0463766292668879
n00221,0.031044194562127814
n00222,0.00044792742119170725
n00223,0.0013437821762636304
n00224,0.000762687181122601
n00225,0.002600803661152895
n00226,0.006860149500425905
n00227,0.030931203355066827
n00228,0.0
n00229,0.02514042962138774
n00230,0.06375702004879713
n00231,0.019349657697603106
n00232,0.01571983064059168
n00233,0.0
n00234,0.06072039587888867
n00236,0.10920147364959121
n00238,0.09732736111618578
n00240,0.20275171287357807
n00241,0.08478741216822527
n00242,0.2290644273161888
n00243,0.3389478847384453
n00244,0.24790764693170786
n00245,0.19020370196085423
n00250,0.016752888448536396
n00251,0.04583386890590191
n00252,0.12488498631864786
n00253,0.08457353769335896
n00254,0.12628526100888848
