node_id,direction,bearing_deg,fov_deg,street_axis_deg,along_street,GVI,VEI,osm_name,typology,northing_m,lat,lon
n00000,N_uptown,29.0,180.0,28.547950369586164,True,0.44564973998847235,0.7547232754252647,1st Avenue,avenue_secondary,5.714837758915053,40.74368599999999,-73.973583
n00000,E_east,119.0,180.0,28.547950369586164,False,0.8467726473039527,0.7767458680359912,1st Avenue,avenue_secondary,5.714837758915053,40.74368599999999,-73.973583
n00000,S_downtown,209.0,180.0,28.547950369586164,True,0.8869226872289169,0.760012748353582,1st Avenue,avenue_secondary,5.714837758915053,40.74368599999999,-73.973583
n00000,W_west,299.0,180.0,28.547950369586164,False,0.4857997799134364,0.7399087642100303,1st Avenue,avenue_secondary,5.714837758915053,40.74368599999999,-73.973583
n00000,full360,,360.0,28.547950369586164,,0.6662862136086946,0.7572749729537567,1st Avenue,avenue_secondary,5.714837758915053,40.74368599999999,-73.973583
n00001,N_uptown,29.0,180.0,28.547950369586168,True,1.6029808551147182,0.8626388325131434,1st Avenue,avenue_secondary,25.636448912101343,40.743843,-73.973467
n00001,E_east,119.0,180.0,28.547950369586168,False,1.0044047200120447,0.764607650809312,1st Avenue,avenue_secondary,25.636448912101343,40.743843,-73.973467
n00001,S_downtown,209.0,180.0,28.547950369586168,True,0.6401343469586105,0.6369998064029335,1st Avenue,avenue_secondary,25.636448912101343,40.743843,-73.973467
n00001,W_west,299.0,180.0,28.547950369586168,False,1.2387104820612835,0.7346409643773422,1st Avenue,avenue_secondary,25.636448912101343,40.743843,-73.973467
n00001,full360,,360.0,28.547950369586168,,1.1215576010366646,0.7494814100794457,1st Avenue,avenue_secondary,25.636448912101343,40.743843,-73.973467
n00002,N_uptown,29.0,180.0,28.547950369586147,True,5.178800882298831,0.8764590173754955,1st Avenue,avenue_secondary,45.558060063913786,40.74399999999999,-73.973351
n00002,E_east,119.0,180.0,28.547950369586147,False,4.142826151038822,0.770157643726931,1st Avenue,avenue_secondary,45.558060063913786,40.74399999999999,-73.973351
n00002,S_downtown,209.0,180.0,28.547950369586147,True,3.076037883777571,0.7359307210731456,1st Avenue,avenue_secondary,45.558060063913786,40.74399999999999,-73.973351
n00002,W_west,299.0,180.0,28.547950369586147,False,4.112012615037581,0.8377315533813382,1st Avenue,avenue_secondary,45.558060063913786,40.74399999999999,-73.973351
n00002,full360,,360.0,28.547950369586147,,4.127419383038202,0.8050657532559079,1st Avenue,avenue_secondary,45.558060063913786,40.74399999999999,-73.973351
n00003,N_uptown,29.0,180.0,28.332310330918432,True,3.119976532186582,0.8537224188302321,1st Avenue,avenue_secondary,65.47967121593803,40.744157,-73.97323500000002
n00003,E_east,119.0,180.0,28.332310330918432,False,3.393304761060059,0.812885621921606,1st Avenue,avenue_secondary,65.47967121593803,40.744157,-73.97323500000002
n00003,S_downtown,209.0,180.0,28.332310330918432,True,2.499294556267261,0.8460573683190866,1st Avenue,avenue_secondary,65.47967121593803,40.744157,-73.97323500000002
n00003,W_west,299.0,180.0,28.332310330918432,False,2.225966327393784,0.8817543239763995,1st Avenue,avenue_secondary,65.47967121593803,40.744157,-73.97323500000002
n00003,full360,,360.0,28.332310330918432,,2.809635544226922,0.8497553498720423,1st Avenue,avenue_secondary,65.47967121593803,40.744157,-73.97323500000002
n00004,N_uptown,29.0,180.0,28.13774280441089,True,3.5365754483968677,0.7005094899630052,1st Avenue,avenue_secondary,85.41619078615616,40.74431499999999,-73.973121
n00004,E_east,119.0,180.0,28.13774280441089,False,2.6943888815294033,0.788071601797862,1st Avenue,avenue_secondary,85.41619078615616,40.74431499999999,-73.973121
n00004,S_downtown,209.0,180.0,28.13774280441089,True,1.8259797465906507,0.8492638352962776,1st Avenue,avenue_secondary,85.41619078615616,40.74431499999999,-73.973121
n00004,W_west,299.0,180.0,28.13774280441089,False,2.668166313458114,0.7649353632387088,1st Avenue,avenue_secondary,85.41619078615616,40.74431499999999,-73.973121
n00004,full360,,360.0,28.13774280441089,,2.681277597493759,0.7760906129185163,1st Avenue,avenue_secondary,85.41619078615616,40.74431499999999,-73.973121
n00005,N_uptown,29.0,180.0,28.022150987711914,True,6.812997505661545,0.6794793548880742,1st Avenue,avenue_secondary,105.31182433654666,40.744473000000006,-73.973008
n00005,E_east,119.0,180.0,28.022150987711914,False,1.1541033622874366,0.7884478768784012,1st Avenue,avenue_secondary,105.31182433654666,40.744473000000006,-73.973008
n00005,S_downtown,209.0,180.0,28.022150987711914,True,1.4352231446160404,0.6937293638142309,1st Avenue,avenue_secondary,105.31182433654666,40.744473000000006,-73.973008
n00005,W_west,299.0,180.0,28.022150987711914,False,7.094117287990148,0.5681794476526386,1st Avenue,avenue_secondary,105.31182433654666,40.744473000000006,-73.973008
n00005,full360,,360.0,28.022150987711914,,4.124110325138792,0.6871678155598397,1st Avenue,avenue_secondary,105.31182433654666,40.744473000000006,-73.973008
n00006,N_uptown,29.0,180.0,28.158676024703567,True,4.349078991994586,0.7042685190277039,1st Avenue,avenue_secondary,125.24834390618378,40.744631,-73.972894
n00006,E_east,119.0,180.0,28.158676024703567,False,0.8686806480043253,0.8630875320355479,1st Avenue,avenue_secondary,125.24834390618378,40.744631,-73.972894
n00006,S_downtown,209.0,180.0,28.158676024703567,True,1.0864746442770306,0.6757727695918198,1st Avenue,avenue_secondary,125.24834390618378,40.744631,-73.972894
n00006,W_west,299.0,180.0,28.158676024703567,False,4.566872988267291,0.49236876019566544,1st Avenue,avenue_secondary,125.24834390618378,40.744631,-73.972894
n00006,full360,,360.0,28.158676024703567,,2.717776818135808,0.6893878035142189,1st Avenue,avenue_secondary,125.24834390618378,40.744631,-73.972894
n00007,N_uptown,29.0,180.0,28.30092465091805,True,5.785045113904837,0.696804009795147,1st Avenue,avenue_secondary,145.18486347650793,40.744789,-73.97278
n00007,E_east,119.0,180.0,28.30092465091805,False,1.0771499329356455,0.8705960546164961,1st Avenue,avenue_secondary,145.18486347650793,40.744789,-73.97278
n00007,S_downtown,209.0,180.0,28.30092465091805,True,5.509778361150436,0.6544242531274277,1st Avenue,avenue_secondary,145.18486347650793,40.744789,-73.97278
n00007,W_west,299.0,180.0,28.30092465091805,False,10.217673542119625,0.409254333388236,1st Avenue,avenue_secondary,145.18486347650793,40.744789,-73.97278
n00007,full360,,360.0,28.30092465091805,,5.647411737527635,0.6748072135076166,1st Avenue,avenue_secondary,145.18486347650793,40.744789,-73.97278
n00008,N_uptown,29.0,180.0,28.43730767960122,True,4.705939542551939,0.739953803036532,1st Avenue,avenue_secondary,165.10647462969425,40.744946000000006,-73.972664
n00008,E_east,119.0,180.0,28.43730767960122,False,1.1961357989817345,0.8760310933812159,1st Avenue,avenue_secondary,165.10647462969425,40.744946000000006,-73.972664
n00008,S_downtown,209.0,180.0,28.43730767960122,True,5.214074559819657,0.6134817085755025,1st Avenue,avenue_secondary,165.10647462969425,40.744946000000006,-73.972664
n00008,W_west,299.0,180.0,28.43730767960122,False,8.723878303389862,0.4224269229187508,1st Avenue,avenue_secondary,165.10647462969425,40.744946000000006,-73.972664
n00008,full360,,360.0,28.43730767960122,,4.960007051185799,0.6774725230797686,1st Avenue,avenue_secondary,165.10647462969425,40.744946000000006,-73.972664
n00009,N_uptown,29.0,180.0,28.510370608036812,True,6.045333448966428,0.6666953002662774,1st Avenue,avenue_secondary,185.08388022190695,40.745104000000005,-73.972549
n00009,E_east,119.0,180.0,28.510370608036812,False,4.39796427378859,0.760483199910129,1st Avenue,avenue_secondary,185.08388022190695,40.745104000000005,-73.972549
n00009,S_downtown,209.0,180.0,28.510370608036812,True,4.486516802650644,0.5324616314573553,1st Avenue,avenue_secondary,185.08388022190695,40.745104000000005,-73.972549
n00009,W_west,299.0,180.0,28.510370608036812,False,6.133885977828483,0.42381567396709335,1st Avenue,avenue_secondary,185.08388022190695,40.745104000000005,-73.972549
n00009,full360,,360.0,28.510370608036812,,5.265925125808537,0.5985825264923436,1st Avenue,avenue_secondary,185.08388022190695,40.745104000000005,-73.972549
n00010,N_uptown,29.0,180.0,28.483482049449663,True,10.81472977164569,0.7024645888664424,1st Avenue,avenue_secondary,205.0054913737193,40.745261,-73.972433
