path,f_scaffold
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00017_270.jpg,0.1167113184928894
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00018_000.jpg,0.1569682955741882
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00018_090.jpg,0.0006214488530531
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00018_180.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00018_270.jpg,0.2018013894557953
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00019_000.jpg,0.1186725124716758
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00019_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00019_180.jpg,0.0033493670634925
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00019_270.jpg,0.0674231648445129
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00020_000.jpg,0.1296406835317611
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00020_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00020_180.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00020_270.jpg,0.2478693127632141
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00021_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00021_090.jpg,0.0107099041342735
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00021_180.jpg,0.0451559238135814
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00021_270.jpg,0.2193633615970611
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00022_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00022_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00022_180.jpg,0.031080512329936
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00022_270.jpg,0.013421680778265
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00023_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00023_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00023_180.jpg,0.031080512329936
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00023_270.jpg,0.013421680778265
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00024_000.jpg,0.050506841391325
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00024_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00024_180.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00024_270.jpg,0.0027924843598157
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00025_000.jpg,0.0080304099246859
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00025_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00025_180.jpg,0.0166580565273761
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00025_270.jpg,0.1271791011095047
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00026_000.jpg,0.22456094622612
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00026_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00026_180.jpg,0.0481178946793079
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00026_270.jpg,0.0579158030450344
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00027_000.jpg,0.22456094622612
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00027_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00027_180.jpg,0.0481178946793079
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00027_270.jpg,0.0579158030450344
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00028_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00028_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00028_180.jpg,0.0589327178895473
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00028_270.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00029_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00029_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00029_180.jpg,0.0589327178895473
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00029_270.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00030_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00030_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00030_180.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00030_270.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00031_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00031_090.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00031_180.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00031_270.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00032_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00032_090.jpg,9.684916585683824e-05
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00032_180.jpg,8.877840446075425e-05
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00032_270.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00033_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00033_090.jpg,0.1515931636095047
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00033_180.jpg,0.1413271576166153
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00033_270.jpg,0.0328157283365726
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00034_000.jpg,0.0392723381519317
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00034_090.jpg,0.0017917096847668
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00034_180.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00034_270.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00035_000.jpg,0.0114846974611282
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00035_090.jpg,0.0410398356616497
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00035_180.jpg,0.1266545057296753
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00035_270.jpg,8.877840446075425e-05
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00036_000.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00036_090.jpg,0.0208145007491111
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00036_180.jpg,0.0
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00036_270.jpg,0.1412706524133682
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00037_000.jpg,0.0031960227061063
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00037_090.jpg,0.0344702340662479
C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00037_180.jpg,0.0040595941245555
