file,sky,roadway,vehicle,upper_building_facade,other_unknown,door_entrance,ground_floor_glazing,fence_railing,tree,upper_building_glazing,sidewalk,pole_fixture,awning_canopy,traffic_sign_signal,ground_floor_solid_facade,signboard,curb_edge,person,wall_ledge,arcade_column,arcade_soffit,sidewalk_shed_scaffold,stoop_stair,planter_container,shrub_hedge,ground_vegetation,vertical_green_wall,bench_seating,traffic_cone_barrel
1st_avenue/north_to_south/001_n00045_S_L.jpg,0.4174024064981512,0.32133910711038366,0.06365020912893253,0.05764078317269807,0.05445080923804328,0.017891131720918954,0.013727874765108807,0.01074286233860702,0.010672394980905619,0.00764873916469661,0.004926653330908649,0.004511805176698793,0.0037976601806389036,0.0037605322179790263,0.0027171606958841,0.001981042007637752,0.001638555494938473,0.001491559071346305,8.713705522216e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/001_n00045_S_R.jpg,0.1355156626768599,0.45378214378559967,0.011205472713488908,0.122809926103735,0.00046817572584750296,3.8528176940068e-05,0.10955584406284685,0.0034278402271527906,0.0013263033031490359,0.020367784528640836,0.005257344871549393,0.001661770863980746,0.012820931930440684,0.0027249928781248687,0.027403652315504515,0.0,0.001780079609332069,0.000317954753131679,0.05169352742194347,0.0,0.0,0.03784206405173206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/002_n00044_S_L.jpg,0.43094089838929067,0.4084389643011475,0.013807191735132805,0.024107159179440982,0.01858786088878984,2.3337413491125e-05,0.012914535669097258,0.016503440907140825,0.039917089949003864,0.005460176843140298,0.001523544144078967,0.0007327947836213359,0.016277067996276904,0.001604836134406387,0.0055441915317083505,0.0,0.002378082434745675,0.0,0.001238827699487238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/002_n00044_S_R.jpg,0.12118739625865825,0.4392722600807597,0.011378183054783211,0.2335241434749079,0.001428352426020215,6.0309078189358e-05,0.03233344772603648,0.003899468268475783,0.041515602153073,0.04913166600132134,0.0034407301834096338,0.001619006931263992,0.014079640666839423,0.01062568139531083,0.0171238872975074,0.000341232655303658,0.001431854243463468,0.002486290384709664,0.001661806922237085,0.0,0.0,0.013459040797729577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/003_n00043_S_L.jpg,0.4157057972841916,0.40446023969974493,0.005795571828197022,0.061996895952128546,0.0017824146503587401,0.0,0.01775915452834506,0.020312521891009624,0.012994503313423217,0.01202040203179703,0.01633633619609363,0.0070584398501215,0.000182133200080325,0.0027876498123405357,0.001594443847711737,7.783470088902796e-07,0.006952973830416867,0.005497854097296489,0.006757997904689852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.891735044451e-06,0.0
1st_avenue/north_to_south/003_n00043_S_R.jpg,0.07019794921130097,0.33279471720318127,0.003334049412581512,0.24030607717777602,4.5533300020080996e-05,0.000143994196644701,0.050536125419723625,0.02234284006369992,0.003445353034852822,0.0381218798014281,0.07477696466460249,0.008650937830311012,0.022705938943347236,0.0049432818534621645,0.01841841444487513,0.010638057744007896,0.012483129328582303,0.000268918891571591,0.07091753102102004,0.0,0.0,0.013809432631731339,0.001118873825279776,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/004_n00042_S_L.jpg,0.4008543553014505,0.3228852896873836,0.0013284610125487812,0.05235319318990572,0.008879364922481148,0.007485531487522234,0.015254732593717008,0.02545866731312729,0.016435716534281025,0.010756098215838722,0.06878462938700514,0.023297097036411273,0.0,0.024871482876121984,0.004397851893329327,3.6577426824717e-05,0.016248549062975823,0.000259154960268742,0.000407021153815473,0.0,0.0,6.225944991441e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/004_n00042_S_R.jpg,0.018485608922713063,0.371532099999572,0.004776078051559385,0.29302059892812576,0.000281724010862717,0.003348780162271473,0.05261585024423215,0.01231764304400459,0.025138031146068062,0.03860552840567946,0.034870350532376665,0.010933148526532837,4.6694587435809e-05,0.009445147673578373,0.02342161593624009,0.000622983620706092,0.008193343608736713,0.0035880899228799977,0.060989357136158696,0.0,0.0,0.027766547297142178,0.0,0.0,0.0,0.0,0.0,7.782431239301589e-07,0.0
1st_avenue/north_to_south/005_n00041_S_L.jpg,0.3801637486437304,0.3599395691382298,0.0,0.07116115363480272,0.014513447501272597,0.001415424035666973,0.0,0.04989282161687581,0.0077141972051115604,0.04499935397198262,0.0400763091407516,0.003129733322747814,0.000164231218875848,0.000148275105193598,0.0,0.0005152657198853651,0.009583397546961568,0.012355480419124298,0.004227591778787554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/005_n00041_S_R.jpg,0.051175148314022555,0.2804142985458921,0.0017275411862319751,0.2960719161502334,0.10462423741451804,4.3198258993410006e-05,0.03647801091865184,0.022879899499834214,0.007072450096281525,0.04228564712548666,0.016387317925175945,0.002336597720688619,7.783470088902796e-07,0.000244011787287102,0.004169994100129672,0.0009344055841727799,0.02742583520525789,0.0,0.0918924262165953,0.0,0.0,0.013836285603538055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/006_n00040_S_L.jpg,0.41293757955992,0.11667575922895072,0.007123264836030794,0.043464720858337885,0.2501962478026308,0.000332636236891556,0.018839789052555008,0.027117809298660357,0.009871491786385403,0.025763017518336668,0.04717600169727829,0.002167818391222646,5.5691943989815996e-05,0.001008895556767897,0.002132963569133782,0.002042795659816936,0.009149390798326969,0.000601245681032915,0.02334288052373159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/006_n00040_S_R.jpg,0.01096778034554773,0.34604463769085925,0.02072655999806996,0.3168352276419505,0.013251145671158815,0.000642439698804346,0.06782583385832318,0.04796896055124518,0.01744587610914237,0.04682883437468749,0.02416172514709768,0.005045739294001185,0.02207369884559306,2.723850933755e-06,0.013176045209699555,0.0,0.000532318296768228,0.001231958865181441,0.027990681316834062,0.0,0.0,0.016938072470777946,0.0,0.0,0.0,0.0,0.0,0.00030974076332420297,0.0
1st_avenue/north_to_south/007_n00039_S_L.jpg,0.3919354863815652,0.30272065164264883,0.00039108832291987703,0.06107710004700842,0.010306831165030712,0.000169666177903548,0.0,0.04225193715191193,0.015401486213455615,0.036829234883366174,0.09475778207391221,0.00172195604867707,0.001296623176088587,0.012956892338248982,0.0,0.006034823593872094,0.014071007630308295,0.008074320012203512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.113140878964e-06,0.0
1st_avenue/north_to_south/007_n00039_S_R.jpg,0.06665024354477908,0.29799949251775026,0.00156058575282501,0.26673290399712324,0.08198796052846649,0.000219493856507058,0.016298975539666898,0.029434748835203705,0.005766772988868081,0.05144056464405413,0.0240859481901097,0.0046105385071615705,0.000158393616309171,0.0,0.01084743308939938,0.00030978210953833097,0.03112415101800005,5.60409846401e-05,0.07275248409447886,0.0,0.0,0.03796348618511894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/008_n00038_S_L.jpg,0.41530429775110633,0.22427903558222703,0.002160620112747772,0.03395731042007638,0.20110360974722682,8.713705522216e-06,0.016001394192883555,0.015761956719403527,0.026437003697642,0.005177077650481906,0.020953809783597017,0.007964705704067406,0.004028383948596714,0.000213675213675213,0.00397837485603443,0.0039469297448020855,0.017807404376553312,0.00048039037400739496,0.00043530641934897205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/008_n00038_S_R.jpg,0.010875302483299789,0.3710234703546788,0.007507067732765304,0.38843319524171255,0.05159444918672127,8.1053777419279e-05,0.07376324465710728,0.010424220591575106,0.005174128574001707,0.02739735146014268,0.002798508923746799,0.003287180973115206,0.0075387844282771965,0.0,0.011430540436828956,0.0015145701017283638,0.0063194536897089116,0.0009182179132763731,0.019205829606947916,0.0,0.0,0.0007134298669465041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/009_n00037_S_L.jpg,0.36047161970466746,0.3893526243102554,0.001921598770176787,0.03757780131606082,0.010151275129200176,0.001390034557532354,0.021369584372246495,0.03499614117970542,0.06393651225136386,0.015860610662217306,0.027254285321485036,0.009067837123413507,0.0,0.004801653512307605,0.001944642332664679,0.01041569024452735,0.007278641195328172,0.002209448016847578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/009_n00037_S_R.jpg,0.0950583526752565,0.3902371156327884,0.001650484832351837,0.1841226550350489,0.003976574868420438,0.000128427256466896,0.08863231976985836,0.01067931013547908,0.0037609727469578307,0.060618054225879424,0.06340803907924662,0.008419768768670599,0.015189441878493805,0.005227378511707117,0.008875101768871413,0.01845811014232853,0.01218229820964621,1.3621072655579e-05,0.024163782890998728,0.0,0.0,0.0051981904988737315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/010_n00036_S_L.jpg,0.42373007213432745,0.3557817330423713,0.0019219403527914161,0.0338262259804813,0.000182987815966539,0.000320891677274656,0.015493347275262168,0.01576763957083106,0.003508971328120264,0.0072088864642056135,0.07391457537734133,0.0063856307207371035,0.008511396011396012,0.006355701036552101,0.0033949354428077835,0.002297766260532218,0.039105594956658794,6.9330787415893e-05,0.002222373764926956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/010_n00036_S_R.jpg,0.0301296825429561,0.39409025518981156,0.002319553630873838,0.24306400543836296,0.051511912372937216,0.0,0.011551851810057311,0.02573572186524643,0.012846070125153168,0.07718498566670727,0.000928833168410644,0.004285006640359455,0.003165503906585921,0.000133857817315987,0.013581898998829132,0.001108996451600476,0.006484321708586083,0.000707033878090549,0.03688444373710792,0.0,0.0,0.08428606505100798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st_avenue/north_to_south/011_n00035_S_L.jpg,0.4352878698315431,0.3054934737572585,0.000620556310480689,0.008230515670126238,0.015082540661942432,0.0,0.02542122074926777,0.06362056337563793,0.0004906359191023791,0.011267355755002328,0.09210923989113376,0.0062503091006290345,0.000417236785604663,0.003578502139565115,0.001715655681917201,0.0,0.017574578622247237,0.00039761134884056795,0.012102614343682221,0.0,0.0,3.6895821116498e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000302624234902347
1st_avenue/north_to_south/011_n00035_S_R.jpg,0.054926391723369244,0.43677409412083373,0.017382823749546614,0.19875246541415062,0.00245101473099549,0.000193419231709234,0.12259004307372347,0.00033974846938060704,0.0,0.07903063106818786,0.001741162258887555,0.0,0.002652217432793627,0.000442490274554123,0.006431092160955935,0.0,0.0030635738269921397,0.0,0.07034155423444124,0.0,0.0,0.002887278229478491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
