node_id,green_eye,green_canopy,green_ground,articulation,barrier,walkable,affordance,VEI,green_eye_n,articulation_n,barrier_n,affordance_n,enclosure,openness,G,M,P,SIM
n00001,0.0007238924012055264,0.015305916149941652,0.0016251932523538007,0.0007931682923920425,0.006305043880685775,0.10537010545488443,0.0004289807822934916,0.8628619661439964,0.19546092511761104,0.17550570989099978,0.513373263660086,0.08996064806398474,0.473324774104453,0.48662673633991405,0.11792663237150813,0.3724135921886096,0.09766537675943458,0.19522111475916734
n00002,0.00253398107199285,0.04925402775099547,0.006015218633847834,0.00023171299799125566,0.0017272801031501782,0.05812314241380668,0.0027830238571796262,0.8764839414346248,0.5329446748860114,0.05481809758311185,0.17906896645096126,0.4574974096237484,0.43303936736739995,0.8209310335490387,0.32217289238514596,0.3976348394883088,0.25781027601877754,0.32583567152828813
n00003,0.0009040703355200523,0.02985566955527628,0.0020461178154748687,0.0009931930758004365,0.0,0.07362033882074012,0.0007685842353997986,0.854133037703873,0.23785486841792736,0.21467129160633813,0.0,0.1554019389039244,0.4983591664265089,1.0,0.14353136817694637,0.5244786186328219,0.11451113886233226,0.25966728515356263
n00004,0.0037155871931639235,0.03084332283484408,0.008043076236907809,0.004027223377846772,0.010578330523978108,0.06190854896395987,7.426258233694614e-05,0.7019495844498131,0.6725135185820452,0.6246363877159822,0.7013304884992866,0.016186579977398585,0.8368654613621912,0.2986695115007134,0.40672534164399027,0.6280362981206487,0.039047564470679225,0.35842429081409494
n00005,0.0032474842205765546,0.06615988595649963,0.007112102506357529,0.006060754483320997,0.014369311606519298,0.061025958308980124,0.0,0.6832203346699867,0.6230610203927482,0.7711381449129261,0.8063070460714842,0.0,0.8657212358536723,0.19369295392851582,0.37668145323819197,0.664610083543122,0.030512979154490062,0.3574623047911973
n00006,0.0010611203357010596,0.043350266063611,0.0025946430819451857,0.030482629716572694,0.03955126845728368,0.031776724476530675,0.0,0.7003611016185731,0.2729807156367058,0.9993988710937791,0.9890907779496605,0.0,0.8394217158327673,0.010909222050339507,0.16482628661480153,0.6882855967285144,0.015888362238265338,0.28841834390806986
n00007,0.0027623653104559727,0.055424481859862325,0.00654508688474116,0.011452265190090785,0.004252165790366586,0.02819046925104952,2.4253668071281814e-05,0.6918515747774842,0.5639172086519295,0.9383597566534019,0.3847625449756299,0.005315504354237888,0.8527718930215976,0.6152374550243701,0.34096835994505414,0.8233440357934223,0.016752986802643706,0.3931612598380202
n00008,0.003811057942823304,0.04545340267232941,0.008781181328572807,0.007613570300891458,0.029272572970961634,0.046368202591134916,0.000825004251046439,0.7387111232306918,0.6817734314943518,0.8431477386644872,0.9647030254161438,0.16580875066410983,0.772067998583766,0.03529697458385617,0.4125765314280402,0.6127531516120409,0.10608847662762237,0.37749375800462254
n00009,0.005114388245433423,0.05533894624423086,0.011924792879160621,2.8084915458378604e-06,0.010639379832795993,0.03691719183690686,0.0,0.6679392413616734,0.7848808772065283,0.0006830981286961579,0.7034061573245229,0.0,0.8871856448434624,0.29659384267547706,0.4756984434755812,0.4292618029512979,0.01845859591845343,0.3094852024087156
n00010,0.01007520026744754,0.0982988573785193,0.02335641042405341,0.002774122695292252,0.0047097129274284435,0.028908880547327015,0.004815506126422135,0.7061122401527992,0.9515385359672984,0.49082794422135967,0.41609382335983747,0.6529183524466262,0.8300709778367794,0.5839061766401625,0.5802656857500004,0.6497947157722284,0.3409136164969766,0.5242240828038378
