file,node_id,W_facade,hw_source,d,band_deg_top,band_deg_bot,band_rows,gmi_band,veg_band,veg_all,veg_near
east_35th_street/east_to_west/045_n00316_W_L.jpg,n00316,20.02239403525813,measured,10.011197017629065,2.8592090859229558,-14.021164256874735,275,0.0002095959595959596,0.0002095959595959596,0.0972330883791109,0.005466841146100136
Tunnel_Exit_Street/north_to_south/006_n00261_S_R.jpg,n00261,14.008230597225667,measured,7.004115298612834,4.083224379917562,-19.64316042167799,392,0.0023189484126984127,0.006983418367346938,0.0015297996591131353,0.000507992834545686
Tunnel_Exit_Street/north_to_south/014_n00253_S_R.jpg,n00253,13.362063824715284,measured,6.681031912357642,4.279965295405139,-20.515532108491684,412,0.002412014563106796,0.009130596008629989,0.002102989434990888,0.000556114386481259
Park_Ave_Tunnel_Segment/west_to_east/022_n00190_E_L.jpg,n00190,43.25046111732943,measured,21.625230558664715,1.3245077958535654,-6.5944453436820485,127,0.0031003937007874015,0.004412729658792651,0.03034296695756921,0.004911890990714093
2nd_avenue/north_to_south/018_n00062_S_L.jpg,n00062,30.506725014637706,measured,15.253362507318853,1.8774637773719711,-9.307923780126016,180,0.010868055555555556,0.03561342592592592,0.01802656620128469,0.0035485763782167703
lexington_avenue/north_to_south/008_n00715_S_L.jpg,n00715,22.9004177670694,measured,11.4502088835347,2.5003650078513773,-12.316482453125586,240,0.001851851851851852,0.018848379629629628,0.024981294687070204,0.003254802065190732
east_41st_street/east_to_west/037_n00604_W_L.jpg,n00604,39.54905466789186,measured,19.77452733394593,1.448418281962574,-7.205407933655243,139,0.0,0.0,0.0003512097137233352,0.00024293622186829597
east_38th_street/west_to_east/018_n00472_E_L.jpg,n00472,18.3663243053944,measured,9.1831621526972,3.116533322034661,-15.228989866976645,300,0.011560185185185185,0.15518518518518518,0.09161528526766449,0.008194634602189997
east_41st_street/west_to_east/023_n00617_E_R.jpg,n00617,18.863152450274303,measured,9.431576225137151,3.0346038339380614,-14.845816107561035,292,0.0011914954337899544,0.005029965753424658,0.0009445794952514894,0.00025845930313783563
east_38th_street/west_to_east/001_n00455_E_R.jpg,n00455,19.324263194207592,measured,9.662131597103796,2.9623234201534285,-14.506685551448193,284,0.0016407472613458529,0.010942390453834116,0.0020339117233414365,0.00041601857802366337
east_38th_street/west_to_east/017_n00471_E_L.jpg,n00471,42.63610554072597,measured,21.318052770362986,1.343586053112327,-6.688611640900097,130,0.020592948717948718,0.1575267094017094,0.08547396624040285,0.008297086938568957
lexington_avenue/north_to_south/018_n00705_S_R.jpg,n00705,22.60508629428336,measured,11.30254314714168,2.532989563414625,-12.472390577871339,244,0.01605191256830601,0.08461122495446266,0.10054765430718936,0.007846529504720569
east_40th_street/west_to_east/016_n00564_E_R.jpg,n00564,18.398134457820102,measured,9.199067228910051,3.1111554682502685,-15.203878862469654,299,0.002766164994425864,0.025778056484578225,0.011808795998770572,0.0010132691298692024
Park_Ave_West/south_to_north/022_n00230_N_R.jpg,n00230,43.24105483617432,measured,21.62052741808716,1.324795815033585,-6.59586720278229,127,0.014118547681539808,0.03805774278215223,0.0798507300505121,0.008099167652382328
east_39th_street/west_to_east/043_n00544_E_R.jpg,n00544,23.27136039314287,measured,11.635680196571435,2.460558877257255,-12.1260140973429,236,0.0027395244821092277,0.1730785075329567,0.13633146124973222,0.011607384019298294
east_42nd_street/west_to_east/014_n00654_E_L.jpg,n00654,30.94669773086652,measured,15.47334886543326,1.8507903592882857,-9.177859832531889,178,0.0,0.0,0.0,0.0
east_38th_street/west_to_east/035_n00489_E_L.jpg,n00489,18.22428058806689,measured,9.112140294033445,3.1407757668364034,-15.342114689528282,302,0.006583425312729948,0.02004690949227373,0.028185258661103194,0.004865321746905474
east_40th_street/west_to_east/012_n00560_E_L.jpg,n00560,27.86709806962711,measured,13.933549034813556,2.055154971388559,-10.171951668743603,197,0.005812887760857304,0.3030245346869712,0.21804767759181126,0.0107877653282666
east_37th_street/east_to_west/042_n00413_W_R.jpg,n00413,20.973466205612866,measured,10.486733102806433,2.7297548703594865,-13.40882923877249,263,0.02103664976763836,0.24984157160963244,0.2685073936436087,0.012405270396552634
Park_Ave_West/south_to_north/003_n00211_N_L.jpg,n00211,42.74679473545633,measured,21.373397367728163,1.3401082214881233,-6.671448370661244,128,0.0,0.004508463541666666,0.07188541856095047,0.0072804903921925195
east_41st_street/west_to_east/012_n00606_E_L.jpg,n00606,21.61509207315288,measured,10.80754603657644,2.6488415577754068,-13.024566564579883,254,0.0008338801399825022,0.0010580708661417323,0.0001501858112827964,0.00011836349468024005
east_34th_street/east_to_west/037_n00277_W_R.jpg,n00277,33.62242698993176,measured,16.81121349496588,1.7035918933637701,-8.458481635248697,163,0.0025477164280845264,0.016198023176550783,0.06288400222290524,0.006064479774977414
east_40th_street/west_to_east/008_n00556_E_R.jpg,n00556,19.07300507534439,measured,9.536502537672195,3.001276686421597,-14.689574442163988,288,0.0007161458333333333,0.0015166859567901235,0.0024689460759202858,0.0003900174168971844
Park_Ave_Tunnel_Segment/west_to_east/016_n00178_E_R.jpg,n00178,42.90453047533676,measured,21.45226523766838,1.3351831867743689,-6.647141108259793,128,0.01886935763888889,0.688671875,0.47388319191806294,0.007373463603031347
east_38th_street/east_to_west/021_n00481_W_R.jpg,n00481,17.99779971659558,measured,8.99889985829779,3.180218065456322,-15.52591731854044,306,0.001786038489469862,0.012981118373275235,0.11957623540442283,0.01017770823437369
east_40th_street/west_to_east/042_n00590_E_L.jpg,n00590,18.979397958479137,measured,9.489698979239568,3.016051835158437,-14.758868642917466,290,0.005596264367816092,0.019346264367816092,0.11825289272619458,0.005928652813868941
madison_avenue/north_to_south/011_n00746_S_R.jpg,n00746,23.15890754830417,measured,11.579453774152086,2.472491836208085,-12.183139673205904,238,0.004184173669467787,0.030593487394957982,0.004109347689078891,0.0005968624748138007
east_35th_street/west_to_east/020_n00333_E_L.jpg,n00333,18.967365566610464,measured,9.483682783305232,3.017961602294892,-14.76782220970526,290,0.016159003831417624,0.054363026819923374,0.12138777898857811,0.012486766573217718
east_39th_street/east_to_west/043_n00506_W_R.jpg,n00506,19.61388833233953,measured,9.806944166169766,2.9186569742297,-14.30132362440024,281,0.0,0.0,0.0,0.0
east_40th_street/west_to_east/039_n00587_E_L.jpg,n00587,24.39261881383522,measured,12.19630940691761,2.347583660273233,-11.584028763989677,226,0.007107300884955752,0.02607239429695182,0.056029397611308256,0.004524202036007339
east_38th_street/east_to_west/038_n00464_W_L.jpg,n00464,21.27186180242665,measured,10.635930901213325,2.691519357886044,-13.227390796463805,258,0.004723837209302325,0.08676787252368648,0.15663371116513145,0.004268071195059934
east_40th_street/west_to_east/040_n00588_E_L.jpg,n00588,18.751894092942745,measured,9.375947046471373,3.052574732197972,-14.929976337672421,293,0.013395904436860069,0.0271805081532044,0.05421824210418471,0.005409793822434578
east_40th_street/east_to_west/010_n00585_W_L.jpg,n00585,36.12333803407692,measured,18.06166901703846,1.5857103260061807,-7.880504584168232,152,0.00501187865497076,0.22050895467836257,0.19902491765005387,0.009124855247267161
east_41st_street/west_to_east/020_n00614_E_L.jpg,n00614,18.86133112504846,measured,9.43066556252423,3.0348963195889542,-14.847186362134236,292,0.0015862823439878235,0.004309360730593607,0.0007031955815101474,0.00025884738016957414
Park_Ave_Tunnel_Segment/west_to_east/011_n00171_E_L.jpg,n00171,42.29123835402895,measured,21.145619177014474,1.354538364478551,-6.74265426483364,130,0.013669871794871795,0.32890491452991455,0.2465670705772413,0.007829066038292337
2nd_avenue/south_to_north/002_n00047_N_L.jpg,n00047,52.567855900155664,measured,26.283927950077832,1.0898079960601177,-5.433351566852483,104,0.032371794871794875,0.14790331196581197,0.048477030496645465,0.005892949726949001
east_38th_street/east_to_west/046_n00456_W_R.jpg,n00456,18.373178735944084,measured,9.186589367972042,3.115372936330368,-15.223572121517623,299,0.004868078781122259,0.01244890375325158,0.003769780286307711,0.0016314758414286202
east_35th_street/west_to_east/015_n00328_E_L.jpg,n00328,20.74780387565542,measured,10.37390193782771,2.7593992547254524,-13.549320151331678,265,0.012127882599580713,0.09493186582809224,0.27922724549132105,0.012503453885582473
Park_Ave_West/south_to_north/028_n00236_N_R.jpg,n00236,55.48188422867741,measured,27.740942114338704,1.0325816639113443,-5.149556659608893,100,0.027479166666666666,0.20277083333333334,0.04242225264746151,0.0051435729786619725
