node_id,GVI_E_east,GVI_N_uptown,GVI_S_downtown,GVI_W_west,GVI_full360,VEI_E_east,VEI_N_uptown,VEI_S_downtown,VEI_W_west,VEI_full360,osm_name,typology,northing_m,lat,lon
n00000,0.8467726473039527,0.44564973998847235,0.8869226872289169,0.4857997799134364,0.6662862136086946,0.7767458680359912,0.7547232754252647,0.760012748353582,0.7399087642100303,0.7572749729537567,1st Avenue,avenue_secondary,5.714837758915053,40.74368599999999,-73.973583
n00001,1.0044047200120447,1.6029808551147182,0.6401343469586105,1.2387104820612835,1.1215576010366646,0.764607650809312,0.8626388325131434,0.6369998064029335,0.7346409643773422,0.7494814100794457,1st Avenue,avenue_secondary,25.636448912101343,40.743843,-73.973467
n00002,4.142826151038822,5.178800882298831,3.076037883777571,4.112012615037581,4.127419383038202,0.770157643726931,0.8764590173754955,0.7359307210731456,0.8377315533813382,0.8050657532559079,1st Avenue,avenue_secondary,45.558060063913786,40.74399999999999,-73.973351
n00003,3.393304761060059,3.119976532186582,2.499294556267261,2.225966327393784,2.809635544226922,0.812885621921606,0.8537224188302321,0.8460573683190866,0.8817543239763995,0.8497553498720423,1st Avenue,avenue_secondary,65.47967121593803,40.744157,-73.97323500000002
n00004,2.6943888815294033,3.5365754483968677,1.8259797465906507,2.668166313458114,2.681277597493759,0.788071601797862,0.7005094899630052,0.8492638352962776,0.7649353632387088,0.7760906129185163,1st Avenue,avenue_secondary,85.41619078615616,40.74431499999999,-73.973121
n00005,1.1541033622874366,6.812997505661545,1.4352231446160404,7.094117287990148,4.124110325138792,0.7884478768784012,0.6794793548880742,0.6937293638142309,0.5681794476526386,0.6871678155598397,1st Avenue,avenue_secondary,105.31182433654666,40.744473000000006,-73.973008
n00006,0.8686806480043253,4.349078991994586,1.0864746442770306,4.566872988267291,2.717776818135808,0.8630875320355479,0.7042685190277039,0.6757727695918198,0.49236876019566544,0.6893878035142189,1st Avenue,avenue_secondary,125.24834390618378,40.744631,-73.972894
n00007,1.0771499329356455,5.785045113904837,5.509778361150436,10.217673542119625,5.647411737527635,0.8705960546164961,0.696804009795147,0.6544242531274277,0.409254333388236,0.6748072135076166,1st Avenue,avenue_secondary,145.18486347650793,40.744789,-73.97278
n00008,1.1961357989817345,4.705939542551939,5.214074559819657,8.723878303389862,4.960007051185799,0.8760310933812159,0.739953803036532,0.6134817085755025,0.4224269229187508,0.6774725230797686,1st Avenue,avenue_secondary,165.10647462969425,40.744946000000006,-73.972664
n00009,4.39796427378859,6.045333448966428,4.486516802650644,6.133885977828483,5.265925125808537,0.760483199910129,0.6666953002662774,0.5324616314573553,0.42381567396709335,0.5985825264923436,1st Avenue,avenue_secondary,185.08388022190695,40.745104000000005,-73.972549
