file,sky_share,road_share,ceiling_share,indoor,node_id
aldermanbury/north_to_south/001_n00031_S_R.jpg,0.051734,0.350002,0.0,False,n00031
aldermanbury/north_to_south/002_n00032_S_L.jpg,0.035604,0.307896,0.0,False,n00032
aldermanbury/north_to_south/002_n00032_S_R.jpg,0.015072,0.134279,0.0,False,n00032
aldermanbury/north_to_south/003_n00029_S_L.jpg,0.132065,0.19378,0.0,False,n00029
aldermanbury/north_to_south/003_n00029_S_R.jpg,0.016238,0.118495,0.0,False,n00029
aldermanbury/north_to_south/004_n00030_S_L.jpg,0.041147,0.136407,0.0,False,n00030
aldermanbury/north_to_south/004_n00030_S_R.jpg,0.025604,0.144395,0.0,False,n00030
aldermanbury/north_to_south/005_n00027_S_L.jpg,0.239668,0.154862,0.0,False,n00027
aldermanbury/north_to_south/005_n00027_S_R.jpg,0.132972,0.125404,0.0,False,n00027
aldermanbury/north_to_south/006_n00028_S_L.jpg,0.02093,0.12985,0.0,False,n00028
aldermanbury/north_to_south/006_n00028_S_R.jpg,0.051864,0.168309,0.0,False,n00028
aldermanbury/north_to_south/007_n00025_S_L.jpg,0.137982,0.274036,0.0,False,n00025
aldermanbury/north_to_south/007_n00025_S_R.jpg,0.155445,0.200795,0.0,False,n00025
aldermanbury/north_to_south/008_n00026_S_L.jpg,0.012863,0.136449,0.0,False,n00026
aldermanbury/north_to_south/008_n00026_S_R.jpg,0.075732,0.235284,0.0,False,n00026
aldermanbury/north_to_south/009_n00024_S_L.jpg,0.117599,0.002717,0.0,False,n00024
aldermanbury/north_to_south/009_n00024_S_R.jpg,0.033158,0.238239,0.0,False,n00024
aldermanbury/north_to_south/010_n00023_S_L.jpg,0.070116,0.181025,0.0,False,n00023
aldermanbury/north_to_south/010_n00023_S_R.jpg,0.123339,0.25908,0.0,False,n00023
aldermanbury/north_to_south/011_n00022_S_L.jpg,0.097309,0.223228,0.0,False,n00022
aldermanbury/north_to_south/011_n00022_S_R.jpg,0.0,0.020474,0.0,False,n00022
aldermanbury/north_to_south/012_n00021_W_L.jpg,0.050782,0.221537,0.0,False,n00021
aldermanbury/north_to_south/012_n00021_W_R.jpg,0.129253,0.239802,0.0,False,n00021
aldermanbury/south_to_north/001_n00021_E_L.jpg,0.208006,0.324315,0.0,False,n00021
aldermanbury/south_to_north/001_n00021_E_R.jpg,0.055519,0.302338,0.0,False,n00021
aldermanbury/south_to_north/002_n00022_N_L.jpg,0.138334,0.014563,0.0,False,n00022
aldermanbury/south_to_north/002_n00022_N_R.jpg,0.091161,0.174771,0.0,False,n00022
aldermanbury/south_to_north/003_n00023_N_L.jpg,0.111469,0.215131,0.0,False,n00023
aldermanbury/south_to_north/003_n00023_N_R.jpg,0.169475,0.200297,0.0,False,n00023
aldermanbury/south_to_north/004_n00024_N_L.jpg,0.021005,0.10272,0.0,False,n00024
aldermanbury/south_to_north/004_n00024_N_R.jpg,0.00111,0.152458,0.0,False,n00024
aldermanbury/south_to_north/005_n00025_N_L.jpg,0.03056,0.224511,0.0,False,n00025
aldermanbury/south_to_north/005_n00025_N_R.jpg,0.239277,0.364177,0.0,False,n00025
aldermanbury/south_to_north/006_n00026_N_L.jpg,0.029047,0.139066,0.0,False,n00026
aldermanbury/south_to_north/006_n00026_N_R.jpg,0.017254,0.138044,0.0,False,n00026
aldermanbury/south_to_north/007_n00027_N_L.jpg,0.023602,0.125048,0.0,False,n00027
aldermanbury/south_to_north/007_n00027_N_R.jpg,0.104759,0.163943,0.0,False,n00027
aldermanbury/south_to_north/008_n00028_N_L.jpg,0.02683,0.141714,0.0,False,n00028
aldermanbury/south_to_north/008_n00028_N_R.jpg,0.058749,0.165109,0.0,False,n00028
aldermanbury/south_to_north/009_n00029_N_L.jpg,0.093456,0.245942,0.0,False,n00029
aldermanbury/south_to_north/009_n00029_N_R.jpg,0.0,0.147758,0.0,False,n00029
aldermanbury/south_to_north/010_n00030_N_L.jpg,0.0,0.138162,0.0,False,n00030
aldermanbury/south_to_north/010_n00030_N_R.jpg,0.007326,0.125921,0.0,False,n00030
aldermanbury/south_to_north/011_n00031_N_L.jpg,0.037371,0.30972,0.0,False,n00031
aldermanbury/south_to_north/011_n00031_N_R.jpg,0.073281,0.308859,0.0,False,n00031
aldermanbury/south_to_north/012_n00032_N_L.jpg,0.142192,0.311253,0.0,False,n00032
aldermanbury/south_to_north/012_n00032_N_R.jpg,0.254655,0.349642,0.0,False,n00032
aldermanbury_square/east_to_west/001_n00037_W_L.jpg,0.024219,0.140651,0.0,False,n00037
aldermanbury_square/east_to_west/001_n00037_W_R.jpg,0.041579,0.291549,0.0,False,n00037
aldermanbury_square/east_to_west/002_n00036_W_L.jpg,0.0,0.22809,0.0,False,n00036
aldermanbury_square/east_to_west/002_n00036_W_R.jpg,0.0,0.297674,0.0,False,n00036
aldermanbury_square/east_to_west/003_n00035_W_L.jpg,0.0,0.0,0.0,False,n00035
aldermanbury_square/east_to_west/003_n00035_W_R.jpg,0.0,0.13136,0.0,False,n00035
aldermanbury_square/east_to_west/004_n00034_S_L.jpg,0.149878,0.000683,0.0,False,n00034
aldermanbury_square/east_to_west/004_n00034_S_R.jpg,0.0,0.0,0.0,False,n00034
aldermanbury_square/east_to_west/005_n00033_S_L.jpg,0.034978,0.001265,0.0,False,n00033
aldermanbury_square/east_to_west/005_n00033_S_R.jpg,0.0,0.103427,0.0,False,n00033
aldermanbury_square/west_to_east/001_n00033_N_L.jpg,0.007159,0.02226,0.0,False,n00033
aldermanbury_square/west_to_east/001_n00033_N_R.jpg,0.223298,0.143027,0.0,False,n00033
aldermanbury_square/west_to_east/002_n00034_N_L.jpg,0.0,6.4e-05,0.0,False,n00034
aldermanbury_square/west_to_east/002_n00034_N_R.jpg,0.106439,0.002085,0.0,False,n00034
aldermanbury_square/west_to_east/003_n00035_E_L.jpg,0.128753,0.004133,0.0,False,n00035
aldermanbury_square/west_to_east/003_n00035_E_R.jpg,0.127699,0.016498,0.0,False,n00035
aldermanbury_square/west_to_east/004_n00036_E_L.jpg,0.055341,0.0051,0.0,False,n00036
aldermanbury_square/west_to_east/004_n00036_E_R.jpg,0.115793,0.19232,0.0,False,n00036
aldermanbury_square/west_to_east/005_n00037_E_L.jpg,0.05592,0.118209,0.0,False,n00037
aldermanbury_square/west_to_east/005_n00037_E_R.jpg,0.091354,0.130577,0.0,False,n00037
aldersgate_rotunda/north_to_south/001_n00045_W_L.jpg,0.175496,0.359352,0.0,False,n00045
aldersgate_rotunda/north_to_south/001_n00045_W_R.jpg,0.006163,0.313599,0.0,False,n00045
aldersgate_rotunda/north_to_south/002_n00044_W_L.jpg,0.102164,0.2686,0.0,False,n00044
aldersgate_rotunda/north_to_south/002_n00044_W_R.jpg,0.0,0.353226,0.0,False,n00044
aldersgate_rotunda/north_to_south/003_n00043_S_L.jpg,0.139716,0.299332,0.0,False,n00043
aldersgate_rotunda/north_to_south/003_n00043_S_R.jpg,0.0,0.319032,0.0,False,n00043
aldersgate_rotunda/north_to_south/004_n00042_S_L.jpg,0.032832,0.260076,0.0,False,n00042
aldersgate_rotunda/north_to_south/004_n00042_S_R.jpg,0.0,0.329596,0.0,False,n00042
aldersgate_rotunda/north_to_south/005_n00041_E_L.jpg,0.088613,0.316243,0.0,False,n00041
aldersgate_rotunda/north_to_south/005_n00041_E_R.jpg,0.081381,0.353247,0.0,False,n00041
aldersgate_rotunda/north_to_south/006_n00040_E_L.jpg,0.00969,0.297583,0.0,False,n00040
aldersgate_rotunda/north_to_south/006_n00040_E_R.jpg,0.064633,0.394681,0.0,False,n00040
aldersgate_rotunda/north_to_south/007_n00039_E_L.jpg,0.169276,0.302501,0.0,False,n00039
aldersgate_rotunda/north_to_south/007_n00039_E_R.jpg,0.073955,0.358581,0.0,False,n00039
aldersgate_rotunda/north_to_south/008_n00038_N_L.jpg,0.0,0.277422,0.269387,False,n00038
aldersgate_rotunda/north_to_south/008_n00038_N_R.jpg,0.080628,0.374983,0.0,False,n00038
aldersgate_rotunda/south_to_north/001_n00038_S_L.jpg,0.034696,0.390194,0.0,False,n00038
aldersgate_rotunda/south_to_north/001_n00038_S_R.jpg,0.086879,0.052934,0.0,False,n00038
aldersgate_rotunda/south_to_north/002_n00039_W_L.jpg,0.108789,0.367162,0.0,False,n00039
aldersgate_rotunda/south_to_north/002_n00039_W_R.jpg,0.106559,0.190231,0.0,False,n00039
aldersgate_rotunda/south_to_north/003_n00040_W_L.jpg,0.040239,0.380281,0.0,False,n00040
aldersgate_rotunda/south_to_north/003_n00040_W_R.jpg,0.032967,0.169659,0.0,False,n00040
aldersgate_rotunda/south_to_north/004_n00041_W_L.jpg,0.0,0.386555,0.0,False,n00041
aldersgate_rotunda/south_to_north/004_n00041_W_R.jpg,0.018688,0.11654,0.0,False,n00041
aldersgate_rotunda/south_to_north/005_n00042_N_L.jpg,0.0,0.381744,0.0,False,n00042
aldersgate_rotunda/south_to_north/005_n00042_N_R.jpg,0.056414,0.188727,0.0,False,n00042
aldersgate_rotunda/south_to_north/006_n00043_N_L.jpg,0.022776,0.395671,0.0,False,n00043
aldersgate_rotunda/south_to_north/006_n00043_N_R.jpg,0.169618,0.171393,0.0,False,n00043
aldersgate_rotunda/south_to_north/007_n00044_E_L.jpg,0.13063,0.372956,0.0,False,n00044
aldersgate_rotunda/south_to_north/007_n00044_E_R.jpg,0.142329,0.200247,0.0,False,n00044
aldersgate_rotunda/south_to_north/008_n00045_E_L.jpg,0.19888,0.379054,0.0,False,n00045
aldersgate_rotunda/south_to_north/008_n00045_E_R.jpg,0.067028,0.374332,0.0,False,n00045
aldersgate_street/north_to_south/001_n00052_S_L.jpg,0.030765,0.044633,0.0,False,n00052
aldersgate_street/north_to_south/001_n00052_S_R.jpg,0.075868,0.381887,0.0,False,n00052
aldersgate_street/north_to_south/002_n00054_S_L.jpg,0.086996,0.289996,0.0,False,n00054
aldersgate_street/north_to_south/002_n00054_S_R.jpg,0.123536,0.194558,0.0,False,n00054
aldersgate_street/north_to_south/003_n00055_S_L.jpg,0.214966,0.267214,0.0,False,n00055
aldersgate_street/north_to_south/003_n00055_S_R.jpg,0.061969,0.281301,0.0,False,n00055
aldersgate_street/north_to_south/004_n00049_S_L.jpg,0.030033,0.279398,0.0,False,n00049
aldersgate_street/north_to_south/004_n00049_S_R.jpg,0.064124,0.313713,0.0,False,n00049
aldersgate_street/north_to_south/005_n00051_S_L.jpg,0.020188,0.298009,0.0,False,n00051
aldersgate_street/north_to_south/005_n00051_S_R.jpg,0.175832,0.270457,0.0,False,n00051
aldersgate_street/north_to_south/006_n00053_S_L.jpg,0.185806,0.369155,0.0,False,n00053
aldersgate_street/north_to_south/006_n00053_S_R.jpg,0.089926,0.283979,0.0,False,n00053
aldersgate_street/north_to_south/007_n00046_S_L.jpg,0.075937,0.315126,0.0,False,n00046
aldersgate_street/north_to_south/007_n00046_S_R.jpg,0.09662,0.301822,0.0,False,n00046
aldersgate_street/north_to_south/008_n00048_S_L.jpg,5.4e-05,0.356853,0.425866,False,n00048
aldersgate_street/north_to_south/008_n00048_S_R.jpg,0.022224,0.396584,0.0,False,n00048
aldersgate_street/north_to_south/009_n00050_S_L.jpg,0.134606,0.301837,0.0,False,n00050
