file,ground_share,tunnel_share,off_street,reason,node_id
martin_lane/south_to_north/002_n01150_N_L.jpg,0.722693,0.0,False,,n01150
martin_lane/south_to_north/002_n01150_N_R.jpg,0.265232,0.000109,False,,n01150
martin_lane/south_to_north/003_n01151_N_L.jpg,0.24427900000000002,0.0,False,,n01151
martin_lane/south_to_north/003_n01151_N_R.jpg,0.698214,0.0,False,,n01151
martin_lane/south_to_north/004_n01152_N_L.jpg,0.765383,0.0,False,,n01152
martin_lane/south_to_north/004_n01152_N_R.jpg,0.37668999999999997,0.0,False,,n01152
martin_lane/south_to_north/005_n01153_N_L.jpg,0.6745819999999999,0.0,False,,n01153
martin_lane/south_to_north/005_n01153_N_R.jpg,0.28119099999999997,0.0,False,,n01153
masons_avenue/east_to_west/001_n01154_W_F.jpg,0.107965,0.0,False,,n01154
masons_avenue/east_to_west/002_n01155_W_F.jpg,0.30355499999999996,0.0,False,,n01155
masons_avenue/east_to_west/003_n01156_W_F.jpg,0.19200499999999998,0.0,False,,n01156
masons_avenue/west_to_east/001_n01156_E_F.jpg,0.26132,0.0,False,,n01156
masons_avenue/west_to_east/002_n01155_E_F.jpg,0.319629,0.0,False,,n01155
masons_avenue/west_to_east/003_n01154_E_F.jpg,0.219495,0.0,False,,n01154
milk_street/north_to_south/001_n01164_S_L.jpg,0.629754,0.0,False,,n01164
milk_street/north_to_south/001_n01164_S_R.jpg,0.733877,0.0,False,,n01164
milk_street/north_to_south/002_n01163_S_L.jpg,0.663269,0.0,False,,n01163
milk_street/north_to_south/002_n01163_S_R.jpg,0.726032,0.0,False,,n01163
milk_street/north_to_south/003_n01162_S_L.jpg,0.6786049999999999,0.0,False,,n01162
milk_street/north_to_south/003_n01162_S_R.jpg,0.706147,0.0,False,,n01162
milk_street/north_to_south/004_n01161_S_L.jpg,0.6205010000000001,0.0,False,,n01161
milk_street/north_to_south/004_n01161_S_R.jpg,0.7426949999999999,0.0,False,,n01161
milk_street/north_to_south/005_n01160_S_L.jpg,0.81382,0.0,False,,n01160
milk_street/north_to_south/005_n01160_S_R.jpg,0.7502949999999999,0.0,False,,n01160
milk_street/north_to_south/006_n01159_S_F.jpg,0.653875,0.0,False,,n01159
milk_street/north_to_south/007_n01158_S_F.jpg,0.5714969999999999,0.0,False,,n01158
milk_street/north_to_south/008_n01157_S_F.jpg,0.8498429999999999,0.0,False,,n01157
milk_street/south_to_north/001_n01157_N_F.jpg,0.544054,0.0,False,,n01157
milk_street/south_to_north/002_n01158_N_F.jpg,0.55174,0.0,False,,n01158
milk_street/south_to_north/003_n01159_N_F.jpg,0.7765869999999999,0.0,False,,n01159
milk_street/south_to_north/004_n01160_N_L.jpg,0.75427,0.0,False,,n01160
milk_street/south_to_north/004_n01160_N_R.jpg,0.696378,0.0,False,,n01160
milk_street/south_to_north/005_n01161_N_L.jpg,0.31518900000000005,0.0,False,,n01161
milk_street/south_to_north/005_n01161_N_R.jpg,0.665431,0.0,False,,n01161
milk_street/south_to_north/006_n01162_N_L.jpg,0.663446,0.0,False,,n01162
milk_street/south_to_north/006_n01162_N_R.jpg,0.6646160000000001,0.0,False,,n01162
milk_street/south_to_north/007_n01163_N_L.jpg,0.699938,0.0,False,,n01163
milk_street/south_to_north/007_n01163_N_R.jpg,0.6501020000000001,0.0,False,,n01163
milk_street/south_to_north/008_n01164_N_L.jpg,0.80624,0.0,False,,n01164
milk_street/south_to_north/008_n01164_N_R.jpg,0.6911820000000001,0.0,False,,n01164
mincing_lane/north_to_south/001_n01174_S_L.jpg,0.7621089999999999,0.0,False,,n01174
mincing_lane/north_to_south/001_n01174_S_R.jpg,0.7030390000000001,0.0,False,,n01174
mincing_lane/north_to_south/002_n01173_S_L.jpg,0.21665800000000002,0.0,False,,n01173
mincing_lane/north_to_south/002_n01173_S_R.jpg,0.62697,0.0,False,,n01173
mincing_lane/north_to_south/003_n01172_S_L.jpg,0.652144,0.0,False,,n01172
mincing_lane/north_to_south/003_n01172_S_R.jpg,0.576882,0.0,False,,n01172
mincing_lane/north_to_south/004_n01171_S_L.jpg,0.7579409999999999,0.0,False,,n01171
mincing_lane/north_to_south/004_n01171_S_R.jpg,0.0,0.0,True,no public ground,n01171
mincing_lane/north_to_south/005_n01170_S_L.jpg,0.765482,0.0,False,,n01170
mincing_lane/north_to_south/005_n01170_S_R.jpg,0.825816,0.0,False,,n01170
mincing_lane/north_to_south/006_n01169_S_L.jpg,0.81396,0.0,False,,n01169
mincing_lane/north_to_south/006_n01169_S_R.jpg,0.836292,0.0,False,,n01169
mincing_lane/north_to_south/007_n01168_S_L.jpg,0.5232619999999999,0.0,False,,n01168
mincing_lane/north_to_south/007_n01168_S_R.jpg,0.666814,0.0,False,,n01168
mincing_lane/north_to_south/008_n01167_S_L.jpg,0.66886,0.0,False,,n01167
mincing_lane/north_to_south/008_n01167_S_R.jpg,0.759728,0.0,False,,n01167
mincing_lane/north_to_south/009_n01166_S_L.jpg,0.48628099999999996,0.0,False,,n01166
mincing_lane/north_to_south/009_n01166_S_R.jpg,0.769143,0.0,False,,n01166
mincing_lane/north_to_south/010_n01165_S_L.jpg,0.823751,0.0,False,,n01165
mincing_lane/north_to_south/010_n01165_S_R.jpg,0.8079259999999999,0.0,False,,n01165
mincing_lane/south_to_north/001_n01165_N_L.jpg,0.754548,0.0,False,,n01165
mincing_lane/south_to_north/001_n01165_N_R.jpg,0.727919,0.0,False,,n01165
mincing_lane/south_to_north/002_n01166_N_L.jpg,0.788213,0.0,False,,n01166
mincing_lane/south_to_north/002_n01166_N_R.jpg,0.6678820000000001,0.0,False,,n01166
mincing_lane/south_to_north/003_n01167_N_L.jpg,0.792966,0.0,False,,n01167
mincing_lane/south_to_north/003_n01167_N_R.jpg,0.765857,0.0,False,,n01167
mincing_lane/south_to_north/004_n01168_N_L.jpg,0.794863,0.0,False,,n01168
mincing_lane/south_to_north/004_n01168_N_R.jpg,0.65839,0.0,False,,n01168
mincing_lane/south_to_north/005_n01169_N_L.jpg,0.812338,0.0,False,,n01169
mincing_lane/south_to_north/005_n01169_N_R.jpg,0.8212889999999999,0.0,False,,n01169
mincing_lane/south_to_north/006_n01170_N_L.jpg,0.766262,0.0,False,,n01170
mincing_lane/south_to_north/006_n01170_N_R.jpg,0.830459,0.0,False,,n01170
mincing_lane/south_to_north/007_n01171_N_L.jpg,0.252223,0.0,False,,n01171
mincing_lane/south_to_north/007_n01171_N_R.jpg,0.8563080000000001,0.0,False,,n01171
mincing_lane/south_to_north/008_n01172_N_L.jpg,0.746042,0.0,False,,n01172
mincing_lane/south_to_north/008_n01172_N_R.jpg,0.72812,0.0,False,,n01172
mincing_lane/south_to_north/009_n01173_N_L.jpg,0.544762,0.0,False,,n01173
mincing_lane/south_to_north/009_n01173_N_R.jpg,0.830638,0.0,False,,n01173
mincing_lane/south_to_north/010_n01174_N_L.jpg,0.755972,0.0,False,,n01174
mincing_lane/south_to_north/010_n01174_N_R.jpg,0.563719,0.0,False,,n01174
monkwell_square/north_to_south/001_n01178_S_L.jpg,0.694439,0.0,False,,n01178
monkwell_square/north_to_south/001_n01178_S_R.jpg,0.35093900000000006,0.0,False,,n01178
monkwell_square/north_to_south/002_n01181_S_L.jpg,0.580924,0.0,False,,n01181
monkwell_square/north_to_south/002_n01181_S_R.jpg,0.7545999999999999,0.0,False,,n01181
monkwell_square/north_to_south/003_n01184_S_L.jpg,0.693865,0.0,False,,n01184
monkwell_square/north_to_south/003_n01184_S_R.jpg,0.685171,0.0,False,,n01184
monkwell_square/north_to_south/004_n01179_S_L.jpg,0.580924,0.0,False,,n01179
monkwell_square/north_to_south/004_n01179_S_R.jpg,0.7545999999999999,0.0,False,,n01179
monkwell_square/north_to_south/005_n01183_S_L.jpg,0.693865,0.0,False,,n01183
monkwell_square/north_to_south/005_n01183_S_R.jpg,0.685171,0.0,False,,n01183
monkwell_square/north_to_south/006_n01175_S_L.jpg,0.694439,0.0,False,,n01175
monkwell_square/north_to_south/006_n01175_S_R.jpg,0.35093900000000006,0.0,False,,n01175
monkwell_square/north_to_south/007_n01182_E_L.jpg,0.771651,0.0,False,,n01182
monkwell_square/north_to_south/007_n01182_E_R.jpg,0.720359,0.0,False,,n01182
monkwell_square/north_to_south/008_n01176_S_L.jpg,0.344335,0.453646,True,tunnel,n01176
