node_id,heading,path,pano_date,on_target
n00013,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00013_000.jpg,2021-12,False
n00013,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00013_090.jpg,2021-12,False
n00013,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00013_180.jpg,2021-12,False
n00013,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00013_270.jpg,2021-12,False
n00014,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00014_000.jpg,2022-06,False
n00014,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00014_090.jpg,2022-06,False
n00014,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00014_180.jpg,2022-06,False
n00014,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00014_270.jpg,2022-06,False
n00015,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00015_000.jpg,2022-06,False
n00015,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00015_090.jpg,2022-06,False
n00015,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00015_180.jpg,2022-06,False
n00015,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00015_270.jpg,2022-06,False
n00016,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00016_000.jpg,2022-06,False
n00016,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00016_090.jpg,2022-06,False
n00016,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00016_180.jpg,2022-06,False
n00016,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00016_270.jpg,2022-06,False
n00017,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00017_000.jpg,2024-10,False
n00017,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00017_090.jpg,2024-10,False
n00017,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00017_180.jpg,2024-10,False
n00017,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00017_270.jpg,2024-10,False
n00018,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00018_000.jpg,2021-05,False
n00018,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00018_090.jpg,2021-05,False
n00018,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00018_180.jpg,2021-05,False
n00018,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00018_270.jpg,2021-05,False
n00019,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00019_000.jpg,2021-05,False
n00019,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00019_090.jpg,2021-05,False
n00019,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00019_180.jpg,2021-05,False
n00019,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00019_270.jpg,2021-05,False
n00020,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00020_000.jpg,2021-05,False
n00020,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00020_090.jpg,2021-05,False
n00020,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00020_180.jpg,2021-05,False
n00020,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00020_270.jpg,2021-05,False
n00021,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00021_000.jpg,2024-10,False
n00021,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00021_090.jpg,2024-10,False
n00021,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00021_180.jpg,2024-10,False
n00021,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00021_270.jpg,2024-10,False
n00022,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00022_000.jpg,2024-10,False
n00022,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00022_090.jpg,2024-10,False
n00022,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00022_180.jpg,2024-10,False
n00022,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00022_270.jpg,2024-10,False
n00023,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00023_000.jpg,2021-12,False
n00023,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00023_090.jpg,2021-12,False
n00023,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00023_180.jpg,2021-12,False
n00023,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00023_270.jpg,2021-12,False
n00024,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00024_000.jpg,2024-10,False
n00024,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00024_090.jpg,2024-10,False
n00024,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00024_180.jpg,2024-10,False
n00024,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00024_270.jpg,2024-10,False
n00025,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00025_000.jpg,2021-12,False
n00025,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00025_090.jpg,2021-12,False
n00025,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00025_180.jpg,2021-12,False
n00025,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00025_270.jpg,2021-12,False
n00026,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00026_000.jpg,2024-10,False
n00026,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00026_090.jpg,2024-10,False
n00026,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00026_180.jpg,2024-10,False
n00026,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00026_270.jpg,2024-10,False
n00027,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00027_000.jpg,2021-12,False
n00027,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00027_090.jpg,2021-12,False
n00027,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00027_180.jpg,2021-12,False
n00027,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00027_270.jpg,2021-12,False
n00028,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00028_000.jpg,2024-10,False
n00028,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00028_090.jpg,2024-10,False
n00028,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00028_180.jpg,2024-10,False
n00028,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00028_270.jpg,2024-10,False
n00029,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00029_000.jpg,2021-12,False
n00029,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00029_090.jpg,2021-12,False
n00029,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00029_180.jpg,2021-12,False
n00029,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00029_270.jpg,2021-12,False
n00030,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00030_000.jpg,2024-10,False
n00030,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00030_090.jpg,2024-10,False
n00030,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00030_180.jpg,2024-10,False
n00030,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00030_270.jpg,2024-10,False
n00031,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00031_000.jpg,2021-12,False
n00031,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00031_090.jpg,2021-12,False
n00031,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00031_180.jpg,2021-12,False
n00031,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00031_270.jpg,2021-12,False
n00032,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00032_000.jpg,2024-10,False
n00032,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00032_090.jpg,2024-10,False
n00032,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00032_180.jpg,2024-10,False
n00032,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00032_270.jpg,2024-10,False
n00033,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00033_000.jpg,2022-07,False
n00033,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00033_090.jpg,2022-07,False
n00033,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00033_180.jpg,2022-07,False
n00033,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00033_270.jpg,2022-07,False
n00034,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00034_000.jpg,2022-07,False
n00034,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00034_090.jpg,2022-07,False
