node_id,osm_name,street_category,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,along_dist,cross_dist,n_images,directions,name_resolved,excluded_by_pattern,collides_m,intersection_dup,axis_mismatch,frame_ok,nearest_img_m,nearest_img_node,reusable
1st_avenue_001,1st Avenue,1st_avenue,1st_avenue#0,0.0,40.743686,-73.973583,avenue_secondary,5.714837760288958,919.8196294697968,-339.74209065682527,463.7657666678082,2,Northbound/Southbound,True,False,12.790373577863054,False,False,True,4.482092397577062,n00000,True
1st_avenue_002,1st Avenue,1st_avenue,1st_avenue#0,19.922120332799324,40.743843,-73.973467,avenue_secondary,25.63644891278824,919.9620641676502,-319.74646911701194,463.8765050764937,2,Northbound/Southbound,True,False,7.13197639520351,False,False,True,4.489160154462523,n00001,True
1st_avenue_003,1st Avenue,1st_avenue,1st_avenue#0,39.844240665598704,40.744,-73.973351,avenue_secondary,45.55806006528758,920.1044988655035,-299.7508475771988,463.9872434851792,2,Northbound/Southbound,True,False,27.053988161660353,False,False,True,4.496143300898177,n00002,True
1st_avenue_004,1st Avenue,1st_avenue,1st_avenue#0,59.76636099780961,40.744157,-73.973235,avenue_secondary,65.47967121720592,920.2469335623088,-279.755226037967,464.0979818928157,2,Northbound/Southbound,True,False,37.527630021191555,False,False,True,4.5035568872333345,n00003,True
1st_avenue_005,1st Avenue,1st_avenue,1st_avenue#0,79.70296691627912,40.744315,-73.973121,avenue_secondary,85.41619078753001,920.1882567318069,-259.7443180677121,464.007238403909,2,Northbound/Southbound,True,False,18.27100218449214,False,False,True,4.495591181685417,n00004,True
1st_avenue_006,1st Avenue,1st_avenue,1st_avenue#0,99.59904125066852,40.744473,-73.973008,avenue_secondary,105.31182433654655,920.055819566343,-239.7743302173832,463.8426730645041,2,Northbound/Southbound,True,False,7.283001978646952,False,False,True,4.526644380585943,n00005,True
1st_avenue_007,1st Avenue,1st_avenue,1st_avenue#0,119.53564716913806,40.744631,-73.972894,avenue_secondary,125.24834390687067,919.997142735841,-219.76342224712823,463.7519295755974,2,Northbound/Southbound,True,False,23.807562914966972,False,False,True,4.518821092989789,n00006,True
1st_avenue_008,1st Avenue,1st_avenue,1st_avenue#0,139.4722530876076,40.744789,-73.97278,avenue_secondary,145.18486347719482,919.9384659053392,-199.75251427687337,463.6611860866907,2,Northbound/Southbound,True,False,35.61485749878819,False,False,True,4.511021577455334,n00007,True
1st_avenue_009,1st Avenue,1st_avenue,1st_avenue#0,159.39437342040696,40.744946,-73.972664,avenue_secondary,165.10647462969413,920.0809006031925,-179.75689273706013,463.77192449537625,2,Northbound/Southbound,True,False,15.78070257484304,False,False,True,4.518411225528663,n00008,True
1st_avenue_010,1st Avenue,1st_avenue,1st_avenue#0,179.37178470685527,40.745104,-73.972549,avenue_secondary,185.0838802219069,920.0959841087008,-159.70506464629744,463.75500285801695,2,Northbound/Southbound,True,False,4.831966609091057,True,False,False,4.468843377384486,n00009,True
1st_avenue_011,1st Avenue,1st_avenue,1st_avenue#0,199.29390503965462,40.745261,-73.972433,avenue_secondary,205.0054913744062,920.2384188065541,-139.70944310648423,463.86574126670246,2,Northbound/Southbound,True,False,24.36617874090784,False,False,True,4.475918445420491,n00010,True
1st_avenue_012,1st Avenue,1st_avenue,1st_avenue#0,219.1747487808952,40.745418,-73.972318,avenue_secondary,224.88621650443588,920.3070931673491,-119.75474168776024,463.9026578227915,2,Northbound/Southbound,True,False,34.86950157020755,False,False,True,4.524533101324312,n00011,True
1st_avenue_013,1st Avenue,1st_avenue,1st_avenue#0,239.05559252272042,40.745575,-73.972203,avenue_secondary,244.7669416350466,920.3757675291923,-99.8000402684546,463.9395743799298,2,Northbound/Southbound,True,False,16.138840000095882,False,False,True,4.572608860620772,n00012,True
1st_avenue_014,1st Avenue,1st_avenue,1st_avenue#0,259.08910713138846,40.745734,-73.972089,avenue_secondary,264.80014166755376,920.2634998434037,-79.69200562616103,463.79499269757457,2,Northbound/Southbound,True,False,9.72089910084695,False,False,True,4.464794099699732,n00013,True
1st_avenue_015,1st Avenue,1st_avenue,1st_avenue#0,278.96995087262906,40.745891,-73.971974,avenue_secondary,284.68086679758346,920.3321742041987,-59.737304207437035,463.83190925366375,2,Northbound/Southbound,True,False,26.946344069141666,False,False,True,4.51332912265353,n00014,True
1st_avenue_016,1st Avenue,1st_avenue,1st_avenue#0,298.85079461445423,40.746048,-73.971859,avenue_secondary,304.56159192819416,920.4008485660419,-39.78260278813147,463.868825810802,2,Northbound/Southbound,True,False,31.93182905837566,False,False,True,4.561975643518128,n00015,True
1st_avenue_017,1st Avenue,1st_avenue,1st_avenue#0,318.8843092231224,40.746207,-73.971745,avenue_secondary,324.5947919607014,920.2885808802532,-19.674568145837924,463.72424412844686,2,Northbound/Southbound,True,False,11.964360661617267,False,False,True,4.456731602752497,n00016,True
1st_avenue_018,1st Avenue,1st_avenue,1st_avenue#0,338.7651529643629,40.746364,-73.97163,avenue_secondary,344.47551709073105,920.3572552410482,0.2801332728861609,463.7611606845359,2,Northbound/Southbound,True,False,8.212847471940274,False,False,True,4.5031235242302925,n00017,True
1st_avenue_019,1st Avenue,1st_avenue,1st_avenue#0,358.6872732971623,40.746521,-73.971514,avenue_secondary,364.3971282432303,920.4996899389016,20.275754812699347,463.8718990932215,2,Northbound/Southbound,True,False,28.01437124214848,False,False,True,4.510491165604973,n00018,True
