tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council_district,census_tract,bin,bbl
366222,105727,2015-10-23T00:00:00.000,8,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Harmful,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,219 EAST 42 STREET,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1008800,New York,40.75032067,-73.97317165,991683.3723,212639.8546,4,88,1037551,1013160012
366224,105727,2015-10-23T00:00:00.000,8,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Harmful,Damage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,219 EAST 42 STREET,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1008800,New York,40.75040647,-73.97337568,991626.8307,212671.099,4,88,1037551,1013160012
387071,105758,2015-10-27T00:00:00.000,5,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,279 EAST 44 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75132478,-73.97162653,992111.3635,213005.8191,4,90,1037574,1013180022
366219,105727,2015-10-23T00:00:00.000,8,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,1or2,Harmful,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,235 EAST 42 STREET,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1008800,New York,40.75017443,-73.97282391,991779.7379,212586.6034,4,88,1037552,1013160023
387069,105758,2015-10-27T00:00:00.000,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,244 EAST 44 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75138748,-73.97177478,992070.2806,213028.6488,4,88,1084824,1013170020
387436,105824,2015-10-27T00:00:00.000,7,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,Harmful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,224 EAST 49 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75469623,-73.97017604,992512.8276,214234.2835,4,90,1071853,1013220039
400603,105861,2015-10-29T00:00:00.000,6,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,800 3 AVENUE,10022,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1010000,New York,40.75549465,-73.97114185,992245.1503,214525.0838,4,100,1036446,1013040033
400604,105861,2015-10-29T00:00:00.000,5,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,800 3 AVENUE,10022,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1010000,New York,40.7556009,-73.97106634,992266.0594,214563.7986,4,100,1036446,1013040033
371966,105725,2015-10-24T00:00:00.000,4,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,Harmful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,814 2 AVENUE,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.75085071,-73.97130125,992201.5431,212833.1298,4,88,1038673,1013367502
372134,105771,2015-10-24T00:00:00.000,5,0,OnCurb,Alive,Good,Ulmus parvifolia,Chinese elm,3or4,Harmful,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,210 EAST 46 STREET,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1009000,New York,40.75301127,-73.9720233,992001.2328,213620.2286,4,90,1037596,1013190047
371959,105780,2015-10-24T00:00:00.000,7,0,OnCurb,Alive,Poor,Tilia americana,American linden,1or2,Harmful,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,716 3 AVENUE,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009200,New York,40.75261089,-73.97325188,991660.8867,213474.2509,4,92,1036180,1012990040
372295,105748,2015-10-24T00:00:00.000,6,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,Damage,TreesCount Staff,"MetalGrates,RootOther",No,Yes,Yes,No,No,No,No,No,No,828 2 AVENUE,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75125951,-73.97099941,992285.1257,212982.0961,4,90,1076275,1013370001
372279,105747,2015-10-24T00:00:00.000,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,Helpful,NoDamage,TreesCount Staff,RootOther,No,No,Yes,No,No,No,No,No,No,310 EAST 44 STREET,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75087814,-73.97057147,992403.7406,212843.1902,4,88,1038671,1013360040
372444,105790,2015-10-24T00:00:00.000,4,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,3or4,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,224 EAST 47 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75335011,-73.97087016,992320.6837,213743.7835,4,90,1037605,1013200034
406183,105792,2015-10-30T00:00:00.000,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Harmful,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,241 EAST 46 STREET,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.7525633,-73.97066969,992376.3207,213457.1384,4,90,1037606,1013200121
372189,105724,2015-10-24T00:00:00.000,6,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,346 EAST 44 STREET,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008800,New York,40.75025613,-73.96937064,992736.5309,212616.6851,4,88,1038669,1013360030
