the_geom,boro_code,boro_name,boro_cd,coun_dist,assem_dist,st_sen_dist,cong_dist,shelter_id,corner,on_street,cross_stre,longitude,latitude,ntaname,femafldz,femafld_t,hrc_evac
"{'type': 'Point', 'coordinates': [-73.976369, 40.747903]}",1,Manhattan,106,4,73,59,12,MN0154,NE,3 AV,E 37 ST,-73.976369,40.747903,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,6
"{'type': 'Point', 'coordinates': [-73.973823, 40.743803]}",1,Manhattan,106,4,74,59,12,MN01564,SW,E 34 ST,1 AV,-73.973823,40.743803,Murray Hill-Kips Bay,AE,,2
"{'type': 'Point', 'coordinates': [-73.973885, 40.744049]}",1,Manhattan,106,4,74,59,12,MN01565,NW,E 34 ST,1 AV,-73.973885,40.744049,Murray Hill-Kips Bay,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
"{'type': 'Point', 'coordinates': [-73.973151, 40.75233]}",1,Manhattan,106,4,73,28,12,MN0158,SE,3 AV,E 45 ST,-73.973151,40.75233,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.97177, 40.754213]}",1,Manhattan,106,4,73,28,12,MN0159,NE,3 AV,E 47 ST,-73.97177,40.754213,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,6
"{'type': 'Point', 'coordinates': [-73.969007, 40.749738]}",1,Manhattan,106,4,74,59,12,MN01590,NE,1 AV,E 43 ST,-73.969007,40.749738,United Nations,X,AREA OF MINIMAL FLOOD HAZARD,6
"{'type': 'Point', 'coordinates': [-73.968959, 40.754511]}",1,Manhattan,106,4,73,28,12,MN01596,SW,2 AV,E 50 ST,-73.968959,40.754511,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,6
"{'type': 'Point', 'coordinates': [-73.971525, 40.755388]}",1,Manhattan,106,4,73,28,12,MN0160,NW,E 49 ST,3 AV,-73.971525,40.755388,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.981854, 40.747373]}",1,Manhattan,106,4,73,28,12,MN01634,NW,E 34 St,Park Av,-73.981854,40.747373,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.97299, 40.744264]}",1,Manhattan,106,4,74,59,12,MN01648,SE,1 AV,E 35 ST,-73.97299,40.744264,Murray Hill-Kips Bay,AE,,1
"{'type': 'Point', 'coordinates': [-73.981814, 40.752415]}",1,Manhattan,105,4,75,28,12,MN01685,NW,5 Av,W 40 St,-73.981814,40.752415,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.981253, 40.753185]}",1,Manhattan,105,4,75,28,12,MN01689,SW,5 Av,W 42 St,-73.981253,40.753185,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.98184, 40.749165]}",1,Manhattan,106,4,73,28,12,MN01691,NE,MADISON AV,E 36 ST,-73.98184,40.749165,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.979668, 40.755194]}",1,Manhattan,105,4,75,28,12,MN01792,SW,5 AV,W 45 St,-73.979668,40.755194,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.974857, 40.751056]}",1,Manhattan,106,4,73,28,12,MN01796,NW,E 42 St,3 Av,-73.974857,40.751056,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.974869, 40.750846]}",1,Manhattan,106,4,73,28,12,MN01797,SW,E 42 St,3 Av,-73.974869,40.750846,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,X
"{'type': 'Point', 'coordinates': [-73.97777, 40.75557]}",1,Manhattan,105,4,73,28,12,MN01810,NE,Madison Av,E 46 St,-73.97777,40.75557,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,X
