node_id,status,pano_id,pano_date,pano_lat,pano_lon,node_lat,node_lon,month,year,pano_offset_m,usable,typology,osm_name,northing_m
n00030,OK,jG2oqGXEdofIIbalslXAoA,2026-04,40.74776851881671,-73.97065346512186,40.747838,-73.970694,4,2026,8.438578308855947,True,avenue_secondary,1st Avenue,525.2518352920031
n00031,OK,V7S7Jk9pULdcXEdre1XHww,2026-04,40.74785518328086,-73.9705949041298,40.747817,-73.97059000000002,4,2026,4.259088602867172,True,avenue_secondary,1st Avenue,527.4736918676457
n00032,OK,4A6gVc_to1zBkFN9CGXqow,2026-04,40.74793613109285,-73.97053643279986,40.747997,-73.970584,4,2026,7.860695166828659,True,avenue_secondary,1st Avenue,545.1214912370617
n00033,OK,R6R5nH8fiMVjOxFy5GHdAQ,2026-04,40.74795383571172,-73.97044827737167,40.747954,-73.970437,4,2026,0.9523112199362075,True,avenue_secondary,1st Avenue,546.9744765856215
n00034,OK,LY-D1hBZd4qq_IxFkppBWQ,2026-04,40.74818185312606,-73.97047679561227,40.74816299999999,-73.970492,4,2026,2.4552821613469176,True,avenue_secondary,1st Avenue,564.9319620229313
n00035,OK,CgwmoI5veAP5jkgmg2ee6g,2026-04,40.74803960445922,-73.97031178435034,40.74807200000001,-73.97026,4,2026,5.6612012060027626,True,avenue_secondary,1st Avenue,565.6195970456481
n00036,OK,QtdkBsXpGhNcE6beDBiprg,2026-04,40.74833785470965,-73.97037249774957,40.74832599999999,-73.970392,4,2026,2.1078658266827883,True,avenue_secondary,1st Avenue,584.7794795973607
n00037,OK,Bj_pFg8i0fnmLkQNsoMgSw,2026-04,40.74822934478711,-73.97012076570208,40.74820999999999,-73.970108,4,2026,2.4028419295141012,True,avenue_secondary,1st Avenue,585.1761762019634
n00038,OK,lS_CkaxFKeP2rs4KiA0yvQ,2026-04,40.74849808661459,-73.97025394069516,40.748484,-73.970276,4,2026,2.431910690297584,True,avenue_secondary,1st Avenue,604.7977712127301
n00039,OK,9PV70_6DtFqH7jXfplgeFQ,2026-04,40.74839109913057,-73.97000337433552,40.748369,-73.969997,4,2026,2.5116689243849333,True,avenue_secondary,1st Avenue,605.0867181689105
n00040,OK,GIMIDhyB2IjRAA-AvS2b2g,2026-04,40.74865667425158,-73.97013654940976,40.74864099999999,-73.970161,4,2026,2.6998642576221403,True,avenue_secondary,1st Avenue,624.6784963413859
n00041,OK,bg3Ye5x6i8fwtFHQvgqJcA,2026-04,40.74855229852549,-73.96988526545522,40.748528,-73.969885,4,2026,2.6975931252637877,True,avenue_secondary,1st Avenue,625.0381461583274
n00042,OK,4M4arDimSdX07kMKV_uP1w,2026-04,40.74881302412204,-73.970018799332,40.748799,-73.970046,4,2026,2.774488322703398,True,avenue_secondary,1st Avenue,644.6559019355536
n00043,OK,ZI0SRPp_Q_-LRfqglwAhcw,2026-04,40.74871207133275,-73.9697703849942,40.748688,-73.969777,4,2026,2.7300155041812144,True,avenue_secondary,1st Avenue,644.9227105216859
n00044,OK,OcAdKqVHpJBWZ04T3RKsyA,2021-05,40.74895774617404,-73.96988553449604,40.74893700000001,-73.969897,5,2021,2.4982936454524634,False,avenue_secondary,1st Avenue,664.0898230283697
n00045,OK,KTDCyFC6PLAR_14LaneM5g,2026-04,40.74887729557047,-73.9696678803564,40.74885700000001,-73.969695,4,2026,3.212323210064293,True,avenue_secondary,1st Avenue,664.614362476223
n00046,OK,XekIGngpW-KX25FXP6F4Uw,2026-04,40.74474294038416,-73.97592361242899,40.74477699999999,-73.975898,4,2026,4.355848479208882,True,avenue_secondary,2nd Avenue,16.542081356201606
n00047,OK,nDxPB565qw8qXGsjS4xKVw,2026-04,40.74490315922615,-73.97580694202136,40.744934,-73.975782,4,2026,4.01960069439802,True,avenue_secondary,2nd Avenue,36.4636925093879
